gid	gname	chr	start	end	logFC.XY43.XX43	
TRINITY_DN129250_c0_g1_i1	LOC100497120-like	Chr02	57968526	57968526	0.298932297	unbias
TRINITY_DN129250_c0_g2_i2	LOC101730429	Chr01	5360742	5360742	-0.000448976	unbias
TRINITY_DN129251_c2_g1_i5	NA	NA	NA	NA	-0.772445334	unbias
TRINITY_DN129251_c2_g3_i1	NA	NA	NA	NA	-1.012245545	unbias
TRINITY_DN129252_c1_g1_i1	NA	NA	NA	NA	-0.138282759	unbias
TRINITY_DN129252_c1_g3_i2	NA	NA	NA	NA	-0.083941223	unbias
TRINITY_DN129254_c5_g1_i2	snx24	Chr01	160897943	160897943	0.15075342	unbias
TRINITY_DN129257_c3_g1_i1	pak6	Chr08	94111669	94111669	0.196592674	unbias
TRINITY_DN129257_c8_g5_i2	NA	NA	NA	NA	-0.168410287	unbias
TRINITY_DN129258_c2_g2_i1	NA	NA	NA	NA	0.561175433	unbias
TRINITY_DN129259_c1_g2_i1	NA	NA	NA	NA	-0.110396697	unbias
TRINITY_DN129261_c1_g2_i3	NA	NA	NA	NA	0.121212319	unbias
TRINITY_DN129262_c0_g1_i1	NA	NA	NA	NA	-1.225565172	unbias
TRINITY_DN129262_c1_g2_i2	sec31a	Chr01	91624136	91624136	-0.13656607	unbias
TRINITY_DN129263_c4_g1_i3	NA	NA	NA	NA	0.580368125	unbias
TRINITY_DN129264_c1_g1_i1	NA	NA	NA	NA	-0.17710081	unbias
TRINITY_DN129265_c0_g1_i2	NA	NA	NA	NA	0.408137643	unbias
TRINITY_DN129266_c0_g1_i2	LOC100493941-like	Chr10	39016824	39016824	-0.098171317	unbias
TRINITY_DN129266_c5_g5_i1	NA	NA	NA	NA	0.092942508	unbias
TRINITY_DN129267_c3_g1_i3	NA	NA	NA	NA	-0.109215513	unbias
TRINITY_DN129267_c3_g2_i1	NA	NA	NA	NA	0.083750679	unbias
TRINITY_DN129267_c4_g1_i1	NA	NA	NA	NA	0.133365509	unbias
TRINITY_DN129268_c0_g1_i2	NA	NA	NA	NA	0.596227035	unbias
TRINITY_DN129268_c1_g4_i4	NA	NA	NA	NA	0.495757108	unbias
TRINITY_DN129270_c0_g2_i5	crisp2-like	scaffold_13	2056736	2056736	-0.632936423	unbias
TRINITY_DN129271_c0_g1_i2	NA	NA	NA	NA	-0.396895414	unbias
TRINITY_DN129272_c0_g3_i4	dusp13	Chr07	57693581	57693581	0.180741201	unbias
TRINITY_DN129273_c3_g1_i1	NA	NA	NA	NA	-0.019960396	unbias
TRINITY_DN129273_c5_g3_i1	crat.2	Chr08	54036380	54036380	0.399467232	unbias
TRINITY_DN129273_c5_g5_i1	NA	NA	NA	NA	0.491828589	unbias
TRINITY_DN129273_c5_g6_i1	NA	NA	NA	NA	-0.131460651	unbias
TRINITY_DN129274_c2_g3_i1	NA	NA	NA	NA	0.147675253	unbias
TRINITY_DN129275_c1_g3_i2	atg4b	Chr05	122293215	122293215	0.193654997	unbias
TRINITY_DN129277_c0_g2_i1	NA	NA	NA	NA	0.06581004	unbias
TRINITY_DN129278_c0_g3_i1	NA	NA	NA	NA	-0.838142506	unbias
TRINITY_DN129279_c4_g7_i1	LOC100489709	Chr07	21522722	21522722	-0.468587043	unbias
TRINITY_DN129280_c0_g2_i5	b3gnt1	Chr04	37387877	37387877	-0.060044601	unbias
TRINITY_DN129281_c1_g2_i1	NA	NA	NA	NA	-0.072802486	unbias
TRINITY_DN129281_c3_g1_i4	klhdc10	Chr03	77268018	77268018	0.220055511	unbias
TRINITY_DN129281_c4_g2_i1	NA	NA	NA	NA	0.234058414	unbias
TRINITY_DN129281_c4_g3_i3	NA	NA	NA	NA	-0.205008438	unbias
TRINITY_DN129281_c4_g4_i1	NA	NA	NA	NA	0.887618769	unbias
TRINITY_DN129282_c0_g4_i3	NA	NA	NA	NA	-0.310975277	unbias
TRINITY_DN129283_c0_g1_i2	prkce-like.2	Chr05	15731488	15731488	-0.119897196	unbias
TRINITY_DN129284_c0_g1_i1	NA	NA	NA	NA	0.786088238	unbias
TRINITY_DN129285_c0_g1_i3	NA	NA	NA	NA	-1.746904441	unbias
TRINITY_DN129286_c0_g1_i3	NA	NA	NA	NA	-0.605557935	unbias
TRINITY_DN129287_c0_g1_i1	cenpp	Chr04	113604903	113604903	0.681546384	unbias
TRINITY_DN129287_c3_g2_i2	NA	NA	NA	NA	-0.248124488	unbias
TRINITY_DN129287_c4_g5_i1	NA	NA	NA	NA	-0.455399369	unbias
TRINITY_DN129289_c0_g1_i19	NA	NA	NA	NA	0.463349945	unbias
TRINITY_DN129290_c0_g1_i1	polg2-like	scaffold_258	10069	10069	0.283451029	unbias
TRINITY_DN129292_c0_g3_i1	NA	NA	NA	NA	0.009936479	unbias
TRINITY_DN129293_c0_g1_i1	NA	NA	NA	NA	0.214328315	unbias
TRINITY_DN129293_c1_g2_i1	NA	NA	NA	NA	-0.398596623	unbias
TRINITY_DN129293_c1_g3_i3	NA	NA	NA	NA	0.090068186	unbias
TRINITY_DN129294_c9_g2_i1	NA	NA	NA	NA	-0.663205538	unbias
TRINITY_DN129294_c9_g6_i1	NA	NA	NA	NA	-0.486134373	unbias
TRINITY_DN129295_c0_g2_i3	NA	NA	NA	NA	-0.277202991	unbias
TRINITY_DN129297_c1_g1_i2	NA	NA	NA	NA	0.272998531	unbias
TRINITY_DN129297_c1_g2_i3	ddx46-like	Chr03	17120027	17120027	-0.004347335	unbias
TRINITY_DN129297_c1_g4_i1	NA	NA	NA	NA	0.060371098	unbias
TRINITY_DN129299_c4_g4_i8	NA	NA	NA	NA	-0.346023013	unbias
TRINITY_DN129307_c0_g2_i1	mapk15	scaffold_775	48316	48316	0.121502136	unbias
TRINITY_DN129307_c0_g3_i1	NA	NA	NA	NA	0.342361332	unbias
TRINITY_DN129307_c0_g4_i4	NA	NA	NA	NA	0.472374894	unbias
TRINITY_DN129308_c12_g4_i1	NA	NA	NA	NA	-0.249900487	unbias
TRINITY_DN129308_c12_g6_i1	NA	NA	NA	NA	-0.315549237	unbias
TRINITY_DN129308_c13_g3_i2	rps5	Chr08	50649709	50649709	-0.156111724	unbias
TRINITY_DN129308_c4_g2_i1	NA	NA	NA	NA	0.203572165	unbias
TRINITY_DN129309_c0_g1_i1	eif5	Chr08	77431892	77431892	2.663372142	unbias
TRINITY_DN129309_c0_g2_i1	plcl1	Chr09	48812412	48812412	1.967646915	unbias
TRINITY_DN129309_c1_g1_i4	NA	NA	NA	NA	1.425355128	unbias
TRINITY_DN129311_c0_g1_i1	NA	NA	NA	NA	0.328619429	unbias
TRINITY_DN129311_c0_g2_i1	NA	NA	NA	NA	0.089838804	unbias
TRINITY_DN129311_c0_g3_i1	NA	NA	NA	NA	0.29792771	unbias
TRINITY_DN129311_c0_g4_i1	NA	NA	NA	NA	-1.577254849	unbias
TRINITY_DN129311_c0_g5_i2	NA	NA	NA	NA	0.370584738	unbias
TRINITY_DN129311_c2_g1_i1	NA	NA	NA	NA	-0.028354198	unbias
TRINITY_DN129312_c5_g6_i1	NA	NA	NA	NA	-0.356400959	unbias
TRINITY_DN129314_c5_g1_i1	NA	NA	NA	NA	-0.450368692	unbias
TRINITY_DN129314_c5_g4_i1	NA	NA	NA	NA	-0.366114634	unbias
TRINITY_DN129314_c6_g2_i3	NA	NA	NA	NA	0.64910101	unbias
TRINITY_DN129315_c0_g1_i1	NA	NA	NA	NA	-0.349851534	unbias
TRINITY_DN129315_c0_g2_i1	NA	NA	NA	NA	0.162059148	unbias
TRINITY_DN129315_c1_g1_i7	NA	NA	NA	NA	-0.539007579	unbias
TRINITY_DN129316_c0_g1_i4	NA	NA	NA	NA	0.803155138	unbias
TRINITY_DN129317_c1_g7_i1	NA	NA	NA	NA	-0.270402451	unbias
TRINITY_DN129318_c5_g1_i1	LOC101731869-like	Chr09	8193190	8193190	-0.061187768	unbias
TRINITY_DN129319_c1_g1_i1	NA	NA	NA	NA	0.011992663	unbias
TRINITY_DN129320_c0_g1_i6	NA	NA	NA	NA	-0.682295334	unbias
TRINITY_DN129321_c2_g2_i3	tbcc	Chr05	11503719	11503719	0.363123671	unbias
TRINITY_DN129322_c1_g2_i2	Xetrov90001390m	Chr01	77506688	77506688	-0.610600246	unbias
TRINITY_DN129322_c1_g3_i1	NA	NA	NA	NA	-0.362670729	unbias
TRINITY_DN129323_c0_g2_i2	NA	NA	NA	NA	-0.014573975	unbias
TRINITY_DN129324_c1_g1_i2	NA	NA	NA	NA	0.527477779	unbias
TRINITY_DN129325_c1_g1_i1	NA	NA	NA	NA	-0.124657104	unbias
TRINITY_DN129325_c2_g1_i1	NA	NA	NA	NA	0.085109365	unbias
TRINITY_DN129325_c2_g2_i1	NA	NA	NA	NA	-0.280845608	unbias
TRINITY_DN129326_c1_g1_i2	NA	NA	NA	NA	-1.601817788	unbias
TRINITY_DN129326_c1_g3_i2	NA	NA	NA	NA	0.277901881	unbias
TRINITY_DN129326_c1_g4_i2	nmt2-like	Chr10	7014821	7014821	0.201847589	unbias
TRINITY_DN129327_c0_g1_i2	NA	NA	NA	NA	0.135736179	unbias
TRINITY_DN129328_c0_g2_i1	bche	Chr08	101052554	101052554	0.064492227	unbias
TRINITY_DN129329_c3_g2_i3	bbs12-like	Chr01	56525994	56525994	-0.137639188	unbias
TRINITY_DN129329_c6_g1_i3	NA	NA	NA	NA	0.532954175	unbias
TRINITY_DN129329_c6_g2_i1	NA	NA	NA	NA	0.717200372	unbias
TRINITY_DN129331_c1_g1_i1	NA	NA	NA	NA	-0.232953261	unbias
TRINITY_DN129331_c2_g1_i5	NA	NA	NA	NA	0.022146383	unbias
TRINITY_DN129331_c2_g2_i1	NA	NA	NA	NA	0.52410134	unbias
TRINITY_DN129331_c3_g1_i1	NA	NA	NA	NA	-0.187220529	unbias
TRINITY_DN129333_c0_g1_i3	NA	NA	NA	NA	0.378292962	unbias
TRINITY_DN129334_c0_g3_i1	NA	NA	NA	NA	-0.517895345	unbias
TRINITY_DN129335_c5_g1_i1	NA	NA	NA	NA	0.226663373	unbias
TRINITY_DN129335_c5_g2_i1	NA	NA	NA	NA	-0.325666586	unbias
TRINITY_DN129335_c8_g2_i1	NA	NA	NA	NA	0.932087285	unbias
TRINITY_DN129335_c9_g1_i1	NA	NA	NA	NA	-0.045654377	unbias
TRINITY_DN129336_c3_g11_i1	NA	NA	NA	NA	0.336094121	unbias
TRINITY_DN129338_c2_g9_i1	NA	NA	NA	NA	-0.238738913	unbias
TRINITY_DN129339_c0_g1_i3	NA	NA	NA	NA	-0.489996956	unbias
TRINITY_DN129341_c0_g1_i3	rft1	Chr04	113273473	113273473	0.193458888	unbias
TRINITY_DN129342_c0_g1_i2	tmem33	Chr01	27958081	27958081	0.184014971	unbias
TRINITY_DN129343_c0_g2_i1	NA	NA	NA	NA	0.557566305	unbias
TRINITY_DN129344_c3_g4_i22	nt5c1a	Chr05	138126817	138126817	-0.074689914	unbias
TRINITY_DN129344_c4_g6_i2	NA	NA	NA	NA	-0.061909972	unbias
TRINITY_DN129345_c0_g1_i2	NA	NA	NA	NA	0.121788416	unbias
TRINITY_DN129346_c3_g2_i3	NA	NA	NA	NA	-0.329822876	unbias
TRINITY_DN129347_c0_g4_i12	Xetrov90007206m	Chr03	8242025	8242025	0.626707887	unbias
TRINITY_DN129347_c0_g6_i2	NA	NA	NA	NA	0.185609283	unbias
TRINITY_DN129348_c0_g1_i1	NA	NA	NA	NA	0.350535181	unbias
TRINITY_DN129349_c0_g4_i6	dcaf10	Chr01	96541650	96541650	0.211073269	unbias
TRINITY_DN129350_c3_g1_i4	NA	NA	NA	NA	0.263836699	unbias
TRINITY_DN129351_c0_g1_i1	NA	NA	NA	NA	0.412360092	unbias
TRINITY_DN129353_c3_g5_i2	gfer	Chr09	10368152	10368152	-0.532787685	unbias
TRINITY_DN129354_c0_g1_i2	LOC100490284-like	scaffold_1043	5859	5859	0.438015805	unbias
TRINITY_DN129356_c1_g4_i3	NA	NA	NA	NA	-0.08018075	unbias
TRINITY_DN129356_c2_g3_i2	NA	NA	NA	NA	0.620015472	unbias
TRINITY_DN129357_c2_g3_i2	nup93	Chr04	46263049	46263049	-0.25609658	unbias
TRINITY_DN129357_c3_g5_i2	NA	NA	NA	NA	0.464767839	unbias
TRINITY_DN129358_c1_g1_i2	NA	NA	NA	NA	-0.086077664	unbias
TRINITY_DN129358_c4_g1_i2	NA	NA	NA	NA	-0.207616983	unbias
TRINITY_DN129359_c0_g3_i1	NA	NA	NA	NA	1.974963414	unbias
TRINITY_DN129360_c0_g1_i1	NA	NA	NA	NA	-0.01426109	unbias
TRINITY_DN129361_c3_g1_i1	NA	NA	NA	NA	-0.277586964	unbias
TRINITY_DN129361_c4_g3_i2	NA	NA	NA	NA	0.113135766	unbias
TRINITY_DN129361_c4_g4_i3	LOC100487469	Chr03	12515401	12515401	-0.208829196	unbias
TRINITY_DN129361_c4_g5_i1	NA	NA	NA	NA	-0.183949371	unbias
TRINITY_DN129364_c0_g1_i1	NA	NA	NA	NA	-0.300391193	unbias
TRINITY_DN129364_c0_g2_i1	NA	NA	NA	NA	-0.193417554	unbias
TRINITY_DN129366_c0_g3_i1	NA	NA	NA	NA	0.541571721	unbias
TRINITY_DN129367_c1_g4_i3	NA	NA	NA	NA	0.437056262	unbias
TRINITY_DN129370_c1_g2_i2	adar	scaffold_553	11761	11761	0.334211761	unbias
TRINITY_DN129370_c1_g3_i2	NA	NA	NA	NA	0.387876751	unbias
TRINITY_DN129372_c1_g1_i1	NA	NA	NA	NA	-0.015162095	unbias
TRINITY_DN129373_c3_g2_i1	spon2	Chr01	14487640	14487640	-0.030099128	unbias
TRINITY_DN129374_c0_g2_i1	Xetrov90023207m	Chr09	12703424	12703424	0.402696364	unbias
TRINITY_DN129376_c0_g1_i1	NA	NA	NA	NA	0.246107131	unbias
TRINITY_DN129377_c0_g2_i2	NA	NA	NA	NA	-0.171817086	unbias
TRINITY_DN129379_c8_g11_i1	nme4	Chr09	15200553	15200553	0.233526227	unbias
TRINITY_DN129381_c0_g1_i4	NA	NA	NA	NA	0.551688537	unbias
TRINITY_DN129382_c0_g8_i1	mkln1	Chr03	75375494	75375494	0.199027439	unbias
TRINITY_DN129383_c0_g1_i6	NA	NA	NA	NA	-0.253905528	unbias
TRINITY_DN129384_c0_g2_i2	NA	NA	NA	NA	0.678979846	unbias
TRINITY_DN129385_c0_g1_i4	NA	NA	NA	NA	1.993424382	unbias
TRINITY_DN129386_c0_g2_i11	NA	NA	NA	NA	-0.23210678	unbias
TRINITY_DN129386_c0_g4_i2	LOC100498128-like	scaffold_394	13497	13497	-0.609888506	unbias
TRINITY_DN129388_c0_g2_i1	NA	NA	NA	NA	0.087350046	unbias
TRINITY_DN129389_c1_g1_i2	wnt9a	Chr06	1655021	1655021	0.346426787	unbias
TRINITY_DN129390_c0_g2_i4	hectd3	Chr04	73169917	73169917	0.814613831	unbias
TRINITY_DN129391_c3_g2_i4	NA	NA	NA	NA	-0.819404348	unbias
TRINITY_DN129391_c3_g3_i2	NA	NA	NA	NA	-0.079004995	unbias
TRINITY_DN129392_c0_g1_i1	LOC100125044	Chr08	26076960	26076960	0.193006196	unbias
TRINITY_DN129393_c1_g1_i1	daglb	Chr09	19651954	19651954	0.772952196	unbias
TRINITY_DN129393_c2_g1_i1	NA	NA	NA	NA	0.978494683	unbias
TRINITY_DN129393_c3_g2_i1	NA	NA	NA	NA	1.096095996	unbias
TRINITY_DN129396_c9_g3_i1	NA	NA	NA	NA	0.199850791	unbias
TRINITY_DN129398_c7_g1_i4	NA	NA	NA	NA	-0.320081621	unbias
TRINITY_DN129398_c8_g1_i2	NA	NA	NA	NA	-0.493848108	unbias
TRINITY_DN129401_c4_g1_i1	nek4	scaffold_1300	608	608	-0.092752666	unbias
TRINITY_DN129401_c5_g1_i1	psmb2	Chr02	56240482	56240482	0.664017007	unbias
TRINITY_DN129402_c0_g1_i1	sec14l3	Chr01	131870504	131870504	-0.054640133	unbias
TRINITY_DN129403_c0_g1_i2	NA	NA	NA	NA	-0.086107722	unbias
TRINITY_DN129404_c0_g1_i1	NA	NA	NA	NA	0.046845695	unbias
TRINITY_DN129404_c2_g1_i2	NA	NA	NA	NA	-0.089683803	unbias
TRINITY_DN129405_c5_g1_i4	NA	NA	NA	NA	-0.107595962	unbias
TRINITY_DN129407_c2_g1_i1	NA	NA	NA	NA	0.867780212	unbias
TRINITY_DN129408_c1_g3_i1	NA	NA	NA	NA	0.133915325	unbias
TRINITY_DN129408_c6_g1_i1	NA	NA	NA	NA	0.165502329	unbias
TRINITY_DN129408_c6_g2_i2	NA	NA	NA	NA	0.298420633	unbias
TRINITY_DN129408_c7_g2_i3	NA	NA	NA	NA	0.325753932	unbias
TRINITY_DN129411_c0_g2_i1	NA	NA	NA	NA	0.492627832	unbias
TRINITY_DN129412_c0_g1_i2	NA	NA	NA	NA	0.745515022	unbias
TRINITY_DN129413_c2_g2_i2	ism2	Chr08	61808235	61808235	0.5017796	unbias
TRINITY_DN129414_c0_g1_i4	NA	NA	NA	NA	-0.409113947	unbias
TRINITY_DN129417_c2_g1_i1	NA	NA	NA	NA	-0.481954779	unbias
TRINITY_DN129417_c2_g3_i1	NA	NA	NA	NA	-0.199545443	unbias
TRINITY_DN129417_c3_g1_i10	skiv2l	Chr08	53806244	53806244	0.142175068	unbias
TRINITY_DN129417_c3_g2_i1	NA	NA	NA	NA	-0.292154873	unbias
TRINITY_DN129420_c0_g1_i2	pou2af1	Chr07	75286793	75286793	-0.304425571	unbias
TRINITY_DN129422_c6_g1_i2	NA	NA	NA	NA	0.679913067	unbias
TRINITY_DN129424_c6_g1_i1	fcho1	Chr01	99026014	99026014	-0.187781743	unbias
TRINITY_DN129425_c1_g1_i1	ydjc	Chr01	145359107	145359107	-0.485000933	unbias
TRINITY_DN129425_c1_g2_i1	NA	NA	NA	NA	-0.027307137	unbias
TRINITY_DN129425_c2_g2_i3	rgs20	Chr06	100021654	100021654	-0.409132529	unbias
TRINITY_DN129426_c1_g2_i6	NA	NA	NA	NA	0.106049616	unbias
TRINITY_DN129427_c0_g6_i2	NA	NA	NA	NA	0.15461122	unbias
TRINITY_DN129427_c0_g8_i10	NA	NA	NA	NA	-0.418260176	unbias
TRINITY_DN129428_c0_g1_i1	NA	NA	NA	NA	-0.080432429	unbias
TRINITY_DN129428_c2_g4_i1	NA	NA	NA	NA	0.58764654	unbias
TRINITY_DN129429_c1_g1_i2	NA	NA	NA	NA	0.09647672	unbias
TRINITY_DN129429_c1_g4_i2	hpse	Chr01	88798881	88798881	0.911717833	unbias
TRINITY_DN129429_c1_g5_i3	NA	NA	NA	NA	0.417671145	unbias
TRINITY_DN129430_c0_g1_i1	NA	NA	NA	NA	-0.419771095	unbias
TRINITY_DN129431_c3_g2_i3	NA	NA	NA	NA	0.255074109	unbias
TRINITY_DN129431_c4_g2_i2	ercc8	Chr01	46198772	46198772	0.227340052	unbias
TRINITY_DN129431_c4_g3_i1	NA	NA	NA	NA	-0.160251968	unbias
TRINITY_DN129432_c5_g2_i2	NA	NA	NA	NA	0.415591585	unbias
TRINITY_DN129432_c6_g1_i2	elf2	Chr01	51750008	51750008	-0.761710026	unbias
TRINITY_DN129433_c0_g1_i1	NA	NA	NA	NA	-0.129079913	unbias
TRINITY_DN129434_c2_g1_i1	NA	NA	NA	NA	1.198317982	unbias
TRINITY_DN129434_c4_g1_i1	NA	NA	NA	NA	0.433813801	unbias
TRINITY_DN129434_c4_g2_i1	NA	NA	NA	NA	-0.089186478	unbias
TRINITY_DN129434_c4_g5_i1	NA	NA	NA	NA	-0.244016273	unbias
TRINITY_DN129435_c2_g1_i1	NA	NA	NA	NA	0.16613364	unbias
TRINITY_DN129436_c4_g3_i1	amdhd1	Chr03	47684352	47684352	0.693579518	unbias
TRINITY_DN129437_c2_g2_i1	NA	NA	NA	NA	0.182531022	unbias
TRINITY_DN129438_c4_g1_i4	urb1	Chr02	11237783	11237783	-0.137513105	unbias
TRINITY_DN129438_c4_g7_i1	NA	NA	NA	NA	0.28904036	unbias
TRINITY_DN129440_c5_g1_i1	NA	NA	NA	NA	0.954175385	unbias
TRINITY_DN129440_c9_g2_i2	NA	NA	NA	NA	-0.326574093	unbias
TRINITY_DN129441_c7_g1_i3	NA	NA	NA	NA	-0.22187848	unbias
TRINITY_DN129442_c0_g2_i3	NA	NA	NA	NA	-0.140411188	unbias
TRINITY_DN129443_c4_g3_i1	pcna	Chr03	111252130	111252130	0.317163162	unbias
TRINITY_DN129443_c5_g4_i10	NA	NA	NA	NA	-0.246158126	unbias
TRINITY_DN129444_c0_g1_i1	NA	NA	NA	NA	0.188667688	unbias
TRINITY_DN129445_c0_g1_i3	ambn	Chr01	70163605	70163605	0.147398085	unbias
TRINITY_DN129446_c1_g2_i2	NA	NA	NA	NA	0.654026723	unbias
TRINITY_DN129448_c0_g2_i2	NA	NA	NA	NA	0.018326123	unbias
TRINITY_DN129449_c0_g3_i1	NA	NA	NA	NA	0.054776227	unbias
TRINITY_DN129451_c0_g1_i2	NA	NA	NA	NA	-0.120842307	unbias
TRINITY_DN129452_c0_g1_i5	NA	NA	NA	NA	0.021077637	unbias
TRINITY_DN129454_c4_g3_i3	MGC76064	Chr01	117118938	117118938	0.350030014	unbias
TRINITY_DN129454_c4_g4_i2	LOC100489322-like	Chr03	3352778	3352778	-0.16279744	unbias
TRINITY_DN129455_c0_g1_i2	mier2-like	Chr01	86231434	86231434	-0.356354756	unbias
TRINITY_DN129458_c1_g2_i2	il1rapl2	Chr08	37750559	37750559	0.886239943	unbias
TRINITY_DN129461_c5_g1_i1	NA	NA	NA	NA	0.06239445	unbias
TRINITY_DN129461_c6_g1_i2	NA	NA	NA	NA	-0.091755012	unbias
TRINITY_DN129462_c3_g1_i2	NA	NA	NA	NA	0.150518254	unbias
TRINITY_DN129463_c4_g4_i2	NA	NA	NA	NA	-0.937637356	unbias
TRINITY_DN129466_c1_g3_i1	NA	NA	NA	NA	-0.478431668	unbias
TRINITY_DN129467_c0_g1_i1	NA	NA	NA	NA	0.803784007	unbias
TRINITY_DN129468_c0_g2_i1	NA	NA	NA	NA	-0.499395323	unbias
TRINITY_DN129468_c0_g4_i4	NA	NA	NA	NA	-0.602419046	unbias
TRINITY_DN129469_c0_g2_i4	NA	NA	NA	NA	0.016091394	unbias
TRINITY_DN129470_c0_g1_i3	NA	NA	NA	NA	-0.289311977	unbias
TRINITY_DN129471_c4_g1_i1	NA	NA	NA	NA	-0.101792747	unbias
TRINITY_DN129471_c5_g2_i1	tor4a	scaffold_356	5271	5271	0.60334322	unbias
TRINITY_DN129472_c0_g1_i2	NA	NA	NA	NA	0.265271482	unbias
TRINITY_DN129473_c0_g1_i4	NA	NA	NA	NA	-0.709846553	unbias
TRINITY_DN129474_c1_g1_i2	NA	NA	NA	NA	-0.637408052	unbias
TRINITY_DN129479_c10_g1_i1	NA	NA	NA	NA	-0.420699341	unbias
TRINITY_DN129479_c11_g4_i2	NA	NA	NA	NA	-0.271308911	unbias
TRINITY_DN129479_c5_g1_i1	NA	NA	NA	NA	-0.242020985	unbias
TRINITY_DN129480_c0_g2_i9	prune	Chr08	115083570	115083570	0.145077959	unbias
TRINITY_DN129483_c3_g2_i2	NA	NA	NA	NA	0.11589196	unbias
TRINITY_DN129483_c3_g3_i1	NA	NA	NA	NA	0.618601343	unbias
TRINITY_DN129484_c3_g1_i2	rps19-like	Chr07	110337848	110337848	-0.323282597	unbias
TRINITY_DN129484_c5_g2_i1	acadm	Chr04	70823063	70823063	-0.134577093	unbias
TRINITY_DN129484_c5_g5_i1	NA	NA	NA	NA	0.070661049	unbias
TRINITY_DN129485_c0_g1_i1	NA	NA	NA	NA	-0.129516798	unbias
TRINITY_DN129486_c0_g1_i1	NA	NA	NA	NA	0.381499636	unbias
TRINITY_DN129486_c1_g1_i4	LOC100497102-like	Chr03	81118493	81118493	0.497151374	unbias
TRINITY_DN129488_c0_g1_i2	rab23	Chr05	89097663	89097663	-0.519996396	unbias
TRINITY_DN129489_c0_g1_i5	NA	NA	NA	NA	0.369228016	unbias
TRINITY_DN129490_c1_g2_i2	txlng-like	Chr02	90841200	90841200	-0.203862631	unbias
TRINITY_DN129491_c0_g1_i4	LOC101731410	Chr09	53448225	53448225	-0.088604209	unbias
TRINITY_DN129494_c2_g1_i1	NA	NA	NA	NA	-0.139326658	unbias
TRINITY_DN129496_c1_g4_i2	NA	NA	NA	NA	0.029699534	unbias
TRINITY_DN129497_c2_g1_i1	NA	NA	NA	NA	-0.237201973	unbias
TRINITY_DN129499_c0_g1_i2	NA	NA	NA	NA	-0.174379281	unbias
TRINITY_DN129500_c5_g1_i3	nsf	Chr10	8804766	8804766	0.199821639	unbias
TRINITY_DN129501_c4_g2_i1	NA	NA	NA	NA	-0.054581987	unbias
TRINITY_DN129502_c0_g1_i4	NA	NA	NA	NA	0.08239588	unbias
TRINITY_DN129503_c1_g1_i2	tmem43-like	Chr04	122489246	122489246	0.204108312	unbias
TRINITY_DN129504_c3_g4_i1	NA	NA	NA	NA	0.019253956	unbias
TRINITY_DN129504_c3_g5_i1	NA	NA	NA	NA	0.417288697	unbias
TRINITY_DN129505_c0_g2_i3	NA	NA	NA	NA	-0.040777722	unbias
TRINITY_DN129506_c3_g8_i2	NA	NA	NA	NA	-0.098163192	unbias
TRINITY_DN129507_c3_g1_i2	map3k8	Chr06	15573627	15573627	-0.198371744	unbias
TRINITY_DN129508_c0_g3_i1	NA	NA	NA	NA	-0.477048615	unbias
TRINITY_DN129508_c1_g3_i2	NA	NA	NA	NA	0.053506985	unbias
TRINITY_DN129508_c2_g3_i2	clcn4	Chr02	71984826	71984826	0.016875151	unbias
TRINITY_DN129512_c2_g1_i1	hdac10	Chr03	62179560	62179560	-0.30003336	unbias
TRINITY_DN129512_c5_g1_i2	NA	NA	NA	NA	-0.659775853	unbias
TRINITY_DN129514_c0_g1_i1	NA	NA	NA	NA	-0.032814466	unbias
TRINITY_DN129517_c5_g1_i2	NA	NA	NA	NA	-0.173325226	unbias
TRINITY_DN129518_c5_g3_i2	NA	NA	NA	NA	-0.294952667	unbias
TRINITY_DN129519_c3_g2_i1	tbl2	Chr02	31775444	31775444	-0.218058584	unbias
TRINITY_DN129520_c2_g10_i1	NA	NA	NA	NA	-0.14328105	unbias
TRINITY_DN129521_c3_g1_i1	NA	NA	NA	NA	-0.218647625	unbias
TRINITY_DN129523_c0_g2_i1	NA	NA	NA	NA	-0.043411578	unbias
TRINITY_DN129523_c0_g4_i3	NA	NA	NA	NA	0.32889618	unbias
TRINITY_DN129524_c0_g1_i5	NA	NA	NA	NA	-0.015176522	unbias
TRINITY_DN129525_c1_g3_i1	NA	NA	NA	NA	0.62240127	unbias
TRINITY_DN129526_c4_g1_i1	NA	NA	NA	NA	-0.728975912	unbias
TRINITY_DN129526_c5_g2_i1	NA	NA	NA	NA	-0.07965787	unbias
TRINITY_DN129527_c1_g1_i1	NA	NA	NA	NA	-0.31773466	unbias
TRINITY_DN129527_c5_g2_i1	sh3gl2	Chr01	106069081	106069081	0.663751448	unbias
TRINITY_DN129528_c0_g1_i3	LOC100496633-like	Chr01	177562673	177562673	0.52339165	unbias
TRINITY_DN129529_c0_g1_i1	egfl7	scaffold_148	74019	74019	0.525853931	unbias
TRINITY_DN129530_c2_g3_i2	NA	NA	NA	NA	0.060871233	unbias
TRINITY_DN129533_c0_g1_i1	NA	NA	NA	NA	-2.63296586	unbias
TRINITY_DN129533_c0_g3_i1	abcd3	Chr04	93334501	93334501	0.537037173	unbias
TRINITY_DN129534_c0_g1_i1	NA	NA	NA	NA	0.083295931	unbias
TRINITY_DN129534_c0_g2_i3	acot12	Chr01	167928424	167928424	0.189529776	unbias
