chr	chrid	trans	dNdS	dN	dS				
Auto	Auto	TRINITY_DN128345_c0_g1_i1	0.0669	0.0766	1.1454				
Auto	Auto	TRINITY_DN98575_c0_g2_i1	0.1355	0.1552	1.1455				
Auto	Auto	TRINITY_DN124994_c5_g1_i1	0.0225	0.0258	1.1458				
Auto	Auto	TRINITY_DN120729_c0_g1_i3	0.1232	0.1412	1.1463				
Auto	Auto	TRINITY_DN133113_c0_g1_i5	0.0505	0.0579	1.1464				
Auto	Auto	TRINITY_DN128788_c1_g1_i2	0.0288	0.033	1.1468				
Auto	Auto	TRINITY_DN104801_c0_g1_i1	0.0525	0.0603	1.1476				
Auto	Auto	TRINITY_DN130389_c11_g1_i3	0.0445	0.051	1.1479				
Auto	Auto	TRINITY_DN135593_c1_g1_i2	0.0543	0.0623	1.1479				
Auto	Auto	TRINITY_DN123883_c0_g1_i5	0.0774	0.0889	1.1481				
Auto	Auto	TRINITY_DN135099_c3_g1_i1	0.009	0.0103	1.1482				
Auto	Auto	TRINITY_DN129912_c3_g1_i1	0.0271	0.0311	1.1483				
Auto	Auto	TRINITY_DN125617_c0_g1_i3	0.1377	0.1581	1.1488				
Auto	Auto	TRINITY_DN112266_c0_g1_i1	0.0356	0.0408	1.1489				
Auto	Auto	TRINITY_DN124050_c0_g2_i1	0.0596	0.0685	1.1499				
Auto	Auto	TRINITY_DN124819_c0_g1_i3	0.0566	0.0651	1.1503				
Auto	Auto	TRINITY_DN114603_c0_g3_i1	0.1117	0.1285	1.1503				
Auto	Auto	TRINITY_DN123734_c0_g1_i1	0.0167	0.0192	1.1505				
Auto	Auto	TRINITY_DN129794_c2_g3_i1	0.0504	0.058	1.1513				
Auto	Auto	TRINITY_DN134946_c4_g2_i1	0.0544	0.0626	1.1513				
Auto	Auto	TRINITY_DN101292_c0_g1_i3	0.0589	0.0678	1.1513				
Auto	Auto	TRINITY_DN124379_c1_g1_i3	0.0593	0.0682	1.1514				
Auto	Auto	TRINITY_DN131977_c9_g1_i3	0.1431	0.1648	1.1515				
Auto	Auto	TRINITY_DN109502_c0_g1_i2	0.0425	0.0489	1.1518				
Auto	Auto	TRINITY_DN127064_c0_g1_i1	0.0679	0.0782	1.1521				
Auto	Auto	TRINITY_DN128112_c3_g1_i2	0.0082	0.0095	1.1525				
Auto	Auto	TRINITY_DN115972_c0_g1_i1	0.0692	0.0798	1.153				
Auto	Auto	TRINITY_DN115947_c0_g7_i2	0.1617	0.1865	1.1532				
Auto	Auto	TRINITY_DN122355_c6_g2_i1	0.0254	0.0293	1.1535				
Auto	Auto	TRINITY_DN112465_c0_g1_i1	0.0449	0.0518	1.1539				
Auto	Auto	TRINITY_DN131141_c1_g1_i1	0.1343	0.155	1.1539				
Auto	Auto	TRINITY_DN132679_c1_g1_i4	0.0775	0.0894	1.1542				
Auto	Auto	TRINITY_DN115432_c0_g1_i1	0.0496	0.0573	1.155				
Auto	Auto	TRINITY_DN129160_c2_g5_i2	0.058	0.067	1.1551				
Auto	Auto	TRINITY_DN122144_c1_g4_i2	0.0116	0.0135	1.1558				
Auto	Auto	TRINITY_DN71917_c0_g3_i1	0.1387	0.1604	1.1564				
Auto	Auto	TRINITY_DN130751_c0_g4_i5	0.025	0.0289	1.1567				
Auto	Auto	TRINITY_DN124993_c2_g4_i1	0.0505	0.0584	1.1575				
Auto	Auto	TRINITY_DN124008_c0_g9_i2	0.0417	0.0483	1.1581				
Auto	Auto	TRINITY_DN128935_c0_g1_i2	0.1054	0.1221	1.1582				
Auto	Auto	TRINITY_DN123854_c0_g3_i2	0.0331	0.0384	1.1583				
Auto	Auto	TRINITY_DN115075_c0_g1_i1	0.0498	0.0577	1.1583				
Auto	Auto	TRINITY_DN135357_c0_g2_i1	0.0265	0.0307	1.159				
Auto	Auto	TRINITY_DN133130_c1_g3_i4	0.0244	0.0283	1.1591				
Auto	Auto	TRINITY_DN119113_c0_g1_i1	0.0581	0.0674	1.1597				
Auto	Auto	TRINITY_DN123455_c3_g1_i1	0.1049	0.1218	1.1603				
Auto	Auto	TRINITY_DN126192_c3_g2_i13	0.0734	0.0852	1.1605				
Auto	Auto	TRINITY_DN25250_c0_g1_i1	0.1168	0.1356	1.1606				
Auto	Auto	TRINITY_DN135249_c0_g5_i1	0.1181	0.1372	1.1612				
Auto	Auto	TRINITY_DN123973_c0_g1_i2	0.1086	0.1262	1.1614				
Auto	Auto	TRINITY_DN124959_c3_g1_i1	0.0267	0.0311	1.1621				
Auto	Auto	TRINITY_DN121585_c3_g5_i1	0.0303	0.0352	1.1626				
Auto	Auto	TRINITY_DN124954_c5_g3_i6	0.0218	0.0253	1.1627				
Auto	Auto	TRINITY_DN125175_c2_g1_i1	0.1174	0.1365	1.1627				
Auto	Auto	TRINITY_DN131756_c1_g1_i2	0.0109	0.0126	1.1634				
Auto	Auto	TRINITY_DN98719_c0_g3_i1	0.0707	0.0822	1.1635				
Auto	Auto	TRINITY_DN124292_c0_g2_i17	0.1133	0.1318	1.1637				
Auto	Auto	TRINITY_DN118973_c1_g2_i1	0.136	0.1584	1.1642				
Auto	Auto	TRINITY_DN128653_c3_g4_i6	0.0772	0.0899	1.1645				
Auto	Auto	TRINITY_DN110790_c0_g1_i1	0.0143	0.0167	1.1646				
Auto	Auto	TRINITY_DN131601_c5_g1_i1	0.0421	0.0491	1.165				
Auto	Auto	TRINITY_DN123812_c0_g1_i9	0.041	0.0478	1.1652				
Auto	Auto	TRINITY_DN113711_c0_g1_i1	0.1285	0.1498	1.1652				
Auto	Auto	TRINITY_DN115879_c0_g1_i1	0.0182	0.0212	1.1658				
Auto	Auto	TRINITY_DN3134_c0_g1_i1	0.1153	0.1345	1.1662				
Auto	Auto	TRINITY_DN117359_c0_g1_i4	0.047	0.0548	1.1666				
Auto	Auto	TRINITY_DN131197_c1_g2_i3	0.1134	0.1324	1.1667				
Auto	Auto	TRINITY_DN136568_c12_g3_i2	0.0763	0.0891	1.1669				
Auto	Auto	TRINITY_DN133519_c5_g1_i7	0.1018	0.1188	1.1669				
Auto	Auto	TRINITY_DN135531_c2_g1_i4	0.0673	0.0785	1.1671				
Auto	Auto	TRINITY_DN124827_c1_g4_i6	0.0363	0.0424	1.1683				
Auto	Auto	TRINITY_DN112684_c0_g1_i1	0.1403	0.1639	1.1686				
Auto	Auto	TRINITY_DN125448_c0_g4_i2	0.0562	0.0657	1.1687				
Auto	Auto	TRINITY_DN115343_c0_g1_i1	0.0202	0.0236	1.1688				
Auto	Auto	TRINITY_DN129822_c0_g1_i2	0.1341	0.1568	1.1688				
Auto	Auto	TRINITY_DN135015_c6_g6_i1	0.035	0.0409	1.1689				
Auto	Auto	TRINITY_DN122865_c0_g1_i1	0.0132	0.0154	1.169				
Auto	Auto	TRINITY_DN127049_c0_g3_i1	0.0405	0.0474	1.169				
Auto	Auto	TRINITY_DN119473_c0_g1_i1	0.0625	0.0731	1.1696				
Auto	Auto	TRINITY_DN122777_c0_g3_i1	0.1731	0.2025	1.1698				
Auto	Auto	TRINITY_DN134555_c0_g1_i2	0.0298	0.0349	1.1702				
Auto	Auto	TRINITY_DN117210_c0_g1_i1	0.1456	0.1705	1.1707				
Auto	Auto	TRINITY_DN128158_c3_g1_i1	0.0836	0.0979	1.1708				
Auto	Auto	TRINITY_DN134419_c0_g1_i3	0.0539	0.0631	1.1718				
Auto	Auto	TRINITY_DN125335_c2_g1_i2	0.1639	0.1922	1.1723				
Auto	Auto	TRINITY_DN131963_c0_g1_i1	0.0354	0.0415	1.1725				
Auto	Auto	TRINITY_DN127625_c1_g1_i3	0.007	0.0083	1.1727				
Auto	Auto	TRINITY_DN114798_c0_g1_i1	0.1779	0.2087	1.1728				
Auto	Auto	TRINITY_DN94759_c0_g1_i1	0.3254	0.3818	1.1731				
Auto	Auto	TRINITY_DN121715_c0_g1_i1	0.0336	0.0394	1.1734				
Auto	Auto	TRINITY_DN127109_c0_g1_i3	0.0369	0.0433	1.1736				
Auto	Auto	TRINITY_DN119403_c0_g1_i1	0.1172	0.1376	1.1738				
Auto	Auto	TRINITY_DN126978_c0_g3_i3	0.1103	0.1295	1.174				
Auto	Auto	TRINITY_DN115017_c0_g1_i1	0.1265	0.1485	1.174				
Auto	Auto	TRINITY_DN115289_c0_g1_i3	0.0338	0.0397	1.1741				
Auto	Auto	TRINITY_DN128528_c0_g4_i4	0.1253	0.1472	1.1755				
Auto	Auto	TRINITY_DN115794_c1_g1_i1	0.0684	0.0804	1.1759				
Auto	Auto	TRINITY_DN134695_c2_g1_i7	0.0564	0.0663	1.176				
Auto	Auto	TRINITY_DN119603_c0_g2_i2	0.1008	0.1185	1.1761				
Auto	Auto	TRINITY_DN131338_c2_g1_i2	0.109	0.1283	1.1765				
Auto	Auto	TRINITY_DN131072_c0_g1_i1	0.0863	0.1015	1.1767				
Auto	Auto	TRINITY_DN130818_c0_g1_i1	0.1812	0.2132	1.1768				
Auto	Auto	TRINITY_DN130483_c4_g1_i2	0.1904	0.2241	1.177				
Auto	Auto	TRINITY_DN110399_c0_g1_i1	0.0299	0.0352	1.1772				
Auto	Auto	TRINITY_DN125866_c5_g2_i2	0.2764	0.3255	1.1776				
Auto	Auto	TRINITY_DN127499_c0_g1_i1	0.0961	0.1132	1.1778				
Auto	Auto	TRINITY_DN122051_c3_g10_i1	0.0482	0.0568	1.1782				
Auto	Auto	TRINITY_DN81414_c0_g1_i1	0.059	0.0696	1.1784				
Auto	Auto	TRINITY_DN125571_c2_g3_i1	0.0549	0.0647	1.1786				
Auto	Auto	TRINITY_DN96380_c0_g1_i1	0.2873	0.3386	1.1786				
Auto	Auto	TRINITY_DN119707_c0_g1_i1	0.2598	0.3063	1.1788				
Auto	Auto	TRINITY_DN129662_c2_g1_i1	0.0404	0.0476	1.179				
Auto	Auto	TRINITY_DN115718_c0_g2_i4	0.039	0.046	1.1791				
Auto	Auto	TRINITY_DN114373_c0_g1_i1	0.0197	0.0232	1.1792				
Auto	Auto	TRINITY_DN133356_c6_g2_i2	0.0818	0.0965	1.1793				
Auto	Auto	TRINITY_DN115154_c0_g1_i1	0.0356	0.042	1.1794				
Auto	Auto	TRINITY_DN118973_c0_g1_i1	0.0884	0.1043	1.18				
Auto	Auto	TRINITY_DN119978_c0_g1_i1	0.0567	0.0669	1.1803				
Auto	Auto	TRINITY_DN131239_c0_g1_i1	0.1373	0.1621	1.1806				
Auto	Auto	TRINITY_DN132826_c2_g2_i1	0.0187	0.0221	1.1811				
Auto	Auto	TRINITY_DN125169_c2_g3_i1	0.2013	0.2379	1.1813				
Auto	Auto	TRINITY_DN133351_c7_g2_i4	0.2102	0.2483	1.1814				
Auto	Auto	TRINITY_DN133809_c1_g10_i4	0.1146	0.1354	1.1815				
Auto	Auto	TRINITY_DN119453_c0_g1_i1	0.1366	0.1614	1.1816				
Auto	Auto	TRINITY_DN114797_c0_g1_i1	0.0277	0.0327	1.1818				
Auto	Auto	TRINITY_DN130053_c2_g1_i8	0.0452	0.0535	1.182				
Auto	Auto	TRINITY_DN120237_c0_g2_i1	0.2336	0.2762	1.182				
Auto	Auto	TRINITY_DN121091_c0_g1_i3	0.1553	0.1837	1.1823				
Auto	Auto	TRINITY_DN122465_c0_g2_i2	0.0502	0.0593	1.1829				
Auto	Auto	TRINITY_DN126931_c1_g2_i7	0.0377	0.0446	1.183				
Auto	Auto	TRINITY_DN128792_c0_g1_i6	0.0263	0.0311	1.1831				
Auto	Auto	TRINITY_DN133088_c5_g1_i1	0.0657	0.0778	1.1834				
Auto	Auto	TRINITY_DN108726_c0_g1_i1	0.0854	0.1011	1.1838				
Auto	Auto	TRINITY_DN96585_c0_g2_i1	0.1181	0.1398	1.1839				
Auto	Auto	TRINITY_DN122066_c0_g1_i1	0.0875	0.1037	1.1842				
Auto	Auto	TRINITY_DN116621_c0_g1_i2	0.0715	0.0847	1.1844				
Auto	Auto	TRINITY_DN130777_c3_g1_i1	0.0573	0.0679	1.1847				
Auto	Auto	TRINITY_DN131124_c2_g4_i2	0.0297	0.0352	1.1851				
Auto	Auto	TRINITY_DN131419_c0_g1_i1	0.0173	0.0205	1.1852				
Auto	Auto	TRINITY_DN129402_c0_g1_i1	0.0263	0.0312	1.1852				
Auto	Auto	TRINITY_DN128850_c0_g1_i4	0.2333	0.2767	1.1856				
Auto	Auto	TRINITY_DN134169_c14_g2_i2	0.0704	0.0835	1.1861				
Auto	Auto	TRINITY_DN124371_c0_g1_i1	0.1065	0.1264	1.1866				
Auto	Auto	TRINITY_DN123065_c0_g4_i1	0.1273	0.1512	1.1872				
Auto	Auto	TRINITY_DN110953_c0_g1_i2	0.0036	0.0043	1.1874				
Auto	Auto	TRINITY_DN118406_c0_g1_i2	0.0187	0.0223	1.1874				
Auto	Auto	TRINITY_DN124350_c1_g2_i1	0.1319	0.1567	1.1874				
Auto	Auto	TRINITY_DN121396_c0_g1_i1	0.051	0.0606	1.1875				
Auto	Auto	TRINITY_DN102312_c0_g1_i1	0.2088	0.248	1.1875				
Auto	Auto	TRINITY_DN130764_c2_g2_i4	0.0097	0.0115	1.1876				
Auto	Auto	TRINITY_DN124624_c0_g1_i2	0.0109	0.013	1.1878				
Auto	Auto	TRINITY_DN137733_c0_g1_i1	0.1241	0.1474	1.1878				
Auto	Auto	TRINITY_DN136584_c4_g5_i2	0.0894	0.1062	1.1879				
Auto	Auto	TRINITY_DN131634_c0_g1_i1	0.0382	0.0454	1.188				
Auto	Auto	TRINITY_DN134623_c0_g1_i4	0.2808	0.3336	1.1882				
Auto	Auto	TRINITY_DN119252_c0_g2_i8	0.024	0.0285	1.1889				
Auto	Auto	TRINITY_DN135259_c1_g4_i2	0.2648	0.3149	1.1892				
Auto	Auto	TRINITY_DN134102_c3_g2_i1	0.0501	0.0596	1.1893				
Auto	Auto	TRINITY_DN129348_c0_g1_i1	0.0251	0.0298	1.1894				
Auto	Auto	TRINITY_DN104365_c0_g3_i1	0.0999	0.1188	1.1895				
Auto	Auto	TRINITY_DN107472_c0_g1_i1	0.0772	0.0918	1.1896				
Auto	Auto	TRINITY_DN119118_c0_g1_i13	0.1134	0.1349	1.1898				
Auto	Auto	TRINITY_DN131011_c0_g1_i2	0.1207	0.1436	1.1899				
Auto	Auto	TRINITY_DN123855_c0_g1_i1	0.0824	0.0981	1.1906				
Auto	Auto	TRINITY_DN135869_c1_g3_i2	0.0433	0.0516	1.1907				
Auto	Auto	TRINITY_DN125848_c0_g1_i3	0.0946	0.1126	1.1908				
Auto	Auto	TRINITY_DN133164_c3_g2_i1	0.0282	0.0336	1.1912				
Auto	Auto	TRINITY_DN134832_c5_g1_i1	0.0414	0.0493	1.1915				
Auto	Auto	TRINITY_DN134750_c7_g1_i1	0.0459	0.0547	1.1915				
Auto	Auto	TRINITY_DN119605_c0_g2_i2	0.0758	0.0904	1.1917				
Auto	Auto	TRINITY_DN128960_c2_g2_i7	0.0432	0.0515	1.192				
Auto	Auto	TRINITY_DN134224_c3_g2_i1	0.0442	0.0527	1.1921				
Auto	Auto	TRINITY_DN133780_c6_g1_i4	0.0898	0.1072	1.1932				
Auto	Auto	TRINITY_DN125942_c2_g3_i6	0.0468	0.0558	1.1935				
Auto	Auto	TRINITY_DN130857_c3_g1_i1	0.0765	0.0913	1.194				
Auto	Auto	TRINITY_DN133596_c0_g1_i1	0.0703	0.084	1.1943				
Auto	Auto	TRINITY_DN123387_c1_g1_i1	0.0229	0.0274	1.1945				
Auto	Auto	TRINITY_DN122809_c0_g1_i2	0.0188	0.0225	1.1947				
Auto	Auto	TRINITY_DN126003_c2_g1_i1	0.1007	0.1203	1.1947				
Auto	Auto	TRINITY_DN127498_c0_g1_i1	0.0301	0.036	1.1952				
Auto	Auto	TRINITY_DN114426_c0_g1_i1	0.0334	0.0399	1.1957				
Auto	Auto	TRINITY_DN115114_c1_g1_i1	0.1759	0.2104	1.1958				
Auto	Auto	TRINITY_DN128049_c2_g1_i3	0.0862	0.1031	1.1962				
Auto	Auto	TRINITY_DN126831_c0_g1_i2	0.0485	0.058	1.1964				
Auto	Auto	TRINITY_DN111332_c0_g2_i5	0.0224	0.0268	1.1966				
Auto	Auto	TRINITY_DN134500_c0_g1_i1	0.0543	0.065	1.1968				
Auto	Auto	TRINITY_DN124009_c0_g1_i3	0.1413	0.1691	1.1968				
Auto	Auto	TRINITY_DN129206_c1_g3_i1	0.1645	0.1969	1.1968				
Auto	Auto	TRINITY_DN130193_c8_g1_i3	0.0471	0.0564	1.1971				
Auto	Auto	TRINITY_DN121138_c0_g1_i1	0.2583	0.3092	1.1972				
Auto	Auto	TRINITY_DN124502_c0_g2_i8	0.0637	0.0763	1.1974				
Auto	Auto	TRINITY_DN132437_c0_g1_i3	0.1657	0.1984	1.1974				
Auto	Auto	TRINITY_DN124705_c0_g3_i1	0.0222	0.0266	1.1982				
Auto	Auto	TRINITY_DN134275_c2_g1_i1	0.0825	0.0989	1.1985				
Auto	Auto	TRINITY_DN122635_c5_g5_i6	0.0262	0.0314	1.1986				
Auto	Auto	TRINITY_DN134323_c0_g14_i2	0.0267	0.032	1.1987				
Auto	Auto	TRINITY_DN130411_c5_g1_i2	0.1315	0.1577	1.1991				
Auto	Auto	TRINITY_DN124347_c0_g1_i2	0.0282	0.0338	1.1994				
Auto	Auto	TRINITY_DN125401_c2_g2_i1	0.1094	0.1312	1.1994				
Auto	Auto	TRINITY_DN129295_c0_g2_i3	0.0227	0.0273	1.1995				
Auto	Auto	TRINITY_DN119033_c0_g1_i2	0.0774	0.0929	1.1998				
Auto	Auto	TRINITY_DN116965_c0_g1_i1	0.1108	0.1329	1.1998				
Auto	Auto	TRINITY_DN132670_c0_g3_i1	0.057	0.0684	1.1999				
Auto	Auto	TRINITY_DN128696_c0_g1_i2	0.0561	0.0673	1.2				
Auto	Auto	TRINITY_DN69027_c0_g2_i2	0.1148	0.1378	1.2				
Auto	Auto	TRINITY_DN121533_c0_g1_i2	0.0342	0.0411	1.2001				
Auto	Auto	TRINITY_DN128335_c6_g1_i3	0.0386	0.0464	1.2005				
Auto	Auto	TRINITY_DN125831_c0_g1_i1	0.0529	0.0636	1.2006				
Auto	Auto	TRINITY_DN134746_c1_g7_i4	0.1343	0.1613	1.2006				
Auto	Auto	TRINITY_DN133320_c2_g1_i1	0.0771	0.0926	1.2017				
Auto	Auto	TRINITY_DN133251_c3_g5_i1	0.2212	0.2659	1.202				
Auto	Auto	TRINITY_DN133683_c0_g2_i6	0.1229	0.1478	1.2025				
Auto	Auto	TRINITY_DN129245_c1_g2_i3	0.1097	0.132	1.2027				
Auto	Auto	TRINITY_DN135308_c2_g6_i1	0.0423	0.0509	1.2029				
Auto	Auto	TRINITY_DN128236_c0_g2_i1	0.0788	0.0948	1.2029				
Auto	Auto	TRINITY_DN132820_c6_g1_i4	0.0819	0.0986	1.203				
Auto	Auto	TRINITY_DN132102_c2_g4_i4	0.0509	0.0612	1.2031				
Auto	Auto	TRINITY_DN120595_c0_g1_i1	0.145	0.1745	1.2032				
Auto	Auto	TRINITY_DN122347_c0_g1_i2	0.0105	0.0127	1.2033				
Auto	Auto	TRINITY_DN133021_c1_g1_i1	0.0486	0.0585	1.2034				
Auto	Auto	TRINITY_DN125697_c1_g1_i1	0.0288	0.0346	1.2037				
Auto	Auto	TRINITY_DN119547_c0_g1_i1	0.1399	0.1684	1.2038				
Auto	Auto	TRINITY_DN114850_c0_g1_i1	0.1928	0.2321	1.2039				
Auto	Auto	TRINITY_DN131463_c0_g1_i2	0.1162	0.1399	1.2042				
Auto	Auto	TRINITY_DN113152_c0_g1_i1	0.0372	0.0448	1.2049				
Auto	Auto	TRINITY_DN119788_c0_g1_i2	0.9947	1.1985	1.205				
Auto	Auto	TRINITY_DN133014_c5_g4_i7	0.0831	0.1002	1.2051				
Auto	Auto	TRINITY_DN119544_c1_g1_i1	0.0047	0.0056	1.2053				
Auto	Auto	TRINITY_DN121980_c0_g1_i4	0.026	0.0314	1.2058				
Auto	Auto	TRINITY_DN135276_c4_g1_i4	0.0418	0.0504	1.2061				
Auto	Auto	TRINITY_DN134620_c2_g1_i1	0.0607	0.0732	1.2066				
Auto	Auto	TRINITY_DN113593_c0_g1_i1	0.1695	0.2045	1.2069				
Auto	Auto	TRINITY_DN124823_c0_g1_i2	0.0956	0.1154	1.2071				
Auto	Auto	TRINITY_DN126246_c0_g2_i1	0.1765	0.2131	1.2071				
Auto	Auto	TRINITY_DN126173_c2_g4_i1	0.1272	0.1535	1.2072				
Auto	Auto	TRINITY_DN123437_c0_g1_i2	0.0957	0.1156	1.2076				
Auto	Auto	TRINITY_DN130830_c1_g1_i2	0.1459	0.1763	1.2079				
Auto	Auto	TRINITY_DN111419_c0_g1_i1	0.1834	0.2216	1.2082				
Auto	Auto	TRINITY_DN121258_c1_g1_i1	0.0442	0.0534	1.2084				
Auto	Auto	TRINITY_DN126971_c0_g4_i1	0.0032	0.0038	1.2087				
Auto	Auto	TRINITY_DN132163_c5_g4_i2	0.0426	0.0515	1.2087				
Auto	Auto	TRINITY_DN124856_c0_g1_i2	0.0037	0.0044	1.2088				
Auto	Auto	TRINITY_DN131949_c3_g1_i1	0.0236	0.0286	1.2088				
Auto	Auto	TRINITY_DN132757_c0_g1_i3	0.1261	0.1525	1.209				
Auto	Auto	TRINITY_DN129669_c1_g4_i1	0.0471	0.057	1.2098				
Auto	Auto	TRINITY_DN124443_c2_g3_i2	0.0684	0.0827	1.2098				
Auto	Auto	TRINITY_DN121543_c0_g1_i2	0.1626	0.1967	1.2099				
Auto	Auto	TRINITY_DN125832_c5_g1_i1	0.0522	0.0631	1.21				
Auto	Auto	TRINITY_DN48415_c0_g1_i1	0.1431	0.1731	1.2101				
Auto	Auto	TRINITY_DN133462_c3_g1_i1	0.074	0.0896	1.2104				
Auto	Auto	TRINITY_DN110867_c0_g1_i1	0.236	0.2858	1.2107				
Auto	Auto	TRINITY_DN131082_c0_g1_i5	0.0727	0.0881	1.2109				
Auto	Auto	TRINITY_DN132163_c5_g7_i3	0.0676	0.0819	1.211				
Auto	Auto	TRINITY_DN133726_c0_g3_i2	0.0671	0.0814	1.2117				
Auto	Auto	TRINITY_DN135558_c3_g1_i2	0.105	0.1272	1.212				
Auto	Auto	TRINITY_DN131851_c0_g2_i5	0.1024	0.1241	1.2121				
Auto	Auto	TRINITY_DN131292_c0_g1_i3	0.0213	0.0258	1.2123				
Auto	Auto	TRINITY_DN130816_c0_g1_i1	0.0547	0.0664	1.2134				
Auto	Auto	TRINITY_DN131269_c11_g2_i2	0.0032	0.0039	1.2137				
Auto	Auto	TRINITY_DN128038_c2_g1_i1	0.069	0.0837	1.2137				
Auto	Auto	TRINITY_DN108305_c0_g1_i1	0.0487	0.0591	1.2138				
Auto	Auto	TRINITY_DN133210_c0_g1_i4	0.0854	0.1037	1.2139				
Auto	Auto	TRINITY_DN135246_c1_g3_i4	0.1593	0.1934	1.2139				
Auto	Auto	TRINITY_DN134185_c0_g1_i2	0.0391	0.0475	1.214				
Auto	Auto	TRINITY_DN119352_c0_g5_i1	0.0435	0.0528	1.2141				
Auto	Auto	TRINITY_DN122463_c5_g2_i1	0.0328	0.0398	1.2142				
Auto	Auto	TRINITY_DN125507_c0_g4_i1	0.0562	0.0682	1.2145				
Auto	Auto	TRINITY_DN125465_c3_g1_i3	0.0937	0.1138	1.2145				
Auto	Auto	TRINITY_DN132671_c4_g1_i3	0.0999	0.1214	1.2145				
Auto	Auto	TRINITY_DN115214_c4_g2_i1	0.0407	0.0494	1.2147				
Auto	Auto	TRINITY_DN129265_c0_g1_i2	0.0019	0.0023	1.2148				
Auto	Auto	TRINITY_DN136216_c4_g4_i3	0.0325	0.0395	1.2151				
Auto	Auto	TRINITY_DN124526_c0_g1_i2	0.0377	0.0458	1.2151				
Auto	Auto	TRINITY_DN123657_c12_g2_i6	0.0948	0.1152	1.2153				
Auto	Auto	TRINITY_DN131173_c3_g1_i1	0.0261	0.0317	1.2163				
Auto	Auto	TRINITY_DN111028_c0_g1_i1	0.1157	0.1407	1.2163				
Auto	Auto	TRINITY_DN118854_c0_g1_i1	0.0147	0.0179	1.2165				
Auto	Auto	TRINITY_DN134421_c3_g2_i3	0.0173	0.0211	1.2166				
Auto	Auto	TRINITY_DN122842_c2_g2_i1	0.2782	0.3384	1.2166				
Auto	Auto	TRINITY_DN131699_c2_g1_i1	0.0244	0.0297	1.2167				
Auto	Auto	TRINITY_DN126619_c1_g3_i3	0.0688	0.0837	1.2167				
Auto	Auto	TRINITY_DN135231_c0_g1_i2	0.031	0.0377	1.2168				
Auto	Auto	TRINITY_DN126555_c5_g4_i3	0.0505	0.0615	1.2174				
Auto	Auto	TRINITY_DN125999_c6_g2_i9	0.0266	0.0324	1.2176				
Auto	Auto	TRINITY_DN117897_c2_g4_i3	0.055	0.067	1.2177				
Auto	Auto	TRINITY_DN112321_c0_g1_i1	0.2588	0.3151	1.2177				
Auto	Auto	TRINITY_DN129765_c1_g3_i2	0.0192	0.0234	1.218				
Auto	Auto	TRINITY_DN123555_c2_g1_i1	0.261	0.3179	1.2183				
Auto	Auto	TRINITY_DN91750_c0_g1_i3	0.1988	0.2423	1.219				
Auto	Auto	TRINITY_DN95674_c0_g1_i2	0.0692	0.0843	1.2191				
Auto	Auto	TRINITY_DN123912_c3_g11_i1	0.0855	0.1043	1.2191				
Auto	Auto	TRINITY_DN116539_c0_g4_i5	0.0755	0.0921	1.2193				
Auto	Auto	TRINITY_DN132278_c0_g1_i3	0.0204	0.0249	1.2195				
Auto	Auto	TRINITY_DN128040_c0_g1_i2	0.0316	0.0386	1.2197				
Auto	Auto	TRINITY_DN125120_c0_g1_i2	0.0651	0.0794	1.2197				
Auto	Auto	TRINITY_DN126291_c5_g1_i2	0.0773	0.0943	1.2198				
Auto	Auto	TRINITY_DN125398_c5_g3_i2	0.1811	0.2209	1.22				
Auto	Auto	TRINITY_DN125423_c4_g2_i5	0.0333	0.0406	1.2201				
Auto	Auto	TRINITY_DN128479_c0_g2_i1	0.1668	0.2036	1.2203				
Auto	Auto	TRINITY_DN125800_c1_g1_i2	0.0402	0.0491	1.2205				
Auto	Auto	TRINITY_DN133864_c7_g2_i2	0.0604	0.0737	1.2212				
Auto	Auto	TRINITY_DN136353_c2_g4_i1	0.0534	0.0652	1.2214				
Auto	Auto	TRINITY_DN115972_c1_g1_i2	0.046	0.0562	1.2215				
Auto	Auto	TRINITY_DN124816_c2_g2_i1	0.0715	0.0874	1.2219				
Auto	Auto	TRINITY_DN132681_c0_g1_i2	0.1197	0.1464	1.2228				
Auto	Auto	TRINITY_DN122881_c0_g1_i1	0.0381	0.0466	1.2235				
Auto	Auto	TRINITY_DN130892_c0_g1_i1	0.0088	0.0107	1.2237				
Auto	Auto	TRINITY_DN132709_c3_g8_i2	0.0756	0.0925	1.2241				
Auto	Auto	TRINITY_DN118987_c0_g1_i1	0.1091	0.1336	1.2244				
Auto	Auto	TRINITY_DN130970_c0_g3_i2	0.0547	0.0669	1.2246				
Auto	Auto	TRINITY_DN121821_c2_g4_i2	0.2017	0.247	1.2246				
Auto	Auto	TRINITY_DN127852_c0_g2_i1	0.1931	0.2366	1.2253				
Auto	Auto	TRINITY_DN131715_c2_g1_i2	0.0378	0.0463	1.2258				
Auto	Auto	TRINITY_DN126300_c1_g4_i5	0.0828	0.1016	1.2262				
Auto	Auto	TRINITY_DN122871_c1_g3_i3	0.0605	0.0742	1.2265				
Auto	Auto	TRINITY_DN106090_c0_g2_i1	0.1269	0.1557	1.227				
Auto	Auto	TRINITY_DN128248_c0_g1_i6	0.037	0.0453	1.2271				
Auto	Auto	TRINITY_DN7826_c0_g1_i1	0.1265	0.1553	1.2273				
Auto	Auto	TRINITY_DN135165_c0_g1_i3	0.0433	0.0531	1.2274				
