gid	gname	chr	start	end	logFC.XYtestis.XXovary	abslogFC.XYtestis.XXovary	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN125258_c0_g1_i1	NA	NA	NA	NA	2.86779863	2.86779863	male	0.243899966	Brain_fmean	0.1657	0.2755	1.6628
TRINITY_DN125269_c2_g1_i2	cyp4f22	Chr02	55038097	55038097	-3.180361278	3.180361278	female	0.739682183	Ovary_mean	0.0455	0.0865	1.9026
TRINITY_DN125269_c4_g1_i3	NA	NA	NA	NA	-1.645187263	1.645187263	female	0.533976622	Ovary_mean	0.06	0.116	1.9352
TRINITY_DN125280_c2_g2_i2	NA	NA	NA	NA	1.506799796	1.506799796	male	0.271543586	Brain_fmean	0.1107	0.1652	1.4924
TRINITY_DN125280_c2_g4_i2	NA	NA	NA	NA	2.97030894	2.97030894	male	0.563501326	Brain_fmean	0.017	0.0107	0.6282
TRINITY_DN125281_c1_g3_i5	NA	NA	NA	NA	0.392317345	0.392317345	unbias	0.575617932	Brain_fmean	0.0567	0.0525	0.9248
TRINITY_DN125284_c3_g3_i1	LOC100125081	Chr03	28579692	28579692	-0.255951633	0.255951633	unbias	0.237652112	Ovary_mean	0.001	0.0003	0.321
TRINITY_DN125294_c0_g1_i1	NA	NA	NA	NA	-0.630979695	0.630979695	unbias	0.414071413	Brain_fmean	0.2266	0.322	1.421
TRINITY_DN125295_c0_g1_i1	NA	NA	NA	NA	0.146188903	0.146188903	unbias	0.293002861	Ovary_mean	0.0184	0.0353	1.9197
TRINITY_DN125305_c3_g2_i1	NA	NA	NA	NA	-1.035404683	1.035404683	female	0.602989874	Ovary_mean	0.0428	0.0704	1.6435
TRINITY_DN125306_c0_g1_i1	NA	NA	NA	NA	2.763695608	2.763695608	male	0.770643147	Brain_fmean	0.0661	0.0896	1.3565
TRINITY_DN125307_c6_g1_i1	NA	NA	NA	NA	-3.550383203	3.550383203	female	0.706885343	Liver_fmean	0.1073	0.1495	1.3933
TRINITY_DN125307_c7_g4_i3	NA	NA	NA	NA	0.202649118	0.202649118	unbias	0.235209721	Brain_mmean	0.0383	0.057	1.4878
TRINITY_DN125325_c6_g2_i2	NA	NA	NA	NA	-0.294417093	0.294417093	unbias	0.684252031	Ovary_mean	0.0785	0.0945	1.2045
TRINITY_DN125327_c1_g1_i1	NA	NA	NA	NA	-0.25860819	0.25860819	unbias	0.489573298	Brain_fmean	0.1146	0.1883	1.6434
TRINITY_DN125329_c1_g4_i1	NA	NA	NA	NA	1.701430706	1.701430706	male	0.463752271	G46_M_mean	0.0564	0.0958	1.6975
TRINITY_DN125329_c1_g5_i2	NA	NA	NA	NA	2.683497725	2.683497725	male	0.463724048	Brain_mmean	0.082	0.1336	1.6289
TRINITY_DN125332_c0_g1_i4	ap2a2	Chr04	34529489	34529489	-0.435110195	0.435110195	unbias	0.315423509	Ovary_mean	0.1032	0.1181	1.1445
TRINITY_DN125335_c2_g1_i2	NA	NA	NA	NA	-3.281920159	3.281920159	female	0.545651325	Ovary_mean	0.1639	0.1922	1.1723
TRINITY_DN125335_c5_g2_i1	NA	NA	NA	NA	-0.098167642	0.098167642	unbias	0.223459346	Ovary_mean	0.0262	0.0343	1.3084
TRINITY_DN125335_c7_g1_i2	NA	NA	NA	NA	-0.279547384	0.279547384	unbias	0.343449768	Brain_fmean	0.016	0.025	1.5657
TRINITY_DN125337_c3_g1_i1	NA	NA	NA	NA	-1.624593842	1.624593842	female	0.426090132	Ovary_mean	0.0271	0.0511	1.8863
TRINITY_DN125340_c0_g1_i1	LOC100491292-like	Chr07	105430628	105430628	-0.630024962	0.630024962	unbias	0.875073347	Brain_mmean	0.0093	0.0124	1.3307
TRINITY_DN125343_c0_g8_i1	NA	NA	NA	NA	-1.375989103	1.375989103	female	0.428373078	Ovary_mean	0.0232	0.0421	1.8143
TRINITY_DN125351_c1_g1_i3	NA	NA	NA	NA	-0.107695357	0.107695357	unbias	0.663621346	Ovary_mean	0.1262	0.1705	1.351
TRINITY_DN125353_c5_g1_i2	NA	NA	NA	NA	-0.113523056	0.113523056	unbias	0.339309283	Brain_mmean	0.0563	0.0631	1.1195
TRINITY_DN125354_c3_g1_i2	NA	NA	NA	NA	0.014946252	0.014946252	unbias	0.335111831	Brain_fmean	0.0204	0.0149	0.7321
TRINITY_DN125354_c3_g2_i4	NA	NA	NA	NA	0.086839356	0.086839356	unbias	0.330933056	Brain_fmean	0.0128	0.0091	0.71
TRINITY_DN125363_c4_g1_i6	LOC101734090	Chr05	101073954	101073954	-2.01684651	2.01684651	female	0.348647482	Brain_fmean	0.0488	0.0869	1.7798
TRINITY_DN125363_c4_g4_i4	pip4k2a-like	Chr10	3834114	3834114	-2.469179633	2.469179633	female	0.521807097	Ovary_mean	0.2062	0.1957	0.9492
TRINITY_DN125364_c0_g1_i3	lace1	Chr05	75491884	75491884	-1.88769929	1.88769929	female	0.527490825	Ovary_mean	0.0683	0.1036	1.5174
TRINITY_DN125364_c0_g2_i1	prkrir	scaffold_2865	914	914	1.274710963	1.274710963	male	0.354439705	G43_F_mean	0.0244	0.0453	1.8556
TRINITY_DN125376_c0_g7_i3	fam101a	Chr01	152002324	152002324	-1.410641372	1.410641372	female	0.456064402	Ovary_mean	0.0407	0.0497	1.2201
TRINITY_DN125381_c7_g1_i1	NA	NA	NA	NA	-0.707662642	0.707662642	unbias	0.329837446	Ovary_mean	0.0718	0.1153	1.605
TRINITY_DN125387_c0_g2_i5	syt1-like	Chr03	52730814	52730814	-0.558820121	0.558820121	unbias	0.190297689	Ovary_mean	0.0413	0.0798	1.9304
TRINITY_DN125390_c0_g4_i3	tmem8a-like	Chr09	9110386	9110386	1.184009219	1.184009219	male	0.388965317	Brain_mmean	0.023	0.0327	1.4198
TRINITY_DN125394_c5_g1_i2	NA	NA	NA	NA	0.108430581	0.108430581	unbias	0.573273824	Brain_mmean	0.0504	0.0883	1.752
TRINITY_DN125394_c5_g3_i5	NA	NA	NA	NA	0.30770813	0.30770813	unbias	0.567173812	Brain_mmean	0.0402	0.0764	1.9031
TRINITY_DN125397_c3_g2_i1	wasf2	Chr02	52251230	52251230	0.010388873	0.010388873	unbias	0.458316242	G31_mmean	0.0365	0.0555	1.519
TRINITY_DN125401_c2_g2_i1	NA	NA	NA	NA	-0.405418111	0.405418111	unbias	0.724601395	Brain_mmean	0.1094	0.1312	1.1994
TRINITY_DN125418_c3_g1_i3	NA	NA	NA	NA	0.506349639	0.506349639	unbias	0.220451423	G23_fmean	0.0088	0.0123	1.4082
TRINITY_DN125419_c5_g1_i3	NA	NA	NA	NA	-0.452558578	0.452558578	unbias	0.554190918	Ovary_mean	0.0367	0.0725	1.976
TRINITY_DN125423_c4_g2_i5	lrrc42-like	Chr04	87277142	87277142	-3.114296795	3.114296795	female	0.8266119	Ovary_mean	0.0333	0.0406	1.2201
TRINITY_DN125430_c6_g3_i4	bloc1s2	Chr07	30468990	30468990	0.14490902	0.14490902	unbias	0.776441045	Brain_fmean	0.0613	0.0601	0.9815
TRINITY_DN125443_c0_g1_i1	NA	NA	NA	NA	-1.453590049	1.453590049	female	0.42736353	Ovary_mean	0.1066	0.1175	1.1026
TRINITY_DN125443_c1_g1_i4	NA	NA	NA	NA	-1.854676407	1.854676407	female	0.369734538	Ovary_mean	0.107	0.1231	1.1504
TRINITY_DN125445_c4_g5_i1	prr11-like	Chr02	91406127	91406127	-1.958300547	1.958300547	female	0.594355852	Ovary_mean	0.0378	0.042	1.1107
TRINITY_DN125447_c0_g1_i6	NA	NA	NA	NA	5.982608367	5.982608367	male	0.554864025	G27_mmean	0.0956	0.1491	1.5599
TRINITY_DN125448_c0_g4_i2	NA	NA	NA	NA	0.637711545	0.637711545	unbias	0.305830169	Brain_mmean	0.0562	0.0657	1.1687
TRINITY_DN125454_c1_g1_i2	NA	NA	NA	NA	-0.350358163	0.350358163	unbias	0.192559532	G23_fmean	0.1723	0.1716	0.9955
TRINITY_DN125454_c2_g2_i1	NA	NA	NA	NA	0.400126028	0.400126028	unbias	0.338977039	Ovary_mean	0.0572	0.1064	1.8601
TRINITY_DN125454_c3_g2_i2	nono	Chr08	23083498	23083498	-0.715447535	0.715447535	unbias	0.598540861	Brain_mmean	0.0434	0.0318	0.7334
TRINITY_DN125463_c5_g2_i5	NA	NA	NA	NA	-1.529387323	1.529387323	female	0.214636234	G27_fmean	0.0699	0.1189	1.7003
TRINITY_DN125467_c0_g1_i1	NA	NA	NA	NA	-0.396347236	0.396347236	unbias	0.356513882	G23_fmean	0.0495	0.0685	1.3843
TRINITY_DN125473_c4_g2_i1	NA	NA	NA	NA	-1.065770518	1.065770518	female	0.589169808	Brain_mmean	0.0832	0.1255	1.5071
TRINITY_DN125474_c3_g2_i1	NA	NA	NA	NA	-1.793674222	1.793674222	female	0.625710396	Brain_mmean	0.0494	0.0621	1.2559
TRINITY_DN125483_c0_g3_i1	s1pr1	Chr04	99065892	99065892	1.28451197	1.28451197	male	0.490906419	Liver_mmean	0.181	0.3272	1.8077
TRINITY_DN125488_c0_g2_i3	NA	NA	NA	NA	-0.50628572	0.50628572	unbias	0.256994345	Brain_mmean	0.0459	0.0758	1.6511
TRINITY_DN125494_c4_g1_i1	NA	NA	NA	NA	2.380505568	2.380505568	male	0.36520598	G27_fmean	0.0556	0.0976	1.754
TRINITY_DN125499_c0_g1_i4	homer1	Chr01	163878577	163878577	0.891190549	0.891190549	unbias	0.696495387	Testis_mean	0.0626	0.0962	1.5381
TRINITY_DN125501_c0_g1_i1	NA	NA	NA	NA	1.322776835	1.322776835	male	0.186582063	G27_mmean	0.0454	0.0671	1.4782
TRINITY_DN125507_c0_g4_i1	NA	NA	NA	NA	-0.070463087	0.070463087	unbias	0.889902026	Brain_fmean	0.0562	0.0682	1.2145
TRINITY_DN125515_c1_g3_i2	NA	NA	NA	NA	-1.852756986	1.852756986	female	0.254164358	Ovary_mean	0.0268	0.0527	1.9701
TRINITY_DN125518_c0_g1_i1	sppl2a	Chr03	94816434	94816434	0.559404673	0.559404673	unbias	0.3520021	Brain_fmean	0.0274	0.0453	1.6514
TRINITY_DN125519_c4_g2_i2	NA	NA	NA	NA	-0.380498077	0.380498077	unbias	0.173898965	Liver_fmean	0.1004	0.1738	1.7314
TRINITY_DN125523_c7_g1_i1	NA	NA	NA	NA	-0.180924923	0.180924923	unbias	0.555874275	Brain_mmean	0.082	0.1322	1.6111
TRINITY_DN125527_c2_g7_i1	NA	NA	NA	NA	1.864592379	1.864592379	male	0.528716027	Brain_fmean	0.064	0.0393	0.6143
TRINITY_DN125533_c0_g1_i1	NA	NA	NA	NA	-2.390371699	2.390371699	female	0.688739487	Ovary_mean	0.0627	0.0877	1.3978
TRINITY_DN125537_c0_g1_i4	plekha8	Chr06	80463363	80463363	0.816355571	0.816355571	unbias	0.340793798	Brain_mmean	0.0574	0.0603	1.0503
TRINITY_DN125539_c0_g2_i1	NA	NA	NA	NA	1.17385907	1.17385907	male	0.309671513	Brain_fmean	0.1666	0.3199	1.9202
TRINITY_DN125542_c1_g1_i4	NA	NA	NA	NA	1.123862807	1.123862807	male	0.428258327	Brain_fmean	0.0523	0.0515	0.9855
TRINITY_DN125543_c1_g5_i1	NA	NA	NA	NA	-1.556155122	1.556155122	unbias	0.372575641	Ovary_mean	0.1373	0.2227	1.6214
TRINITY_DN125544_c4_g1_i9	LOC100486142	Chr07	71020739	71020739	-0.063524633	0.063524633	unbias	0.207424481	Brain_fmean	0.0297	0.031	1.0441
TRINITY_DN125554_c0_g1_i6	NA	NA	NA	NA	1.82075103	1.82075103	male	0.424607181	Brain_mmean	0.0422	0.0641	1.5195
TRINITY_DN125560_c0_g1_i5	NA	NA	NA	NA	-1.61281947	1.61281947	female	0.321726224	Ovary_mean	0.035	0.032	0.9142
TRINITY_DN125563_c4_g2_i4	tp53	scaffold_393	45270	45270	-2.475838992	2.475838992	female	0.635476216	Ovary_mean	0.0741	0.1464	1.976
TRINITY_DN125564_c1_g2_i1	cdc42ep1-like	Chr04	112484058	112484058	0.080403431	0.080403431	unbias	0.765103373	Brain_fmean	0.0288	0.0401	1.3941
TRINITY_DN125571_c2_g3_i1	NA	NA	NA	NA	3.069450836	3.069450836	male	0.410526322	G23_fmean	0.0549	0.0647	1.1786
TRINITY_DN125571_c3_g1_i11	NA	NA	NA	NA	0.129996375	0.129996375	unbias	0.23303834	G27_mmean	0.1409	0.2026	1.4376
TRINITY_DN125573_c0_g1_i1	NA	NA	NA	NA	1.399613043	1.399613043	male	0.707923177	G27_mmean	0.1225	0.1829	1.4929
TRINITY_DN125577_c3_g2_i3	NA	NA	NA	NA	0.137061785	0.137061785	unbias	0.236919393	Brain_mmean	0.0198	0.0323	1.6318
TRINITY_DN125577_c3_g4_i1	NA	NA	NA	NA	0.041361723	0.041361723	unbias	0.215313483	Ovary_mean	0.096	0.076	0.7919
TRINITY_DN125578_c3_g4_i3	LOC100158544	Chr04	127653170	127653170	-1.93309181	1.93309181	female	0.484848294	Ovary_mean	0.0172	0.0246	1.4289
TRINITY_DN125585_c0_g1_i3	NA	NA	NA	NA	-0.341028875	0.341028875	unbias	0.325245279	Ovary_mean	0.0046	0.0049	1.0682
TRINITY_DN125588_c0_g1_i3	NA	NA	NA	NA	-1.835466436	1.835466436	female	0.395220485	G23_mmean	0.0791	0.1168	1.4772
TRINITY_DN125593_c0_g1_i3	NA	NA	NA	NA	-0.766083495	0.766083495	unbias	0.518781311	G23_mmean	0.1856	0.3269	1.7612
TRINITY_DN125596_c2_g5_i4	LOC100487637	scaffold_21	1727686	1727686	-0.685316074	0.685316074	unbias	0.405959484	Ovary_mean	0.128	0.228	1.782
TRINITY_DN125598_c6_g15_i1	NA	NA	NA	NA	1.750306585	1.750306585	male	0.085342517	Testis_mean	0.0571	0.0606	1.0616
TRINITY_DN125603_c0_g3_i1	akr7a2	scaffold_217	248448	248448	-0.175923153	0.175923153	unbias	0.141888806	G23_fmean	0.0538	0.0731	1.3603
TRINITY_DN125604_c1_g2_i1	NA	NA	NA	NA	-2.817227665	2.817227665	female	0.641650848	Ovary_mean	0.0597	0.049	0.8204
TRINITY_DN125607_c0_g1_i1	NA	NA	NA	NA	-1.661876213	1.661876213	female	0.682241486	Ovary_mean	0.0691	0.1186	1.7157
TRINITY_DN125610_c0_g1_i2	NA	NA	NA	NA	-0.00678394	0.00678394	unbias	0.410508268	Brain_fmean	0.1624	0.3026	1.864
TRINITY_DN125618_c1_g2_i2	NA	NA	NA	NA	-2.337751314	2.337751314	female	0.740820661	Ovary_mean	0.046	0.0571	1.242
TRINITY_DN125619_c0_g1_i4	NA	NA	NA	NA	-1.164588746	1.164588746	female	0.420800166	Ovary_mean	0.0555	0.1063	1.9157
TRINITY_DN125631_c1_g2_i3	NA	NA	NA	NA	-0.341257307	0.341257307	unbias	0.737384881	Brain_mmean	0.0458	0.0766	1.6718
TRINITY_DN125634_c1_g3_i7	tmeff1	Chr06	61674499	61674499	0.073602978	0.073602978	unbias	0.749533901	Brain_mmean	0.0261	0.0511	1.9624
TRINITY_DN125635_c1_g1_i1	NA	NA	NA	NA	0.279009957	0.279009957	unbias	0.265178788	Ovary_mean	0.1338	0.1862	1.3922
TRINITY_DN125650_c3_g1_i1	NA	NA	NA	NA	1.483461015	1.483461015	male	0.716677457	Brain_fmean	0.0269	0.0305	1.1313
TRINITY_DN125651_c4_g3_i5	NA	NA	NA	NA	-0.462419925	0.462419925	unbias	0.098456559	Ovary_mean	0.0391	0.0494	1.263
TRINITY_DN125663_c8_g1_i4	NA	NA	NA	NA	3.221104504	3.221104504	male	0.925718798	Brain_fmean	0.0349	0.0388	1.1104
TRINITY_DN125665_c0_g1_i1	NA	NA	NA	NA	0.319380238	0.319380238	unbias	0.372835168	Brain_fmean	0.0995	0.0839	0.8435
TRINITY_DN125667_c5_g2_i2	NA	NA	NA	NA	-1.003391733	1.003391733	female	0.480077603	Ovary_mean	0.0678	0.0823	1.2146
TRINITY_DN125667_c9_g1_i1	NA	NA	NA	NA	-0.437290771	0.437290771	unbias	0.607158079	Ovary_mean	0.1285	0.2109	1.6409
TRINITY_DN125671_c1_g2_i2	NA	NA	NA	NA	-0.872781701	0.872781701	unbias	0.800077329	G46_M_mean	0.1565	0.3042	1.9442
TRINITY_DN125674_c0_g3_i4	NA	NA	NA	NA	-1.893593892	1.893593892	female	0.366921444	Brain_mmean	0.0825	0.0824	0.9986
TRINITY_DN125679_c0_g1_i2	NA	NA	NA	NA	1.72455683	1.72455683	male	0.096767132	G43_M_mean	0.0897	0.1689	1.8836
TRINITY_DN125682_c4_g5_i3	parl	Chr02	48794290	48794290	0.460332078	0.460332078	unbias	0.493097662	Ovary_mean	0.1042	0.2069	1.9861
TRINITY_DN125684_c0_g1_i2	NA	NA	NA	NA	-0.568503317	0.568503317	unbias	0.382050773	Ovary_mean	0.0934	0.124	1.3275
TRINITY_DN125687_c4_g2_i3	zmat2	Chr03	17804114	17804114	0.041055343	0.041055343	unbias	0.485357735	Ovary_mean	0.1079	0.1768	1.6381
TRINITY_DN125689_c1_g1_i1	tfeb	Chr02	62645899	62645899	0.187944482	0.187944482	unbias	0.694058036	Brain_fmean	0.0982	0.0921	0.938
TRINITY_DN125689_c3_g5_i4	NA	NA	NA	NA	1.081607505	1.081607505	male	0.502252303	Brain_mmean	0.1296	0.1852	1.4286
TRINITY_DN125696_c0_g1_i2	NA	NA	NA	NA	-2.214535399	2.214535399	female	0.413498115	Ovary_mean	0.0516	0.0789	1.5272
TRINITY_DN125697_c1_g1_i1	NA	NA	NA	NA	1.609308039	1.609308039	male	0.838737357	Testis_mean	0.0288	0.0346	1.2037
TRINITY_DN125701_c1_g11_i1	NA	NA	NA	NA	-3.04725443	3.04725443	female	0.856659995	Brain_fmean	0.0418	0.0481	1.1515
TRINITY_DN125710_c0_g2_i2	NA	NA	NA	NA	-4.330777227	4.330777227	female	0.638744303	Ovary_mean	0.027	0.0393	1.4555
TRINITY_DN125712_c6_g4_i1	NA	NA	NA	NA	0.518299691	0.518299691	unbias	0.589403614	G43_M_mean	0.0474	0.0714	1.5065
TRINITY_DN125718_c0_g3_i1	NA	NA	NA	NA	-2.148282642	2.148282642	female	0.496263814	Ovary_mean	0.0149	0.0199	1.3339
TRINITY_DN125720_c2_g3_i3	NA	NA	NA	NA	-1.014764671	1.014764671	female	0.422360454	Ovary_mean	0.1349	0.2009	1.4896
TRINITY_DN125723_c1_g4_i2	NA	NA	NA	NA	0.406031027	0.406031027	unbias	0.156484949	Ovary_mean	0.0318	0.0548	1.7243
TRINITY_DN125726_c1_g2_i2	c2orf82-like	Chr05	123120591	123120591	0.174205674	0.174205674	unbias	0.347347117	Ovary_mean	0.0353	0.0489	1.384
TRINITY_DN125730_c1_g2_i1	NA	NA	NA	NA	1.219244612	1.219244612	male	0.554822781	Testis_mean	0.0698	0.092	1.3167
TRINITY_DN125730_c4_g1_i3	LOC100485912	Chr08	117133503	117133503	-2.320378557	2.320378557	female	0.406237038	Ovary_mean	0.0738	0.1363	1.8469
TRINITY_DN125739_c0_g1_i1	NA	NA	NA	NA	2.053434614	2.053434614	male	0.742949918	Brain_fmean	0.0471	0.0748	1.586
TRINITY_DN125741_c1_g1_i1	NA	NA	NA	NA	0.193549335	0.193549335	unbias	0.426180882	Brain_fmean	0.0086	0.0131	1.5256
TRINITY_DN125750_c0_g3_i1	NA	NA	NA	NA	0.235031031	0.235031031	unbias	0.154506348	Ovary_mean	0.022	0.037	1.6794
TRINITY_DN125752_c5_g1_i2	NA	NA	NA	NA	0.098951645	0.098951645	unbias	0.142958204	G23_mmean	0.0309	0.0463	1.4975
TRINITY_DN125752_c7_g2_i1	NA	NA	NA	NA	0.426380483	0.426380483	unbias	0.209547041	G23_fmean	0.0595	0.053	0.8904
TRINITY_DN125761_c2_g2_i1	LOC101730686	Chr04	112259937	112259937	-2.367356488	2.367356488	female	0.629393358	Ovary_mean	0.0469	0.0591	1.2593
TRINITY_DN125761_c2_g6_i2	NA	NA	NA	NA	1.940510313	1.940510313	male	0.908974211	Brain_fmean	0.0348	0.0455	1.3073
TRINITY_DN125771_c0_g1_i3	NA	NA	NA	NA	0.077384693	0.077384693	unbias	0.505398417	Brain_mmean	0.0859	0.1409	1.6397
TRINITY_DN125779_c0_g1_i8	sostdc1	Chr06	44746606	44746606	0.60184999	0.60184999	unbias	0.129543197	G23_fmean	0.0077	0.0101	1.3104
TRINITY_DN125784_c0_g2_i4	hmgb3	Chr08	36991729	36991729	-1.797996146	1.797996146	female	0.652381462	Ovary_mean	0.0793	0.1487	1.8767
TRINITY_DN125792_c1_g2_i4	NA	NA	NA	NA	0.411095133	0.411095133	unbias	0.356780432	Ovary_mean	0.1043	0.111	1.0639
TRINITY_DN125793_c1_g3_i3	NA	NA	NA	NA	-1.017876685	1.017876685	unbias	0.570429434	Ovary_mean	0.4432	0.5701	1.2865
TRINITY_DN125794_c0_g2_i2	NA	NA	NA	NA	-2.383431652	2.383431652	female	0.571417231	Ovary_mean	0.0471	0.0809	1.7182
TRINITY_DN125797_c1_g1_i2	tmem150c	Chr01	88689854	88689854	-1.103953499	1.103953499	female	0.475515676	Ovary_mean	0.0541	0.0923	1.7064
TRINITY_DN125800_c1_g1_i2	NA	NA	NA	NA	1.431327972	1.431327972	male	0.215093907	Brain_mmean	0.0402	0.0491	1.2205
TRINITY_DN125805_c0_g1_i2	NA	NA	NA	NA	-1.504741871	1.504741871	female	0.395503657	Ovary_mean	0.0545	0.075	1.3747
TRINITY_DN125805_c1_g1_i1	ankdd1b	Chr01	165443585	165443585	1.37051201	1.37051201	male	0.262700483	Brain_fmean	0.0426	0.0569	1.3373
TRINITY_DN125811_c0_g2_i6	NA	NA	NA	NA	-2.266928183	2.266928183	female	0.456955435	Ovary_mean	0.0286	0.0386	1.3474
TRINITY_DN125814_c0_g3_i3	NA	NA	NA	NA	0.149415343	0.149415343	unbias	0.395608579	Ovary_mean	0.1196	0.2023	1.6912
TRINITY_DN125815_c2_g2_i1	NA	NA	NA	NA	-0.231721069	0.231721069	unbias	0.453714004	Ovary_mean	0.0929	0.1367	1.4703
TRINITY_DN125824_c1_g1_i2	NA	NA	NA	NA	-0.61490799	0.61490799	unbias	0.534040937	Brain_fmean	0.1417	0.1787	1.2613
TRINITY_DN125827_c1_g1_i1	NA	NA	NA	NA	-3.831898477	3.831898477	female	0.554080195	G43_M_mean	0.0655	0.1168	1.7822
TRINITY_DN125828_c1_g2_i2	gpaa1	Chr06	134387832	134387832	0.241349617	0.241349617	unbias	0.289892998	Ovary_mean	0.1096	0.1297	1.1826
TRINITY_DN125828_c2_g4_i6	NA	NA	NA	NA	1.94062036	1.94062036	male	0.686559559	Brain_mmean	0.0128	0.0155	1.2155
TRINITY_DN125831_c0_g1_i1	NA	NA	NA	NA	-1.5981676	1.5981676	female	0.8010229	Brain_mmean	0.0529	0.0636	1.2006
TRINITY_DN125832_c3_g1_i1	NA	NA	NA	NA	-1.581495389	1.581495389	female	0.571330873	Ovary_mean	0.0399	0.0481	1.2046
TRINITY_DN125832_c5_g1_i1	slc6a14.2	Chr08	45450466	45450466	0.060773787	0.060773787	unbias	0.505166117	Brain_mmean	0.0522	0.0631	1.21
TRINITY_DN125833_c1_g2_i1	NA	NA	NA	NA	0.864185199	0.864185199	unbias	0.663856949	Testis_mean	0.08	0.152	1.8995
TRINITY_DN125834_c4_g1_i1	NA	NA	NA	NA	1.133433908	1.133433908	unbias	0.45178841	G43_M_mean	0.0959	0.1616	1.6841
TRINITY_DN125836_c0_g1_i3	NA	NA	NA	NA	-1.903160876	1.903160876	female	0.561859511	Ovary_mean	0.1051	0.1946	1.8518
TRINITY_DN125841_c2_g2_i3	LOC101730438-like	Chr04	75325828	75325828	1.809412635	1.809412635	male	0.881415168	Brain_fmean	0.0265	0.0338	1.2772
TRINITY_DN125848_c0_g1_i3	NA	NA	NA	NA	-1.126632159	1.126632159	female	0.322250288	Ovary_mean	0.0946	0.1126	1.1908
TRINITY_DN125860_c0_g1_i1	NA	NA	NA	NA	10.39426952	10.39426952	male	0.558149489	G27_mmean	0.1021	0.201	1.9692
TRINITY_DN125866_c5_g2_i2	NA	NA	NA	NA	-1.108341529	1.108341529	female	0.373118814	Ovary_mean	0.2764	0.3255	1.1776
TRINITY_DN125869_c9_g2_i2	NA	NA	NA	NA	-1.009981813	1.009981813	female	0.406036576	Ovary_mean	0.0664	0.0961	1.4478
TRINITY_DN125891_c2_g4_i1	LOC101732553	Chr07	63537769	63537769	-0.468709184	0.468709184	unbias	0.256849247	Ovary_mean	0.0898	0.1526	1.6986
TRINITY_DN125892_c0_g1_i1	NA	NA	NA	NA	-3.338626017	3.338626017	female	0.617147209	Ovary_mean	0.1038	0.1752	1.6877
TRINITY_DN125894_c0_g1_i1	jakmip1	Chr01	19315484	19315484	0.120201368	0.120201368	unbias	0.777576228	Brain_fmean	0.0578	0.0764	1.3204
TRINITY_DN125895_c0_g1_i2	NA	NA	NA	NA	-1.584229489	1.584229489	female	0.518016959	Ovary_mean	0.183	0.2215	1.2106
TRINITY_DN125899_c5_g1_i2	mrpl41	scaffold_480	103706	103706	-1.54666091	1.54666091	female	0.461745025	Ovary_mean	0.1353	0.1897	1.4018
TRINITY_DN125906_c7_g2_i1	NA	NA	NA	NA	0.668232286	0.668232286	unbias	0.51795505	Brain_mmean	0.0892	0.1357	1.5212
TRINITY_DN125908_c0_g1_i1	NA	NA	NA	NA	0.0959702	0.0959702	unbias	0.731474255	Brain_fmean	0.0664	0.0747	1.1246
TRINITY_DN125909_c1_g1_i1	NA	NA	NA	NA	2.993736878	2.993736878	male	0.743948754	Brain_mmean	0.0384	0.048	1.2494
TRINITY_DN125916_c0_g2_i1	NA	NA	NA	NA	-1.730194916	1.730194916	female	0.443129132	Ovary_mean	0.0757	0.0983	1.298
TRINITY_DN125918_c1_g1_i4	NA	NA	NA	NA	-1.662620172	1.662620172	female	0.429375417	Ovary_mean	0.0517	0.058	1.1211
TRINITY_DN125929_c0_g1_i1	NA	NA	NA	NA	0.382657899	0.382657899	unbias	0.254357452	Ovary_mean	0.0888	0.1474	1.6596
TRINITY_DN125938_c4_g5_i1	NA	NA	NA	NA	2.422710413	2.422710413	male	0.59217832	G46_M_mean	0.0209	0.038	1.8163
TRINITY_DN125941_c1_g1_i1	NA	NA	NA	NA	-0.110555708	0.110555708	unbias	0.202314214	Ovary_mean	0.1259	0.0738	0.5859
TRINITY_DN125942_c2_g3_i6	NA	NA	NA	NA	1.584051649	1.584051649	male	0.18679618	G23_fmean	0.0468	0.0558	1.1935
TRINITY_DN125950_c0_g5_i5	NA	NA	NA	NA	-1.288595112	1.288595112	female	0.40588323	Brain_fmean	0.0397	0.0316	0.7958
TRINITY_DN125956_c1_g1_i1	NA	NA	NA	NA	0.419888406	0.419888406	unbias	0.393655704	Brain_fmean	0.0848	0.0981	1.156
TRINITY_DN125960_c1_g1_i3	NA	NA	NA	NA	-1.7344143	1.7344143	female	0.706914571	Ovary_mean	0.0795	0.1562	1.9633
TRINITY_DN125962_c0_g1_i6	zbtb14	Chr06	91338899	91338899	4.1874219	4.1874219	male	0.599815884	Brain_fmean	0.0456	0.0488	1.0711
TRINITY_DN125971_c0_g1_i2	NA	NA	NA	NA	-6.647899722	6.647899722	female	0.963159287	Ovary_mean	0.039	0.0653	1.6722
TRINITY_DN125972_c14_g4_i1	NA	NA	NA	NA	0.393764784	0.393764784	unbias	0.673942128	Brain_fmean	0.163	0.2321	1.4243
TRINITY_DN125977_c0_g1_i1	NA	NA	NA	NA	-1.017660216	1.017660216	female	0.438887686	Brain_fmean	0.0337	0.0497	1.4733
