gid	gname	chr	start	end	logFC.XYliver.XXliver	abslogFC.XYliver.Xxliver	bias	tau	tissue	tau	tissue	dNdS	dN	dS
TRINITY_DN125242_c0_g4_i5	NA	NA	NA	NA	0.2540723	0.2540723	unbias	0.627908001	Ovary_mean	0.627908001	Ovary_mean	0.1015	0.1559	1.5356
TRINITY_DN125248_c0_g1_i2	NA	NA	NA	NA	-1.235155169	1.235155169	unbias	0.773103005	Brain_mmean	0.773103005	Brain_mmean	0.1106	0.1681	1.5192
TRINITY_DN125254_c0_g1_i1	NA	NA	NA	NA	-0.390846355	0.390846355	unbias	0.600977272	Ovary_mean	0.600977272	Ovary_mean	0.0604	0.0986	1.6336
TRINITY_DN125258_c0_g1_i1	NA	NA	NA	NA	-0.036804044	0.036804044	unbias	0.243899966	Brain_fmean	0.243899966	Brain_fmean	0.1657	0.2755	1.6628
TRINITY_DN125269_c2_g1_i2	NA	NA	NA	NA	-0.318434264	0.318434264	unbias	0.739682183	Ovary_mean	0.739682183	Ovary_mean	0.0455	0.0865	1.9026
TRINITY_DN125269_c4_g1_i3	usp3	Chr03	81805358	81805358	-0.719951666	0.719951666	unbias	0.533976622	Ovary_mean	0.533976622	Ovary_mean	0.06	0.116	1.9352
TRINITY_DN125280_c2_g2_i2	NA	NA	NA	NA	0.797236265	0.797236265	unbias	0.271543586	Brain_fmean	0.271543586	Brain_fmean	0.1107	0.1652	1.4924
TRINITY_DN125281_c1_g3_i5	NA	NA	NA	NA	0.400063525	0.400063525	unbias	0.575617932	Brain_fmean	0.575617932	Brain_fmean	0.0567	0.0525	0.9248
TRINITY_DN125284_c3_g3_i1	NA	NA	NA	NA	-0.080378243	0.080378243	unbias	0.237652112	Ovary_mean	0.237652112	Ovary_mean	0.001	0.0003	0.321
TRINITY_DN125294_c0_g1_i1	NA	NA	NA	NA	-0.250200938	0.250200938	unbias	0.414071413	Brain_fmean	0.414071413	Brain_fmean	0.2266	0.322	1.421
TRINITY_DN125295_c0_g1_i1	NA	NA	NA	NA	0.33362214	0.33362214	unbias	0.293002861	Ovary_mean	0.293002861	Ovary_mean	0.0184	0.0353	1.9197
TRINITY_DN125305_c3_g2_i1	NA	NA	NA	NA	-0.526953729	0.526953729	unbias	0.602989874	Ovary_mean	0.602989874	Ovary_mean	0.0428	0.0704	1.6435
TRINITY_DN125307_c6_g1_i1	NA	NA	NA	NA	0.354108685	0.354108685	unbias	0.706885343	Liver_fmean	0.706885343	Liver_fmean	0.1073	0.1495	1.3933
TRINITY_DN125307_c7_g4_i3	NA	NA	NA	NA	-0.173502655	0.173502655	unbias	0.235209721	Brain_mmean	0.235209721	Brain_mmean	0.0383	0.057	1.4878
TRINITY_DN125325_c6_g2_i2	NA	NA	NA	NA	-1.016610086	1.016610086	unbias	0.684252031	Ovary_mean	0.684252031	Ovary_mean	0.0785	0.0945	1.2045
TRINITY_DN125327_c1_g1_i1	NA	NA	NA	NA	1.201199469	1.201199469	unbias	0.489573298	Brain_fmean	0.489573298	Brain_fmean	0.1146	0.1883	1.6434
TRINITY_DN125329_c1_g5_i2	napepld-like	Chr03	68339005	68339005	1.055271356	1.055271356	unbias	0.463724048	Brain_mmean	0.463724048	Brain_mmean	0.082	0.1336	1.6289
TRINITY_DN125332_c0_g1_i4	cxorf38	Chr02	70197159	70197159	0.049059642	0.049059642	unbias	0.315423509	Ovary_mean	0.315423509	Ovary_mean	0.1032	0.1181	1.1445
TRINITY_DN125335_c2_g1_i2	Xetrov90024299m	Chr09	63365151	63365151	-0.746392474	0.746392474	unbias	0.545651325	Ovary_mean	0.545651325	Ovary_mean	0.1639	0.1922	1.1723
TRINITY_DN125335_c5_g2_i1	NA	NA	NA	NA	-0.719079611	0.719079611	unbias	0.223459346	Ovary_mean	0.223459346	Ovary_mean	0.0262	0.0343	1.3084
TRINITY_DN125335_c7_g1_i2	NA	NA	NA	NA	-0.383830166	0.383830166	unbias	0.343449768	Brain_fmean	0.343449768	Brain_fmean	0.016	0.025	1.5657
TRINITY_DN125337_c3_g1_i1	NA	NA	NA	NA	0.01455939	0.01455939	unbias	0.426090132	Ovary_mean	0.426090132	Ovary_mean	0.0271	0.0511	1.8863
TRINITY_DN125343_c0_g8_i1	gtdc1	Chr09	73513476	73513476	-0.057339566	0.057339566	unbias	0.428373078	Ovary_mean	0.428373078	Ovary_mean	0.0232	0.0421	1.8143
TRINITY_DN125344_c2_g1_i11	NA	NA	NA	NA	0.663369915	0.663369915	unbias	0.102557437	G23_fmean	0.102557437	G23_fmean	0.0283	0.0531	1.8737
TRINITY_DN125351_c1_g1_i3	NA	NA	NA	NA	1.074847923	1.074847923	unbias	0.663621346	Ovary_mean	0.663621346	Ovary_mean	0.1262	0.1705	1.351
TRINITY_DN125353_c5_g1_i2	NA	NA	NA	NA	0.020971176	0.020971176	unbias	0.339309283	Brain_mmean	0.339309283	Brain_mmean	0.0563	0.0631	1.1195
TRINITY_DN125354_c3_g1_i2	cnksr2	Chr02	41296797	41296797	-0.573279137	0.573279137	unbias	0.335111831	Brain_fmean	0.335111831	Brain_fmean	0.0204	0.0149	0.7321
TRINITY_DN125354_c3_g2_i4	NA	NA	NA	NA	0.029893707	0.029893707	unbias	0.330933056	Brain_fmean	0.330933056	Brain_fmean	0.0128	0.0091	0.71
TRINITY_DN125363_c4_g1_i6	NA	NA	NA	NA	0.348792165	0.348792165	unbias	0.348647482	Brain_fmean	0.348647482	Brain_fmean	0.0488	0.0869	1.7798
TRINITY_DN125363_c4_g4_i4	NA	NA	NA	NA	0.222260205	0.222260205	unbias	0.521807097	Ovary_mean	0.521807097	Ovary_mean	0.2062	0.1957	0.9492
TRINITY_DN125364_c0_g1_i3	NA	NA	NA	NA	-0.572898401	0.572898401	unbias	0.527490825	Ovary_mean	0.527490825	Ovary_mean	0.0683	0.1036	1.5174
TRINITY_DN125364_c0_g2_i1	NA	NA	NA	NA	-0.275658054	0.275658054	unbias	0.354439705	G43_F_mean	0.354439705	G43_F_mean	0.0244	0.0453	1.8556
TRINITY_DN125376_c0_g7_i3	NA	NA	NA	NA	-0.235624049	0.235624049	unbias	0.456064402	Ovary_mean	0.456064402	Ovary_mean	0.0407	0.0497	1.2201
TRINITY_DN125381_c7_g1_i1	adat1	Chr04	66736692	66736692	-0.413943894	0.413943894	unbias	0.329837446	Ovary_mean	0.329837446	Ovary_mean	0.0718	0.1153	1.605
TRINITY_DN125381_c8_g3_i7	nosip	Chr07	102708991	102708991	-0.147607397	0.147607397	unbias	0.540453584	Brain_mmean	0.540453584	Brain_mmean	0.0234	0.0362	1.5441
TRINITY_DN125387_c0_g2_i5	NA	NA	NA	NA	0.239417235	0.239417235	unbias	0.190297689	Ovary_mean	0.190297689	Ovary_mean	0.0413	0.0798	1.9304
TRINITY_DN125390_c0_g4_i3	NA	NA	NA	NA	-0.404643295	0.404643295	unbias	0.388965317	Brain_mmean	0.388965317	Brain_mmean	0.023	0.0327	1.4198
TRINITY_DN125394_c5_g1_i2	ercc6	Chr07	37435920	37435920	-0.113449986	0.113449986	unbias	0.573273824	Brain_mmean	0.573273824	Brain_mmean	0.0504	0.0883	1.752
TRINITY_DN125397_c3_g2_i1	NA	NA	NA	NA	0.263295413	0.263295413	unbias	0.458316242	G31_mmean	0.458316242	G31_mmean	0.0365	0.0555	1.519
TRINITY_DN125401_c2_g2_i1	ube2j2	Chr07	69621551	69621551	-0.601396903	0.601396903	unbias	0.724601395	Brain_mmean	0.724601395	Brain_mmean	0.1094	0.1312	1.1994
TRINITY_DN125418_c3_g1_i3	NA	NA	NA	NA	0.033182917	0.033182917	unbias	0.220451423	G23_fmean	0.220451423	G23_fmean	0.0088	0.0123	1.4082
TRINITY_DN125419_c5_g1_i3	efnb2	Chr02	114968756	114968756	-0.112196728	0.112196728	unbias	0.554190918	Ovary_mean	0.554190918	Ovary_mean	0.0367	0.0725	1.976
TRINITY_DN125420_c4_g4_i1	NA	NA	NA	NA	-0.15587612	0.15587612	unbias	0.345738293	Brain_fmean	0.345738293	Brain_fmean	0.0266	0.0338	1.2737
TRINITY_DN125423_c4_g2_i5	NA	NA	NA	NA	-1.069211965	1.069211965	unbias	0.8266119	Ovary_mean	0.8266119	Ovary_mean	0.0333	0.0406	1.2201
TRINITY_DN125430_c6_g3_i4	NA	NA	NA	NA	-0.096509671	0.096509671	unbias	0.776441045	Brain_fmean	0.776441045	Brain_fmean	0.0613	0.0601	0.9815
TRINITY_DN125443_c0_g1_i1	NA	NA	NA	NA	-0.051738796	0.051738796	unbias	0.42736353	Ovary_mean	0.42736353	Ovary_mean	0.1066	0.1175	1.1026
TRINITY_DN125443_c1_g1_i4	NA	NA	NA	NA	-0.081198775	0.081198775	unbias	0.369734538	Ovary_mean	0.369734538	Ovary_mean	0.107	0.1231	1.1504
TRINITY_DN125445_c4_g5_i1	NA	NA	NA	NA	-0.783602635	0.783602635	unbias	0.594355852	Ovary_mean	0.594355852	Ovary_mean	0.0378	0.042	1.1107
TRINITY_DN125447_c0_g1_i6	NA	NA	NA	NA	-1.340912684	1.340912684	unbias	0.554864025	G27_mmean	0.554864025	G27_mmean	0.0956	0.1491	1.5599
TRINITY_DN125448_c0_g4_i2	NA	NA	NA	NA	0.161602335	0.161602335	unbias	0.305830169	Brain_mmean	0.305830169	Brain_mmean	0.0562	0.0657	1.1687
TRINITY_DN125454_c1_g1_i2	NA	NA	NA	NA	-0.220456471	0.220456471	unbias	0.192559532	G23_fmean	0.192559532	G23_fmean	0.1723	0.1716	0.9955
TRINITY_DN125454_c2_g2_i1	vill	scaffold_24	995766	995766	0.08765577	0.08765577	unbias	0.338977039	Ovary_mean	0.338977039	Ovary_mean	0.0572	0.1064	1.8601
TRINITY_DN125454_c3_g2_i2	NA	NA	NA	NA	-0.154650103	0.154650103	unbias	0.598540861	Brain_mmean	0.598540861	Brain_mmean	0.0434	0.0318	0.7334
TRINITY_DN125463_c5_g2_i5	NA	NA	NA	NA	0.381441307	0.381441307	unbias	0.214636234	G27_fmean	0.214636234	G27_fmean	0.0699	0.1189	1.7003
TRINITY_DN125467_c0_g1_i1	NA	NA	NA	NA	0.268234044	0.268234044	unbias	0.356513882	G23_fmean	0.356513882	G23_fmean	0.0495	0.0685	1.3843
TRINITY_DN125473_c4_g2_i1	NA	NA	NA	NA	0.649427996	0.649427996	unbias	0.589169808	Brain_mmean	0.589169808	Brain_mmean	0.0832	0.1255	1.5071
TRINITY_DN125474_c3_g2_i1	NA	NA	NA	NA	0.632893238	0.632893238	unbias	0.625710396	Brain_mmean	0.625710396	Brain_mmean	0.0494	0.0621	1.2559
TRINITY_DN125476_c1_g2_i1	NA	NA	NA	NA	-0.030412304	0.030412304	unbias	0.37580526	Ovary_mean	0.37580526	Ovary_mean	0.0284	0.0286	1.0071
TRINITY_DN125483_c0_g3_i1	NA	NA	NA	NA	1.201003408	1.201003408	unbias	0.490906419	Liver_mmean	0.490906419	Liver_mmean	0.181	0.3272	1.8077
TRINITY_DN125488_c0_g2_i3	NA	NA	NA	NA	0.513906381	0.513906381	unbias	0.256994345	Brain_mmean	0.256994345	Brain_mmean	0.0459	0.0758	1.6511
TRINITY_DN125494_c4_g1_i1	NA	NA	NA	NA	-0.273269172	0.273269172	unbias	0.36520598	G27_fmean	0.36520598	G27_fmean	0.0556	0.0976	1.754
TRINITY_DN125501_c0_g1_i1	NA	NA	NA	NA	0.481336636	0.481336636	unbias	0.186582063	G27_mmean	0.186582063	G27_mmean	0.0454	0.0671	1.4782
TRINITY_DN125515_c1_g3_i2	NA	NA	NA	NA	0.028225788	0.028225788	unbias	0.254164358	Ovary_mean	0.254164358	Ovary_mean	0.0268	0.0527	1.9701
TRINITY_DN125518_c0_g1_i1	NA	NA	NA	NA	0.233026661	0.233026661	unbias	0.3520021	Brain_fmean	0.3520021	Brain_fmean	0.0274	0.0453	1.6514
TRINITY_DN125519_c4_g2_i2	optn	Chr03	72363371	72363371	-0.020852252	0.020852252	unbias	0.173898965	Liver_fmean	0.173898965	Liver_fmean	0.1004	0.1738	1.7314
TRINITY_DN125523_c7_g1_i1	NA	NA	NA	NA	-0.252795274	0.252795274	unbias	0.555874275	Brain_mmean	0.555874275	Brain_mmean	0.082	0.1322	1.6111
TRINITY_DN125533_c0_g1_i1	rab5b	Chr02	134583897	134583897	0.534809685	0.534809685	unbias	0.688739487	Ovary_mean	0.688739487	Ovary_mean	0.0627	0.0877	1.3978
TRINITY_DN125537_c0_g1_i4	NA	NA	NA	NA	-0.256795177	0.256795177	unbias	0.340793798	Brain_mmean	0.340793798	Brain_mmean	0.0574	0.0603	1.0503
TRINITY_DN125539_c0_g2_i1	chfr	Chr01	147102158	147102158	2.395576986	2.395576986	unbias	0.309671513	Brain_fmean	0.309671513	Brain_fmean	0.1666	0.3199	1.9202
TRINITY_DN125542_c1_g1_i4	NA	NA	NA	NA	-0.335817059	0.335817059	unbias	0.428258327	Brain_fmean	0.428258327	Brain_fmean	0.0523	0.0515	0.9855
TRINITY_DN125543_c1_g5_i1	NA	NA	NA	NA	0.249786562	0.249786562	unbias	0.372575641	Ovary_mean	0.372575641	Ovary_mean	0.1373	0.2227	1.6214
TRINITY_DN125544_c4_g1_i9	NA	NA	NA	NA	-0.122013766	0.122013766	unbias	0.207424481	Brain_fmean	0.207424481	Brain_fmean	0.0297	0.031	1.0441
TRINITY_DN125554_c0_g1_i6	plxna2	Chr02	47727120	47727120	-0.166027222	0.166027222	unbias	0.424607181	Brain_mmean	0.424607181	Brain_mmean	0.0422	0.0641	1.5195
TRINITY_DN125560_c0_g1_i5	NA	NA	NA	NA	-0.249816233	0.249816233	unbias	0.321726224	Ovary_mean	0.321726224	Ovary_mean	0.035	0.032	0.9142
TRINITY_DN125563_c4_g2_i4	NA	NA	NA	NA	-0.639609789	0.639609789	unbias	0.635476216	Ovary_mean	0.635476216	Ovary_mean	0.0741	0.1464	1.976
TRINITY_DN125571_c3_g1_i11	NA	NA	NA	NA	0.068715548	0.068715548	unbias	0.23303834	G27_mmean	0.23303834	G27_mmean	0.1409	0.2026	1.4376
TRINITY_DN125577_c2_g1_i1	baiap2l1	Chr09	20190435	20190435	-0.050142949	0.050142949	unbias	0.268345294	Brain_mmean	0.268345294	Brain_mmean	0.0709	0.1052	1.4841
TRINITY_DN125577_c3_g2_i3	cmtm8-like	Chr06	74087782	74087782	0.309729661	0.309729661	unbias	0.236919393	Brain_mmean	0.236919393	Brain_mmean	0.0198	0.0323	1.6318
TRINITY_DN125577_c3_g4_i1	LOC100498355	Chr01	192981468	192981468	0.063458856	0.063458856	unbias	0.215313483	Ovary_mean	0.215313483	Ovary_mean	0.096	0.076	0.7919
TRINITY_DN125578_c3_g4_i3	polr1d.1	Chr02	152330656	152330656	-0.478979523	0.478979523	unbias	0.484848294	Ovary_mean	0.484848294	Ovary_mean	0.0172	0.0246	1.4289
TRINITY_DN125585_c0_g1_i3	NA	NA	NA	NA	-0.117126395	0.117126395	unbias	0.325245279	Ovary_mean	0.325245279	Ovary_mean	0.0046	0.0049	1.0682
TRINITY_DN125588_c0_g1_i3	agps	Chr09	60654957	60654957	0.588253175	0.588253175	unbias	0.395220485	G23_mmean	0.395220485	G23_mmean	0.0791	0.1168	1.4772
TRINITY_DN125596_c2_g5_i4	NA	NA	NA	NA	-0.366909665	0.366909665	unbias	0.405959484	Ovary_mean	0.405959484	Ovary_mean	0.128	0.228	1.782
TRINITY_DN125598_c6_g15_i1	LOC101733189	Chr05	79621543	79621543	0.208179515	0.208179515	unbias	0.085342517	Testis_mean	0.085342517	Testis_mean	0.0571	0.0606	1.0616
TRINITY_DN125603_c0_g3_i1	NA	NA	NA	NA	0.320434477	0.320434477	unbias	0.141888806	G23_fmean	0.141888806	G23_fmean	0.0538	0.0731	1.3603
TRINITY_DN125604_c1_g2_i1	plxnc1-like.2	Chr03	46999602	46999602	-1.255830417	1.255830417	unbias	0.641650848	Ovary_mean	0.641650848	Ovary_mean	0.0597	0.049	0.8204
TRINITY_DN125607_c0_g1_i1	NA	NA	NA	NA	-0.268678034	0.268678034	unbias	0.682241486	Ovary_mean	0.682241486	Ovary_mean	0.0691	0.1186	1.7157
TRINITY_DN125610_c0_g1_i2	NA	NA	NA	NA	0.386817737	0.386817737	unbias	0.410508268	Brain_fmean	0.410508268	Brain_fmean	0.1624	0.3026	1.864
TRINITY_DN125617_c0_g1_i3	NA	NA	NA	NA	0.02235072	0.02235072	unbias	0.388355416	Ovary_mean	0.388355416	Ovary_mean	0.1377	0.1581	1.1488
TRINITY_DN125618_c1_g2_i2	NA	NA	NA	NA	0.001109482	0.001109482	unbias	0.740820661	Ovary_mean	0.740820661	Ovary_mean	0.046	0.0571	1.242
TRINITY_DN125619_c0_g1_i4	NA	NA	NA	NA	0.416526355	0.416526355	unbias	0.420800166	Ovary_mean	0.420800166	Ovary_mean	0.0555	0.1063	1.9157
TRINITY_DN125631_c1_g2_i3	NA	NA	NA	NA	-0.047548447	0.047548447	unbias	0.737384881	Brain_mmean	0.737384881	Brain_mmean	0.0458	0.0766	1.6718
TRINITY_DN125634_c1_g3_i7	NA	NA	NA	NA	0.553144045	0.553144045	unbias	0.749533901	Brain_mmean	0.749533901	Brain_mmean	0.0261	0.0511	1.9624
TRINITY_DN125635_c1_g1_i1	NA	NA	NA	NA	-0.096737084	0.096737084	unbias	0.265178788	Ovary_mean	0.265178788	Ovary_mean	0.1338	0.1862	1.3922
TRINITY_DN125639_c1_g1_i3	NA	NA	NA	NA	-0.5151818	0.5151818	unbias	0.441704096	Ovary_mean	0.441704096	Ovary_mean	0.0746	0.1094	1.4666
TRINITY_DN125651_c4_g3_i5	NA	NA	NA	NA	-0.064951059	0.064951059	unbias	0.098456559	Ovary_mean	0.098456559	Ovary_mean	0.0391	0.0494	1.263
TRINITY_DN125665_c0_g1_i1	NA	NA	NA	NA	0.027808	0.027808	unbias	0.372835168	Brain_fmean	0.372835168	Brain_fmean	0.0995	0.0839	0.8435
TRINITY_DN125667_c5_g2_i2	ncald	Chr06	118923488	118923488	0.323617701	0.323617701	unbias	0.480077603	Ovary_mean	0.480077603	Ovary_mean	0.0678	0.0823	1.2146
TRINITY_DN125668_c7_g1_i1	NA	NA	NA	NA	0.516904847	0.516904847	unbias	0.511288684	Liver_fmean	0.511288684	Liver_fmean	0.1111	0.1838	1.6549
TRINITY_DN125669_c1_g1_i1	LOC733728	Chr07	40123943	40123943	-0.287661363	0.287661363	unbias	0.531689653	G23_mmean	0.531689653	G23_mmean	0.1469	0.2132	1.4514
TRINITY_DN125671_c1_g2_i2	NA	NA	NA	NA	-0.256429267	0.256429267	unbias	0.800077329	G46_M_mean	0.800077329	G46_M_mean	0.1565	0.3042	1.9442
TRINITY_DN125674_c0_g3_i4	cry2	Chr04	5667696	5667696	0.480157125	0.480157125	unbias	0.366921444	Brain_mmean	0.366921444	Brain_mmean	0.0825	0.0824	0.9986
TRINITY_DN125676_c0_g1_i1	kdm7a	Chr03	252158	252158	-0.060984651	0.060984651	unbias	0.233490195	Ovary_mean	0.233490195	Ovary_mean	0.0723	0.0372	0.5142
TRINITY_DN125676_c3_g3_i5	NA	NA	NA	NA	0.297595142	0.297595142	unbias	0.328989357	Ovary_mean	0.328989357	Ovary_mean	0.0535	0.0995	1.8579
TRINITY_DN125679_c0_g1_i2	NA	NA	NA	NA	0.508458314	0.508458314	unbias	0.096767132	G43_M_mean	0.096767132	G43_M_mean	0.0897	0.1689	1.8836
TRINITY_DN125684_c0_g1_i2	NA	NA	NA	NA	0.21162992	0.21162992	unbias	0.382050773	Ovary_mean	0.382050773	Ovary_mean	0.0934	0.124	1.3275
TRINITY_DN125687_c4_g2_i3	mpp5	Chr08	98729250	98729250	0.253700324	0.253700324	unbias	0.485357735	Ovary_mean	0.485357735	Ovary_mean	0.1079	0.1768	1.6381
TRINITY_DN125689_c1_g1_i1	NA	NA	NA	NA	-0.112017107	0.112017107	unbias	0.694058036	Brain_fmean	0.694058036	Brain_fmean	0.0982	0.0921	0.938
TRINITY_DN125689_c3_g5_i4	zfand5	Chr01	118277788	118277788	-0.13252036	0.13252036	unbias	0.502252303	Brain_mmean	0.502252303	Brain_mmean	0.1296	0.1852	1.4286
TRINITY_DN125696_c0_g1_i2	NA	NA	NA	NA	-0.463612432	0.463612432	unbias	0.413498115	Ovary_mean	0.413498115	Ovary_mean	0.0516	0.0789	1.5272
TRINITY_DN125697_c1_g1_i1	NA	NA	NA	NA	-0.799312714	0.799312714	unbias	0.838737357	Testis_mean	0.838737357	Testis_mean	0.0288	0.0346	1.2037
TRINITY_DN125710_c0_g2_i2	NA	NA	NA	NA	1.271187135	1.271187135	unbias	0.638744303	Ovary_mean	0.638744303	Ovary_mean	0.027	0.0393	1.4555
TRINITY_DN125712_c6_g4_i1	NA	NA	NA	NA	0.133382548	0.133382548	unbias	0.589403614	G43_M_mean	0.589403614	G43_M_mean	0.0474	0.0714	1.5065
TRINITY_DN125718_c0_g3_i1	NA	NA	NA	NA	-0.168797125	0.168797125	unbias	0.496263814	Ovary_mean	0.496263814	Ovary_mean	0.0149	0.0199	1.3339
TRINITY_DN125720_c2_g3_i3	NA	NA	NA	NA	-0.107555108	0.107555108	unbias	0.422360454	Ovary_mean	0.422360454	Ovary_mean	0.1349	0.2009	1.4896
TRINITY_DN125723_c1_g1_i5	NA	NA	NA	NA	-0.037143279	0.037143279	unbias	0.470979929	Ovary_mean	0.470979929	Ovary_mean	0.0399	0.0698	1.7481
TRINITY_DN125723_c1_g4_i2	NA	NA	NA	NA	-0.436374419	0.436374419	unbias	0.156484949	Ovary_mean	0.156484949	Ovary_mean	0.0318	0.0548	1.7243
TRINITY_DN125726_c1_g2_i2	LOC100494201	scaffold_289	75217	75217	-0.305383848	0.305383848	unbias	0.347347117	Ovary_mean	0.347347117	Ovary_mean	0.0353	0.0489	1.384
TRINITY_DN125727_c0_g1_i1	NA	NA	NA	NA	-0.283756585	0.283756585	unbias	0.474106912	Ovary_mean	0.474106912	Ovary_mean	0.0184	0.0331	1.7997
TRINITY_DN125730_c1_g2_i1	NA	NA	NA	NA	0.300254304	0.300254304	unbias	0.554822781	Testis_mean	0.554822781	Testis_mean	0.0698	0.092	1.3167
TRINITY_DN125730_c4_g1_i3	NA	NA	NA	NA	0.538929631	0.538929631	unbias	0.406237038	Ovary_mean	0.406237038	Ovary_mean	0.0738	0.1363	1.8469
TRINITY_DN125741_c1_g1_i1	NA	NA	NA	NA	0.590017438	0.590017438	unbias	0.426180882	Brain_fmean	0.426180882	Brain_fmean	0.0086	0.0131	1.5256
TRINITY_DN125750_c0_g3_i1	bsg	Chr01	86570587	86570587	-0.133813323	0.133813323	unbias	0.154506348	Ovary_mean	0.154506348	Ovary_mean	0.022	0.037	1.6794
TRINITY_DN125752_c5_g1_i2	NA	NA	NA	NA	-0.196362444	0.196362444	unbias	0.142958204	G23_mmean	0.142958204	G23_mmean	0.0309	0.0463	1.4975
TRINITY_DN125752_c7_g2_i1	NA	NA	NA	NA	0.584543638	0.584543638	unbias	0.209547041	G23_fmean	0.209547041	G23_fmean	0.0595	0.053	0.8904
TRINITY_DN125761_c2_g2_i1	NA	NA	NA	NA	0.044967236	0.044967236	unbias	0.629393358	Ovary_mean	0.629393358	Ovary_mean	0.0469	0.0591	1.2593
TRINITY_DN125771_c0_g1_i3	NA	NA	NA	NA	0.414663857	0.414663857	unbias	0.505398417	Brain_mmean	0.505398417	Brain_mmean	0.0859	0.1409	1.6397
TRINITY_DN125779_c0_g1_i8	qsox1	Chr04	90912210	90912210	-0.340173739	0.340173739	unbias	0.129543197	G23_fmean	0.129543197	G23_fmean	0.0077	0.0101	1.3104
TRINITY_DN125784_c0_g2_i4	NA	NA	NA	NA	0.696711514	0.696711514	unbias	0.652381462	Ovary_mean	0.652381462	Ovary_mean	0.0793	0.1487	1.8767
TRINITY_DN125792_c1_g2_i4	slc25a19	Chr10	34246741	34246741	0.123301577	0.123301577	unbias	0.356780432	Ovary_mean	0.356780432	Ovary_mean	0.1043	0.111	1.0639
TRINITY_DN125793_c1_g3_i3	NA	NA	NA	NA	0.666033495	0.666033495	unbias	0.570429434	Ovary_mean	0.570429434	Ovary_mean	0.4432	0.5701	1.2865
TRINITY_DN125794_c0_g2_i2	NA	NA	NA	NA	-0.876529753	0.876529753	unbias	0.571417231	Ovary_mean	0.571417231	Ovary_mean	0.0471	0.0809	1.7182
TRINITY_DN125797_c1_g1_i2	NA	NA	NA	NA	-0.36972347	0.36972347	unbias	0.475515676	Ovary_mean	0.475515676	Ovary_mean	0.0541	0.0923	1.7064
TRINITY_DN125800_c1_g1_i2	cyp7b1	Chr06	103350361	103350361	0.376189478	0.376189478	unbias	0.215093907	Brain_mmean	0.215093907	Brain_mmean	0.0402	0.0491	1.2205
TRINITY_DN125805_c0_g1_i2	NA	NA	NA	NA	-0.041357402	0.041357402	unbias	0.395503657	Ovary_mean	0.395503657	Ovary_mean	0.0545	0.075	1.3747
TRINITY_DN125805_c1_g1_i1	hsd17b10	Chr08	3011656	3011656	-0.175373567	0.175373567	unbias	0.262700483	Brain_fmean	0.262700483	Brain_fmean	0.0426	0.0569	1.3373
TRINITY_DN125809_c2_g2_i1	NA	NA	NA	NA	0.309488077	0.309488077	unbias	0.741378239	Brain_mmean	0.741378239	Brain_mmean	0.0791	0.0888	1.1227
TRINITY_DN125811_c0_g2_i6	NA	NA	NA	NA	-0.523442149	0.523442149	unbias	0.456955435	Ovary_mean	0.456955435	Ovary_mean	0.0286	0.0386	1.3474
TRINITY_DN125814_c0_g3_i3	lurap1l	Chr01	112683186	112683186	0.91127829	0.91127829	unbias	0.395608579	Ovary_mean	0.395608579	Ovary_mean	0.1196	0.2023	1.6912
TRINITY_DN125815_c2_g2_i1	NA	NA	NA	NA	0.417696012	0.417696012	unbias	0.453714004	Ovary_mean	0.453714004	Ovary_mean	0.0929	0.1367	1.4703
TRINITY_DN125824_c1_g1_i2	NA	NA	NA	NA	0.728153016	0.728153016	unbias	0.534040937	Brain_fmean	0.534040937	Brain_fmean	0.1417	0.1787	1.2613
TRINITY_DN125827_c1_g1_i1	NA	NA	NA	NA	1.028206247	1.028206247	unbias	0.554080195	G43_M_mean	0.554080195	G43_M_mean	0.0655	0.1168	1.7822
TRINITY_DN125828_c1_g2_i2	NA	NA	NA	NA	1.051347068	1.051347068	unbias	0.289892998	Ovary_mean	0.289892998	Ovary_mean	0.1096	0.1297	1.1826
TRINITY_DN125832_c3_g1_i1	grm1	Chr05	38227935	38227935	0.393569555	0.393569555	unbias	0.571330873	Ovary_mean	0.571330873	Ovary_mean	0.0399	0.0481	1.2046
TRINITY_DN125832_c5_g1_i1	NA	NA	NA	NA	-0.217401551	0.217401551	unbias	0.505166117	Brain_mmean	0.505166117	Brain_mmean	0.0522	0.0631	1.21
TRINITY_DN125834_c4_g1_i1	NA	NA	NA	NA	1.329502159	1.329502159	unbias	0.45178841	G43_M_mean	0.45178841	G43_M_mean	0.0959	0.1616	1.6841
TRINITY_DN125841_c2_g2_i3	pak4	Chr08	59732921	59732921	-1.204401304	1.204401304	unbias	0.881415168	Brain_fmean	0.881415168	Brain_fmean	0.0265	0.0338	1.2772
TRINITY_DN125848_c0_g1_i3	NA	NA	NA	NA	-0.309530632	0.309530632	unbias	0.322250288	Ovary_mean	0.322250288	Ovary_mean	0.0946	0.1126	1.1908
TRINITY_DN125864_c1_g2_i1	NA	NA	NA	NA	0.423127342	0.423127342	unbias	0.802685444	Liver_mmean	0.802685444	Liver_mmean	0.3039	0.4078	1.3419
TRINITY_DN125866_c5_g2_i2	NA	NA	NA	NA	0.314195007	0.314195007	unbias	0.373118814	Ovary_mean	0.373118814	Ovary_mean	0.2764	0.3255	1.1776
