gid	gname	chr	start	end	logFC.XY43.XX43	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN125971_c0_g1_i2	NA	NA	NA	NA	-4.299730534	female	0.963159287	Ovary_mean	0.039	0.0653	1.6722
TRINITY_DN125972_c14_g4_i1	NA	NA	NA	NA	0.273666897	unbias	0.673942128	Brain_fmean	0.163	0.2321	1.4243
TRINITY_DN125974_c9_g2_i2	NA	NA	NA	NA	0.593076673	unbias	0.821623151	Brain_mmean	0.0351	0.033	0.9402
TRINITY_DN125977_c0_g1_i1	crabp2	Chr08	111021847	111021847	0.244555456	unbias	0.438887686	Brain_fmean	0.0337	0.0497	1.4733
TRINITY_DN125978_c0_g1_i1	NA	NA	NA	NA	0.194203015	unbias	0.350399813	Ovary_mean	0.0653	0.1273	1.9493
TRINITY_DN125986_c0_g1_i2	NA	NA	NA	NA	0.38514478	unbias	0.333651734	Brain_mmean	0.1125	0.2131	1.894
TRINITY_DN125987_c0_g1_i2	NA	NA	NA	NA	-0.210604128	unbias	0.447311188	Ovary_mean	0.0433	0.0845	1.9501
TRINITY_DN125988_c0_g3_i1	NA	NA	NA	NA	-1.174803038	unbias	0.517334651	Ovary_mean	0.0518	0.0845	1.6309
TRINITY_DN125990_c0_g4_i2	NA	NA	NA	NA	0.154282799	unbias	0.358677364	Brain_mmean	0.0154	0.0236	1.5345
TRINITY_DN125990_c1_g2_i2	NA	NA	NA	NA	-0.065092997	unbias	0.199240272	Ovary_mean	0.2165	0.357	1.649
TRINITY_DN125990_c2_g2_i7	NA	NA	NA	NA	0.244666791	unbias	0.12223011	G43_M_mean	0.0166	0.0233	1.4038
TRINITY_DN125994_c0_g1_i3	canx	Chr03	9518202	9518202	0.637638309	unbias	0.520617367	Ovary_mean	0.0546	0.0748	1.3699
TRINITY_DN125995_c6_g3_i1	NA	NA	NA	NA	0.615739793	unbias	0.502892172	G23_fmean	0.0609	0.0603	0.9891
TRINITY_DN125995_c8_g1_i1	NA	NA	NA	NA	0.127541956	unbias	0.328115071	Brain_mmean	0.0712	0.0892	1.2527
TRINITY_DN125997_c0_g3_i2	cdca7	Chr09	61723946	61723946	0.074980876	unbias	0.538557788	Ovary_mean	0.1754	0.1968	1.1219
TRINITY_DN125999_c6_g2_i9	NA	NA	NA	NA	0.220208268	unbias	0.155141479	G23_mmean	0.0266	0.0324	1.2176
TRINITY_DN126003_c2_g1_i1	NA	NA	NA	NA	0.019022419	unbias	0.097013849	G27_mmean	0.1007	0.1203	1.1947
TRINITY_DN126009_c3_g1_i3	NA	NA	NA	NA	0.079096852	unbias	0.197549475	Brain_mmean	0.052	0.0779	1.5001
TRINITY_DN126011_c0_g1_i2	NA	NA	NA	NA	0.005794266	unbias	0.482740206	Ovary_mean	0.0945	0.1381	1.4618
TRINITY_DN126015_c0_g1_i5	zbtb41	Chr04	100925665	100925665	-0.623319789	unbias	0.110421939	G27_fmean	0.1905	0.2159	1.1332
TRINITY_DN126018_c0_g1_i2	NA	NA	NA	NA	-0.115024947	unbias	0.7040526	Brain_mmean	0.1295	0.2344	1.81
TRINITY_DN126022_c0_g1_i1	NA	NA	NA	NA	0.001213585	unbias	0.389682358	G27_mmean	0.055	0.0714	1.2988
TRINITY_DN126024_c0_g2_i3	NA	NA	NA	NA	-0.487263881	unbias	0.444447208	Ovary_mean	0.0638	0.0818	1.2826
TRINITY_DN126025_c7_g3_i1	mab21l2	Chr01	47348499	47348499	-0.122248114	unbias	0.669346461	Ovary_mean	0.2241	0.386	1.7225
TRINITY_DN126027_c4_g1_i1	anxa4	Chr03	111802940	111802940	0.365926879	unbias	0.584615375	Brain_mmean	0.0418	0.0625	1.497
TRINITY_DN126027_c5_g1_i5	NA	NA	NA	NA	0.123671687	unbias	0.234337049	G23_fmean	0.0194	0.0186	0.9577
TRINITY_DN126027_c6_g2_i1	lars2-like	Chr06	63482736	63482736	-0.303450993	unbias	0.474053935	Ovary_mean	0.073	0.1069	1.4651
TRINITY_DN126028_c3_g1_i1	NA	NA	NA	NA	0.657053975	unbias	0.73106748	Testis_mean	0.0424	0.0556	1.3125
TRINITY_DN126031_c3_g1_i1	znf219	Chr01	131331485	131331485	-0.03711921	unbias	0.614758482	Ovary_mean	0.0833	0.1303	1.5636
TRINITY_DN126032_c0_g2_i6	NA	NA	NA	NA	-0.288058547	unbias	0.574809715	Ovary_mean	0.0297	0.0419	1.4135
TRINITY_DN126034_c3_g1_i2	NA	NA	NA	NA	0.632365712	unbias	0.367333822	G27_mmean	0.025	0.042	1.6789
TRINITY_DN126035_c2_g1_i6	NA	NA	NA	NA	-0.246863187	unbias	0.227051122	Testis_mean	0.0636	0.0885	1.3904
TRINITY_DN126036_c6_g4_i2	mrpl10	Chr10	4514910	4514910	-0.279065162	unbias	0.072674613	G27_fmean	0.0653	0.0743	1.139
TRINITY_DN126037_c0_g3_i1	NA	NA	NA	NA	0.079376132	unbias	0.798365149	Brain_mmean	0.1986	0.3031	1.5259
TRINITY_DN126038_c0_g1_i2	rims4-like	Chr10	5388535	5388535	-0.170370042	unbias	0.55505371	Brain_mmean	0.0537	0.062	1.156
TRINITY_DN126047_c5_g5_i7	NA	NA	NA	NA	-0.357900978	unbias	0.501715974	Ovary_mean	0.1051	0.1112	1.0575
TRINITY_DN126049_c0_g4_i12	NA	NA	NA	NA	0.161555336	unbias	0.139925185	G43_M_mean	0.0471	0.082	1.7384
TRINITY_DN126051_c1_g4_i2	NA	NA	NA	NA	-0.007066116	unbias	0.303543179	Ovary_mean	0.0118	0.0183	1.5593
TRINITY_DN126051_c2_g2_i3	hand1	Chr03	9256025	9256025	-0.004946408	unbias	0.729505253	Ovary_mean	0.1561	0.2574	1.6493
TRINITY_DN126056_c8_g5_i1	NA	NA	NA	NA	0.266222395	unbias	0.218767745	Brain_mmean	0.0818	0.1141	1.3957
TRINITY_DN126064_c0_g1_i1	mmab	Chr01	138372445	138372445	0.074693261	unbias	0.461285582	G43_M_mean	0.1181	0.1834	1.5535
TRINITY_DN126068_c0_g2_i4	NA	NA	NA	NA	0.014620352	unbias	0.16945453	G23_fmean	0.0284	0.044	1.5495
TRINITY_DN126072_c1_g1_i1	ppid	Chr01	43711990	43711990	0.288943379	unbias	0.55275532	Ovary_mean	0.0304	0.0402	1.323
TRINITY_DN126078_c0_g1_i1	NA	NA	NA	NA	-5.177776576	female	0.943003796	Ovary_mean	0.189	0.3196	1.6912
TRINITY_DN126079_c0_g1_i1	NA	NA	NA	NA	-0.553327519	unbias	0.477025347	Ovary_mean	0.1226	0.1743	1.4211
TRINITY_DN126079_c1_g1_i3	NA	NA	NA	NA	-0.167015776	unbias	0.184832796	G23_fmean	0.05	0.0651	1.3028
TRINITY_DN126082_c3_g1_i1	NA	NA	NA	NA	-0.401797542	unbias	0.238424636	G43_F_mean	0.0568	0.0954	1.6793
TRINITY_DN126089_c1_g1_i2	skiv2l2-like	Chr01	178712368	178712368	-3.19676856	female	0.821915861	Testis_mean	0.222	0.3588	1.6162
TRINITY_DN126094_c0_g1_i1	NA	NA	NA	NA	-0.081997393	unbias	0.379838913	Liver_mmean	0.0425	0.0713	1.6763
TRINITY_DN126098_c0_g2_i6	NA	NA	NA	NA	0.543093669	unbias	0.439544792	G43_M_mean	0.1442	0.2464	1.7091
TRINITY_DN126102_c6_g1_i1	NA	NA	NA	NA	0.330294094	unbias	0.51760923	G27_mmean	0.0775	0.0745	0.9618
TRINITY_DN126103_c0_g1_i1	NA	NA	NA	NA	-0.631330919	unbias	0.752692083	Ovary_mean	0.1241	0.202	1.6284
TRINITY_DN126113_c4_g2_i1	NA	NA	NA	NA	-0.066537739	unbias	0.636313484	Ovary_mean	0.0109	0.0196	1.8058
TRINITY_DN126115_c5_g1_i1	phax	Chr01	159776577	159776577	-0.52834305	unbias	0.148076689	G23_fmean	0.0631	0.0998	1.5807
TRINITY_DN126116_c3_g2_i2	NA	NA	NA	NA	-0.609312332	unbias	0.383953037	G43_F_mean	0.0492	0.0612	1.2433
TRINITY_DN126117_c0_g5_i1	NA	NA	NA	NA	-0.250591349	unbias	0.346777932	Ovary_mean	0.0285	0.041	1.4363
TRINITY_DN126118_c1_g1_i1	NA	NA	NA	NA	-0.013162949	unbias	0.598287048	G23_mmean	0.0674	0.1077	1.5982
TRINITY_DN126119_c0_g1_i2	NA	NA	NA	NA	0.356867015	unbias	0.500976212	Brain_fmean	0.0629	0.0528	0.8398
TRINITY_DN126122_c4_g2_i1	NA	NA	NA	NA	-0.397115882	unbias	0.36873361	Ovary_mean	0.0941	0.129	1.3704
TRINITY_DN126124_c2_g1_i3	NA	NA	NA	NA	0.187690236	unbias	0.649824593	Brain_mmean	0.036	0.034	0.9432
TRINITY_DN126125_c0_g2_i1	NA	NA	NA	NA	-0.370338573	unbias	0.314224828	Ovary_mean	0.1312	0.2072	1.5794
TRINITY_DN126126_c0_g1_i1	NA	NA	NA	NA	-0.364247893	unbias	0.377824795	Brain_fmean	0.0846	0.1546	1.8271
TRINITY_DN126126_c1_g1_i2	NA	NA	NA	NA	0.041582221	unbias	0.214405393	Brain_fmean	0.0477	0.0479	1.0044
TRINITY_DN126127_c0_g2_i3	36950	Chr07	17395429	17395429	-0.086290527	unbias	0.420736752	Brain_mmean	0.116	0.1691	1.4572
TRINITY_DN126129_c11_g1_i2	NA	NA	NA	NA	-0.009018602	unbias	0.410804097	G27_mmean	0.087	0.0864	0.9932
TRINITY_DN126133_c2_g1_i1	NA	NA	NA	NA	-0.120308634	unbias	0.516795276	Ovary_mean	0.0359	0.0353	0.9825
TRINITY_DN126135_c4_g1_i2	NA	NA	NA	NA	0.112730717	unbias	0.409773728	Ovary_mean	0.0479	0.0671	1.4001
TRINITY_DN126138_c0_g2_i2	NA	NA	NA	NA	0.107697051	unbias	0.35858057	Ovary_mean	0.0152	0.0205	1.3472
TRINITY_DN126142_c0_g1_i4	NA	NA	NA	NA	0.766429215	unbias	0.417097096	Brain_mmean	0.1643	0.1711	1.0416
TRINITY_DN126145_c3_g1_i2	NA	NA	NA	NA	0.245449688	unbias	0.334580053	G23_mmean	0.0332	0.0488	1.4695
TRINITY_DN126147_c0_g3_i3	NA	NA	NA	NA	0.481643694	unbias	0.795418104	Brain_fmean	0.1386	0.119	0.8582
TRINITY_DN126149_c3_g1_i1	NA	NA	NA	NA	0.840978364	unbias	0.610379932	G43_M_mean	0.0779	0.1026	1.3172
TRINITY_DN126149_c5_g2_i2	NA	NA	NA	NA	0.59560376	unbias	0.55853578	Ovary_mean	0.163	0.2997	1.8391
TRINITY_DN126151_c3_g1_i1	NA	NA	NA	NA	-0.241422013	unbias	0.429971215	Liver_fmean	0.2141	0.2678	1.2504
TRINITY_DN126158_c0_g1_i1	NA	NA	NA	NA	-0.144329249	unbias	0.662690128	Ovary_mean	0.1067	0.1869	1.751
TRINITY_DN126161_c0_g2_i4	noxred1	Chr08	61781169	61781169	-0.095825987	unbias	0.452362523	Ovary_mean	0.0218	0.0322	1.4786
TRINITY_DN126165_c3_g3_i1	NA	NA	NA	NA	0.152399338	unbias	0.310739735	Liver_mmean	0.0021	0.0029	1.3376
TRINITY_DN126171_c0_g1_i1	NA	NA	NA	NA	-0.344614868	unbias	0.327752665	Brain_mmean	0.0488	0.087	1.7816
TRINITY_DN126177_c8_g1_i1	NA	NA	NA	NA	-1.82337807	unbias	0.851134621	Ovary_mean	0.1461	0.2635	1.8033
TRINITY_DN126178_c1_g1_i1	NA	NA	NA	NA	-0.347267415	unbias	0.566457046	Ovary_mean	0.0806	0.1539	1.9085
TRINITY_DN126181_c0_g2_i5	LOC100216133	Chr06	109154413	109154413	0.248568068	unbias	0.286412178	Ovary_mean	0.0415	0.058	1.3972
TRINITY_DN126184_c0_g2_i2	slc35f1	Chr05	70442055	70442055	0.424702149	unbias	0.640524124	Testis_mean	0.2001	0.3543	1.7707
TRINITY_DN126188_c5_g4_i5	NA	NA	NA	NA	-0.088857453	unbias	0.306492004	Ovary_mean	0.0874	0.123	1.4074
TRINITY_DN126191_c0_g1_i1	NA	NA	NA	NA	-0.254170242	unbias	0.673242428	G43_F_mean	0.1606	0.2061	1.2828
TRINITY_DN126192_c3_g1_i1	NA	NA	NA	NA	0.125037736	unbias	0.352639619	Ovary_mean	0.055	0.0787	1.431
TRINITY_DN126192_c3_g2_i13	taf4	Chr10	1092665	1092665	0.229239428	unbias	0.294772392	Ovary_mean	0.0734	0.0852	1.1605
TRINITY_DN126198_c0_g1_i2	gtpbp3-like	Chr01	101308420	101308420	-0.404193916	unbias	0.147950525	G23_fmean	0.124	0.1836	1.4811
TRINITY_DN126202_c1_g1_i2	yif1b	Chr08	56120295	56120295	-0.349811563	unbias	0.461762704	Brain_mmean	0.115	0.1755	1.5265
TRINITY_DN126205_c1_g5_i1	spred2	Chr05	29526894	29526894	0.202257224	unbias	0.666904619	Brain_fmean	0.0589	0.1171	1.9884
TRINITY_DN126207_c0_g1_i2	NA	NA	NA	NA	-0.193042044	unbias	0.195463593	Brain_fmean	0.0634	0.0385	0.6062
TRINITY_DN126219_c1_g2_i1	NA	NA	NA	NA	0.125184292	unbias	0.230909421	Brain_mmean	0.0621	0.0817	1.3172
TRINITY_DN126222_c0_g1_i1	c14orf93	Chr01	127996764	127996764	-0.043305425	unbias	0.556708812	Ovary_mean	0.0727	0.1013	1.3931
TRINITY_DN126225_c0_g3_i2	NA	NA	NA	NA	0.337374895	unbias	0.57649777	Ovary_mean	0.0247	0.0392	1.59
TRINITY_DN126237_c11_g4_i1	NA	NA	NA	NA	-0.374490764	unbias	0.271213576	G31_mmean	0.1197	0.194	1.6202
TRINITY_DN126239_c1_g1_i2	NA	NA	NA	NA	-0.101930454	unbias	0.719715068	Brain_mmean	0.0306	0.042	1.3748
TRINITY_DN126240_c0_g2_i1	NA	NA	NA	NA	0.557637015	unbias	0.514915417	G23_fmean	0.0762	0.1138	1.4929
TRINITY_DN126246_c0_g2_i1	NA	NA	NA	NA	0.44174155	unbias	0.464451674	Brain_fmean	0.1765	0.2131	1.2071
TRINITY_DN126251_c5_g3_i3	NA	NA	NA	NA	-0.010831982	unbias	0.233872993	Brain_fmean	0.0584	0.0933	1.5992
TRINITY_DN126255_c0_g2_i1	NA	NA	NA	NA	0.187298093	unbias	0.37228816	G43_M_mean	0.0716	0.1286	1.7966
TRINITY_DN126256_c6_g2_i1	NA	NA	NA	NA	-0.343008858	unbias	0.721899695	Ovary_mean	0.0215	0.029	1.3531
TRINITY_DN126267_c1_g1_i3	NA	NA	NA	NA	-0.222009222	unbias	0.170427179	Testis_mean	0.0696	0.0943	1.3543
TRINITY_DN126268_c0_g1_i2	NA	NA	NA	NA	0.049022523	unbias	0.36402416	Liver_mmean	0.0809	0.1234	1.5247
TRINITY_DN126268_c0_g2_i1	NA	NA	NA	NA	-0.361441142	unbias	0.230827026	Ovary_mean	0.1234	0.2081	1.6868
TRINITY_DN126269_c0_g1_i1	NA	NA	NA	NA	-0.210910438	unbias	0.142198022	Brain_mmean	0.0115	0.0124	1.0747
TRINITY_DN126269_c1_g1_i1	NA	NA	NA	NA	0.553497781	unbias	0.44393755	Brain_fmean	0.0222	0.0402	1.8112
TRINITY_DN126273_c0_g2_i4	NA	NA	NA	NA	0.080974301	unbias	0.286336907	G43_M_mean	0.079	0.1368	1.7323
TRINITY_DN126278_c3_g10_i1	NA	NA	NA	NA	-0.153639081	unbias	0.275440824	Ovary_mean	0.0093	0.0159	1.7092
TRINITY_DN126278_c3_g6_i2	NA	NA	NA	NA	-0.06205553	unbias	0.245800493	Brain_fmean	0.0198	0.0307	1.5503
TRINITY_DN126281_c6_g1_i1	NA	NA	NA	NA	0.552860487	unbias	0.823956462	Brain_mmean	0.0693	0.0859	1.2396
TRINITY_DN126284_c5_g1_i3	rpl13a	scaffold_3525	499	499	-0.074270063	unbias	0.238473698	Ovary_mean	0.0569	0.0917	1.6123
TRINITY_DN126285_c1_g1_i1	NA	NA	NA	NA	0.131960779	unbias	0.444639037	Testis_mean	0.024	0.0209	0.869
TRINITY_DN126288_c0_g1_i3	NA	NA	NA	NA	0.132539394	unbias	0.594871065	G23_fmean	0.1948	0.369	1.8946
TRINITY_DN126290_c0_g1_i1	NA	NA	NA	NA	0.082667351	unbias	0.57615761	G43_M_mean	0.0926	0.1464	1.5817
TRINITY_DN126290_c1_g1_i1	phka2-like	Chr02	40416520	40416520	0.303982073	unbias	0.601231682	Brain_fmean	0.1186	0.228	1.9226
TRINITY_DN126291_c5_g1_i2	NA	NA	NA	NA	0.132856158	unbias	0.506684631	Brain_mmean	0.0773	0.0943	1.2198
TRINITY_DN126292_c1_g2_i1	NA	NA	NA	NA	-0.190458586	unbias	0.577402009	Brain_mmean	0.0344	0.064	1.8621
TRINITY_DN126296_c0_g1_i4	NA	NA	NA	NA	0.315371807	unbias	0.745739968	Brain_mmean	0.03	0.0425	1.4144
TRINITY_DN126300_c1_g4_i5	NA	NA	NA	NA	0.318092395	unbias	0.704174178	Brain_mmean	0.0828	0.1016	1.2262
TRINITY_DN126301_c0_g1_i2	NA	NA	NA	NA	-0.126422456	unbias	0.334821269	Ovary_mean	0.1084	0.1262	1.1637
TRINITY_DN126307_c1_g2_i2	NA	NA	NA	NA	-0.021849454	unbias	0.421064575	Ovary_mean	0.1372	0.2338	1.704
TRINITY_DN126308_c0_g2_i9	NA	NA	NA	NA	-0.748232399	unbias	0.144226479	G23_fmean	0.0517	0.0711	1.3755
TRINITY_DN126312_c0_g1_i4	ngly1-like	Chr06	76483027	76483027	-1.216250216	unbias	0.68539083	Ovary_mean	0.1612	0.3023	1.8748
TRINITY_DN126313_c0_g1_i1	NA	NA	NA	NA	0.343767765	unbias	0.457064907	G27_mmean	0.0635	0.1138	1.7911
TRINITY_DN126314_c2_g1_i2	gpc4	Chr08	46770059	46770059	-0.078243784	unbias	0.545865389	Ovary_mean	0.0584	0.0827	1.4166
TRINITY_DN126315_c5_g1_i1	scfd2	Chr01	30442404	30442404	0.350402447	unbias	0.645807609	Brain_mmean	0.0429	0.0469	1.0914
TRINITY_DN126315_c5_g2_i2	NA	NA	NA	NA	0.083357188	unbias	0.460905149	Brain_mmean	0.0962	0.1408	1.4633
TRINITY_DN126318_c7_g5_i2	NA	NA	NA	NA	0.006661265	unbias	0.409439073	Brain_fmean	0.0341	0.047	1.3805
TRINITY_DN126318_c8_g2_i4	NA	NA	NA	NA	0.513774513	unbias	0.460717325	Ovary_mean	0.0813	0.1343	1.6529
TRINITY_DN126321_c0_g2_i1	NA	NA	NA	NA	-0.218858757	unbias	0.421279266	Ovary_mean	0.0659	0.1265	1.9199
TRINITY_DN126328_c0_g1_i1	NA	NA	NA	NA	-0.075482803	unbias	0.465575418	Testis_mean	0.0898	0.1532	1.7054
TRINITY_DN126330_c1_g2_i1	NA	NA	NA	NA	-0.2470831	unbias	0.359315552	Ovary_mean	0.128	0.2552	1.9938
TRINITY_DN126335_c1_g3_i3	abca3-like	Chr09	15776896	15776896	-0.225239176	unbias	0.620100086	Brain_mmean	0.1354	0.2265	1.6721
TRINITY_DN126342_c0_g1_i1	ide	Chr07	17348073	17348073	0.122951166	unbias	0.322217997	Brain_mmean	0.0365	0.0457	1.2513
TRINITY_DN126345_c2_g2_i1	NA	NA	NA	NA	-0.244322631	unbias	0.07671076	Brain_mmean	0.1883	0.2438	1.2949
TRINITY_DN126346_c0_g1_i1	NA	NA	NA	NA	0.45402559	unbias	0.744166144	Brain_mmean	0.0495	0.0447	0.902
TRINITY_DN126346_c1_g1_i1	LOC100496663	Chr05	107921390	107921390	0.387323007	unbias	0.801965607	Brain_fmean	0.0448	0.0747	1.6661
TRINITY_DN126348_c0_g1_i2	NA	NA	NA	NA	0.505941627	unbias	0.743381209	Brain_mmean	0.0866	0.0758	0.8754
TRINITY_DN126349_c0_g1_i2	NA	NA	NA	NA	-0.216104099	unbias	0.945672143	G46_M_mean	0.1078	0.1942	1.8015
TRINITY_DN126350_c2_g3_i4	NA	NA	NA	NA	-0.098248202	unbias	0.182219829	Brain_mmean	0.0053	0.0072	1.3548
TRINITY_DN126356_c1_g3_i1	NA	NA	NA	NA	0.13523737	unbias	0.584699988	Brain_mmean	0.073	0.071	0.9714
TRINITY_DN126357_c1_g1_i2	cers5	Chr02	146028235	146028235	0.026788308	unbias	0.376177104	Ovary_mean	0.0648	0.1064	1.6433
TRINITY_DN126357_c1_g2_i4	drd4	Chr04	35746132	35746132	0.189336068	unbias	0.410159125	Ovary_mean	0.042	0.0468	1.1147
TRINITY_DN126358_c1_g2_i1	NA	NA	NA	NA	-0.355783433	unbias	0.284811026	Ovary_mean	0.0689	0.125	1.8142
TRINITY_DN126359_c3_g1_i4	NA	NA	NA	NA	-0.002921929	unbias	0.802116105	Ovary_mean	0.2418	0.3464	1.4326
TRINITY_DN126360_c0_g1_i1	NA	NA	NA	NA	0.442154897	unbias	0.747256551	Brain_mmean	0.0187	0.0366	1.9575
TRINITY_DN126361_c3_g1_i1	LOC100485278	Chr10	24700728	24700728	0.008676552	unbias	0.380945615	Brain_mmean	0.0565	0.0971	1.7192
TRINITY_DN126364_c9_g2_i2	NA	NA	NA	NA	0.606775832	unbias	0.267172677	G23_fmean	0.095	0.1817	1.9127
TRINITY_DN126367_c3_g1_i1	ell2	Chr01	172702126	172702126	0.004017983	unbias	0.387539114	Brain_mmean	0.0566	0.0693	1.2245
TRINITY_DN126377_c9_g1_i3	NA	NA	NA	NA	0.117196797	unbias	0.783889865	Brain_fmean	0.0462	0.063	1.3644
TRINITY_DN126384_c1_g7_i2	NA	NA	NA	NA	0.615096195	unbias	0.54855504	Brain_fmean	0.0284	0.0374	1.3159
TRINITY_DN126387_c1_g1_i6	NA	NA	NA	NA	0.434969659	unbias	0.74543823	Brain_mmean	0.1006	0.1547	1.5374
TRINITY_DN126390_c2_g1_i4	NA	NA	NA	NA	-0.13446904	unbias	0.156446462	Ovary_mean	0.058	0.0822	1.4165
TRINITY_DN126390_c4_g1_i2	casq1	Chr08	114836960	114836960	-0.101529455	unbias	0.20738669	Liver_mmean	0.0492	0.0705	1.4308
TRINITY_DN126394_c1_g1_i1	NA	NA	NA	NA	-0.239450375	unbias	0.553485813	Ovary_mean	0.0665	0.1085	1.631
TRINITY_DN126397_c0_g2_i1	NA	NA	NA	NA	-0.392117139	unbias	0.435479214	Brain_fmean	0.1351	0.2388	1.7679
TRINITY_DN126402_c0_g1_i1	NA	NA	NA	NA	0.065410545	unbias	0.70154961	Brain_fmean	0.152	0.195	1.2827
TRINITY_DN126404_c1_g2_i1	NA	NA	NA	NA	0.75898148	unbias	0.637121838	G23_fmean	0.0396	0.0397	1.0024
TRINITY_DN126404_c2_g16_i1	NA	NA	NA	NA	0.104264436	unbias	0.634128661	Ovary_mean	0.131	0.2424	1.85
TRINITY_DN126405_c0_g1_i1	NA	NA	NA	NA	-0.799539397	unbias	0.460179529	Ovary_mean	0.0156	0.0282	1.8135
TRINITY_DN126408_c2_g1_i1	NA	NA	NA	NA	0.124096851	unbias	0.645838434	Brain_mmean	0.0767	0.1173	1.5287
TRINITY_DN126410_c3_g1_i3	NA	NA	NA	NA	-2.437969947	female	0.605771376	Ovary_mean	0.2241	0.4171	1.8618
TRINITY_DN126414_c7_g4_i2	NA	NA	NA	NA	0.260328507	unbias	0.289225022	Testis_mean	0.0751	0.0977	1.3002
TRINITY_DN126421_c2_g1_i1	LOC100145599	Chr01	178928228	178928228	-0.390363133	unbias	0.616123715	Ovary_mean	0.0457	0.0808	1.7687
TRINITY_DN126424_c0_g2_i6	LOC100486817-like	scaffold_147	323376	323376	0.022548301	unbias	0.585134167	Liver_fmean	0.0259	0.0419	1.6205
TRINITY_DN126425_c1_g1_i3	NA	NA	NA	NA	-0.664197425	unbias	0.680876437	Ovary_mean	0.0962	0.1554	1.6157
TRINITY_DN126427_c0_g1_i1	NA	NA	NA	NA	-0.101612009	unbias	0.712498678	Liver_mmean	0.0653	0.1046	1.6024
TRINITY_DN126428_c0_g1_i1	NA	NA	NA	NA	0.400452854	unbias	0.640818939	Brain_mmean	0.0928	0.1126	1.2141
TRINITY_DN126429_c0_g1_i1	NA	NA	NA	NA	0.016523895	unbias	0.527129312	Ovary_mean	0.0532	0.066	1.2421
TRINITY_DN126443_c0_g1_i1	NA	NA	NA	NA	0.334210868	unbias	0.458641173	Brain_fmean	0.0242	0.0437	1.8056
TRINITY_DN126447_c0_g1_i1	NA	NA	NA	NA	-0.37962161	unbias	0.600587795	Ovary_mean	0.1231	0.2104	1.7095
TRINITY_DN126450_c1_g3_i1	b3gnt7	Chr05	110295961	110295961	-0.095094485	unbias	0.114043846	G23_fmean	0.061	0.0679	1.112
TRINITY_DN126452_c0_g2_i3	NA	NA	NA	NA	-0.175857394	unbias	0.464050983	Ovary_mean	0.1979	0.357	1.8036
TRINITY_DN126467_c0_g1_i1	NA	NA	NA	NA	-0.166114865	unbias	0.141539331	G23_fmean	0.0595	0.0523	0.8787
TRINITY_DN126470_c0_g1_i1	ifrd2-like	Chr04	116684516	116684516	-0.063964046	unbias	0.56939918	Brain_mmean	0.1032	0.148	1.4344
TRINITY_DN126476_c0_g2_i1	NA	NA	NA	NA	0.632088658	unbias	0.725157645	Brain_mmean	0.0439	0.0617	1.4068
TRINITY_DN126477_c4_g3_i1	arhgef1-like	Chr07	98424525	98424525	-0.065455854	unbias	0.308354807	Liver_fmean	0.1045	0.1519	1.4531
TRINITY_DN126495_c0_g1_i1	NA	NA	NA	NA	-0.29540977	unbias	0.746696383	Ovary_mean	0.1806	0.2549	1.4117
TRINITY_DN126499_c3_g4_i2	ldhd	Chr04	28518719	28518719	-0.331548727	unbias	0.475190044	Ovary_mean	0.0399	0.0485	1.2151
TRINITY_DN126500_c0_g11_i2	NA	NA	NA	NA	0.008420628	unbias	0.319573771	G23_mmean	0.107	0.1655	1.5469
TRINITY_DN126501_c5_g3_i1	tctex1d4	Chr04	72772574	72772574	0.089447523	unbias	0.274350435	Ovary_mean	0.015	0.0275	1.829
TRINITY_DN126505_c0_g1_i2	NA	NA	NA	NA	-0.144854912	unbias	0.336137984	Ovary_mean	0.0885	0.133	1.5031
TRINITY_DN126507_c0_g1_i2	NA	NA	NA	NA	-0.704563736	unbias	0.807577237	Ovary_mean	0.0435	0.0441	1.0156
TRINITY_DN126508_c0_g4_i8	NA	NA	NA	NA	-0.058625134	unbias	0.242370907	G23_mmean	0.0474	0.0677	1.4293
TRINITY_DN126510_c0_g1_i3	dnajb6	Chr06	9884065	9884065	0.032987376	unbias	0.491075264	G43_M_mean	0.1423	0.2191	1.5395
TRINITY_DN126511_c6_g1_i2	NA	NA	NA	NA	-0.001677505	unbias	0.45024388	Brain_mmean	0.277	0.4222	1.5238
TRINITY_DN126514_c1_g1_i1	hpcal4	Chr02	86873608	86873608	0.256478074	unbias	0.581158135	Ovary_mean	0.009	0.0077	0.849
TRINITY_DN126517_c0_g1_i2	NA	NA	NA	NA	1.283938545	unbias	0.607748407	Brain_mmean	0.0776	0.1041	1.3403
TRINITY_DN126518_c0_g2_i2	NA	NA	NA	NA	-0.046724725	unbias	0.210066899	Ovary_mean	0.0268	0.0278	1.0359
TRINITY_DN126523_c5_g1_i1	e2f3	Chr06	29731255	29731255	0.008904315	unbias	0.296020314	Ovary_mean	0.1711	0.3319	1.94
TRINITY_DN126526_c0_g1_i1	rfxank-like	Chr01	101651528	101651528	0.046593105	unbias	0.842875625	Brain_mmean	0.0483	0.0441	0.9143
TRINITY_DN126528_c1_g1_i1	bin3	Chr03	119680504	119680504	0.549026598	unbias	0.345081755	Ovary_mean	0.0618	0.1155	1.8687
TRINITY_DN126528_c2_g1_i3	NA	NA	NA	NA	-0.252511424	unbias	0.19868178	Ovary_mean	0.0103	0.0174	1.6823
