Group	ID	BLAST	PERC	LENG	GAP1	GAP2	QS	QE	DBS	DBE	Evalue	score
Not_anno	TRINITY_DN104862_c0_g1_i1	NM_001286836.1	99.149	470	4	0	1	470	541	72	0	846
Not_anno	TRINITY_DN209740_c0_g1_i1	NM_003491.3	100	850	0	0	1	850	989	140	0	1570
Not_anno	TRINITY_DN209778_c0_g1_i1	NM_005004.3	100	601	0	0	1	601	657	57	0	1110
Not_anno	TRINITY_DN210870_c0_g1_i1	NM_001004333.4	99.658	585	2	0	1	585	781	197	0	1070
Not_anno	TRINITY_DN208326_c0_g1_i1	BC093064.1	100	852	0	0	1	852	884	33	0	1574
Not_anno	TRINITY_DN207301_c0_g1_i1	NM_002629.3	99.944	1788	1	0	1	1788	1853	66	0	3297
Not_anno	TRINITY_DN201859_c0_g1_i1	EF094937.1	100	1075	0	0	1	1075	8442	7368	0	1986
Not_anno	TRINITY_DN207190_c0_g1_i1	NM_002799.3	99.897	974	1	0	1	974	999	26	0	1794
Not_anno	TRINITY_DN210309_c0_g1_i1	NM_001000.3	100	407	0	0	1	407	428	22	0	752
Not_anno	TRINITY_DN211480_c0_g1_i1	XM_003949332.3	100	451	0	0	1	451	542	92	0	833
Not_anno	TRINITY_DN211271_c0_g1_i1	NM_014713.4	100	951	0	0	1	951	1317	367	0	1757
Not_anno	TRINITY_DN210580_c0_g1_i1	NM_004048.2	100	785	0	0	1	785	827	43	0	1450
Not_anno	TRINITY_DN209170_c0_g1_i1	NM_014366.4	99.673	1836	5	1	1	1836	1915	81	0	3356
Not_anno	TRINITY_DN208611_c0_g1_i1	XM_016925405.1	100	742	0	0	1	742	995	254	0	1371
Not_anno	TRINITY_DN208462_c0_g1_i1	NM_005184.3	99.947	1875	1	0	1	1875	2030	156	0	3458
Not_anno	TRINITY_DN208499_c0_g1_i1	NM_001002027.1	100	509	0	0	1	509	520	12	0	941
Not_anno	TRINITY_DN209617_c0_g1_i1	NM_016185.3	100	705	0	0	11	715	869	165	0	1303
Not_anno	TRINITY_DN207847_c0_g1_i1	NM_005063.4	99.936	4681	2	1	1	4680	4790	110	0	8626
Not_anno	TRINITY_DN207609_c0_g1_i1	BC000829.1	99.895	948	0	1	1	947	952	5	0	1744
