gid	gname	chr	start	end	logFC.XYbrain.XXrain	abslogFC.XYbrain.Xxrain	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN127717_c2_g1_i2	NA	NA	NA	NA	0.147195835	0.147195835	unbias	0.41546249	Brain_mean	0.0213	0.0244	1.1446
TRINITY_DN127721_c0_g1_i2	NA	NA	NA	NA	-0.411754334	0.411754334	unbias	0.525920181	Brain_mean	0.1101	0.1895	1.7206
TRINITY_DN127736_c7_g2_i1	NA	NA	NA	NA	0.286348638	0.286348638	unbias	0.349698281	G27_mean	0.0918	0.1218	1.3267
TRINITY_DN127743_c1_g1_i6	NA	NA	NA	NA	0.044032807	0.044032807	unbias	0.271993859	Ovary_mean	0.0046	0.0037	0.7991
TRINITY_DN127751_c4_g1_i1	ola1	Chr09	61380670	61380670	-0.118760782	0.118760782	unbias	0.485807221	Brain_mean	0.0755	0.1311	1.7359
TRINITY_DN127753_c0_g1_i2	NA	NA	NA	NA	-0.019393321	0.019393321	unbias	0.201666506	Brain_mean	0.0681	0.0861	1.2638
TRINITY_DN127774_c1_g1_i1	LOC100493285	Chr07	31817510	31817510	-0.021871898	0.021871898	unbias	0.531518131	Brain_mean	0.1417	0.2478	1.749
TRINITY_DN127789_c1_g1_i2	ephx1	Chr05	4579485	4579485	-0.108470529	0.108470529	unbias	0.318448821	Ovary_mean	0.1277	0.1948	1.5252
TRINITY_DN127791_c0_g2_i5	NA	NA	NA	NA	0.096088874	0.096088874	unbias	0.595915263	Brain_mean	0.0368	0.059	1.6037
TRINITY_DN127793_c0_g2_i3	Xetrov90027901m	scaffold_2965	4527	4527	0.23526265	0.23526265	unbias	0.57179391	Ovary_mean	0.0796	0.147	1.8466
TRINITY_DN127794_c2_g3_i1	NA	NA	NA	NA	0.1023077	0.1023077	unbias	0.358840575	Ovary_mean	0.1476	0.2349	1.5912
TRINITY_DN127805_c9_g1_i2	NA	NA	NA	NA	-0.046432814	0.046432814	unbias	0.188946832	Ovary_mean	0.0339	0.0513	1.5148
TRINITY_DN127813_c0_g1_i2	NA	NA	NA	NA	-0.013469277	0.013469277	unbias	0.245412265	Testis_mean	0.0458	0.0744	1.6232
TRINITY_DN127814_c3_g3_i1	NA	NA	NA	NA	-0.26191794	0.26191794	unbias	0.257277568	Testis_mean	0.0884	0.12	1.3576
TRINITY_DN127822_c1_g5_i1	NA	NA	NA	NA	-0.225198952	0.225198952	unbias	0.320237345	Ovary_mean	0.1151	0.2013	1.7492
TRINITY_DN127879_c2_g4_i2	taok3	Chr01	156808132	156808132	0.29712852	0.29712852	unbias	0.352159084	Brain_mean	0.1191	0.209	1.7552
TRINITY_DN127892_c2_g2_i5	NA	NA	NA	NA	-0.093507272	0.093507272	unbias	0.309997656	Ovary_mean	0.0182	0.0223	1.2222
TRINITY_DN127899_c0_g1_i1	NA	NA	NA	NA	-0.06666535	0.06666535	unbias	0.166456318	G23_mean	0.029	0.0479	1.6536
TRINITY_DN127922_c6_g2_i8	cyp27a1-like.2	Chr09	77293187	77293187	-0.065061462	0.065061462	unbias	0.172875063	Brain_mean	0.0648	0.0733	1.1309
TRINITY_DN127924_c1_g2_i3	NA	NA	NA	NA	-0.103794727	0.103794727	unbias	0.249369864	Brain_mean	0.1001	0.1622	1.6201
TRINITY_DN127933_c4_g2_i2	NA	NA	NA	NA	-0.087724612	0.087724612	unbias	0.771610859	Brain_mean	0.0914	0.0478	0.5231
TRINITY_DN127948_c1_g2_i1	NA	NA	NA	NA	0.012929325	0.012929325	unbias	0.33163108	Ovary_mean	0.0389	0.071	1.8222
TRINITY_DN127964_c0_g3_i9	NA	NA	NA	NA	-0.234406087	0.234406087	unbias	0.451439731	G27_mean	0.0805	0.1247	1.5486
TRINITY_DN127973_c2_g1_i1	NA	NA	NA	NA	0.094651812	0.094651812	unbias	0.243618623	Ovary_mean	0.0968	0.1681	1.7363
TRINITY_DN127974_c1_g2_i3	NA	NA	NA	NA	-0.11210177	0.11210177	unbias	0.373239653	Ovary_mean	0.079	0.1403	1.775
TRINITY_DN127989_c1_g1_i5	NA	NA	NA	NA	0.087082281	0.087082281	unbias	0.441787047	Brain_mean	0.0707	0.0785	1.1111
TRINITY_DN128001_c0_g1_i1	NA	NA	NA	NA	0.025923199	0.025923199	unbias	0.21386903	Ovary_mean	0.1193	0.1349	1.1304
TRINITY_DN128040_c0_g1_i2	rhbdd2	Chr02	89669031	89669031	0.02922222	0.02922222	unbias	0.129299752	G23_mean	0.0316	0.0386	1.2197
TRINITY_DN128082_c1_g3_i6	nyap2	Chr05	115880195	115880195	0.221477769	0.221477769	unbias	0.214873095	G23_mean	0.0745	0.1004	1.3475
TRINITY_DN128138_c2_g1_i7	NA	NA	NA	NA	-0.097438715	0.097438715	unbias	0.171940769	Brain_mean	0.0049	0.0044	0.9065
TRINITY_DN128202_c0_g2_i2	NA	NA	NA	NA	-0.17834658	0.17834658	unbias	0.379252326	Ovary_mean	0.0855	0.1128	1.3191
TRINITY_DN128209_c4_g1_i4	NA	NA	NA	NA	0.198931688	0.198931688	unbias	0.497360639	Brain_mean	0.2456	0.3623	1.4752
TRINITY_DN128210_c1_g2_i1	NA	NA	NA	NA	-0.365439977	0.365439977	unbias	0.110598087	Liver_mean	0.0764	0.1332	1.7443
TRINITY_DN128273_c2_g2_i2	NA	NA	NA	NA	0.437842809	0.437842809	unbias	0.279270297	Ovary_mean	0.1211	0.177	1.4621
TRINITY_DN128273_c2_g3_i2	NA	NA	NA	NA	-0.396708461	0.396708461	unbias	0.32329929	Brain_mean	0.1091	0.1878	1.721
TRINITY_DN128300_c2_g1_i1	NA	NA	NA	NA	-0.211742846	0.211742846	unbias	0.607346916	Brain_mean	0.0885	0.1723	1.9459
TRINITY_DN128302_c1_g2_i1	NA	NA	NA	NA	0.045987449	0.045987449	unbias	0.273322215	Brain_mean	0.0359	0.0577	1.6057
TRINITY_DN128309_c0_g1_i1	NA	NA	NA	NA	0.122823849	0.122823849	unbias	0.274584887	G27_mean	0.2018	0.3308	1.6394
TRINITY_DN128311_c2_g4_i2	slc6a7	Chr03	7409802	7409802	-0.069477308	0.069477308	unbias	0.476665135	Brain_mean	0.012	0.009	0.7505
TRINITY_DN128316_c0_g1_i1	NA	NA	NA	NA	0.005980539	0.005980539	unbias	0.649503081	Brain_mean	0.0664	0.0408	0.6149
TRINITY_DN128332_c0_g1_i2	NA	NA	NA	NA	0.028952414	0.028952414	unbias	0.249518217	Ovary_mean	0.0245	0.0287	1.1712
TRINITY_DN128334_c1_g2_i2	NA	NA	NA	NA	0.034737606	0.034737606	unbias	0.380224656	G46_M_mean	0.0463	0.0667	1.4415
TRINITY_DN128335_c6_g1_i3	LOC100491797	Chr03	131357536	131357536	-0.127182088	0.127182088	unbias	0.17656892	Brain_mean	0.0386	0.0464	1.2005
TRINITY_DN128395_c2_g2_i1	NA	NA	NA	NA	-0.046300549	0.046300549	unbias	0.556162318	Brain_mean	0.0258	0.0436	1.6896
TRINITY_DN128420_c4_g1_i1	NA	NA	NA	NA	0.018075295	0.018075295	unbias	0.312229896	Ovary_mean	0.1378	0.1905	1.3822
TRINITY_DN128440_c0_g1_i5	NA	NA	NA	NA	-0.061476672	0.061476672	unbias	0.455021386	Ovary_mean	0.1737	0.2534	1.459
TRINITY_DN128441_c1_g1_i1	slc51b-like	Chr03	117845889	117845889	-0.006962013	0.006962013	unbias	0.214393949	Ovary_mean	0.0508	0.0865	1.7022
TRINITY_DN128444_c2_g9_i1	NA	NA	NA	NA	0.150722104	0.150722104	unbias	0.422357915	Brain_mean	0.2078	0.2026	0.9751
TRINITY_DN128474_c4_g3_i2	NA	NA	NA	NA	-0.018606611	0.018606611	unbias	0.313204218	Brain_mean	0.097	0.1291	1.3307
TRINITY_DN128478_c1_g4_i3	NA	NA	NA	NA	0.239713176	0.239713176	unbias	0.322464491	Ovary_mean	0.0371	0.0263	0.7087
TRINITY_DN128483_c4_g2_i1	NA	NA	NA	NA	-0.330333728	0.330333728	unbias	0.391934033	Brain_mean	0.0347	0.0191	0.5484
TRINITY_DN128487_c0_g1_i2	NA	NA	NA	NA	0.133467459	0.133467459	unbias	0.169684751	Ovary_mean	0.0532	0.0762	1.433
TRINITY_DN128497_c1_g1_i1	NA	NA	NA	NA	0.216943383	0.216943383	unbias	0.346933664	Ovary_mean	0.0754	0.1199	1.5915
TRINITY_DN128500_c0_g1_i1	NA	NA	NA	NA	0.012872792	0.012872792	unbias	0.230188208	Ovary_mean	0.07	0.1132	1.6166
TRINITY_DN128508_c7_g2_i1	NA	NA	NA	NA	-0.008920323	0.008920323	unbias	0.20974581	Ovary_mean	0.0106	0.0205	1.9374
TRINITY_DN128520_c0_g1_i4	NA	NA	NA	NA	0.570687752	0.570687752	unbias	0.193743325	G43_F_mean	0.0625	0.0784	1.254
TRINITY_DN128521_c1_g1_i4	NA	NA	NA	NA	0.1761792	0.1761792	unbias	0.236608936	Ovary_mean	0.0361	0.0573	1.5876
TRINITY_DN128528_c0_g1_i1	pnkp	Chr07	109592842	109592842	-0.323428709	0.323428709	unbias	0.518722547	Brain_mean	0.1611	0.256	1.5892
TRINITY_DN128541_c0_g1_i1	NA	NA	NA	NA	-0.175962028	0.175962028	unbias	0.573056133	Liver_mean	0.1693	0.255	1.5059
TRINITY_DN128574_c0_g3_i1	NA	NA	NA	NA	0.212057981	0.212057981	unbias	0.317354384	G23_mean	0.1017	0.1519	1.494
TRINITY_DN128579_c1_g1_i1	NA	NA	NA	NA	-0.314652342	0.314652342	unbias	0.42976715	Ovary_mean	0.014	0.0123	0.8787
TRINITY_DN128623_c0_g3_i1	btbd3	Chr05	23351442	23351442	0.088866368	0.088866368	unbias	0.757910956	Brain_mean	0.042	0.0403	0.9609
TRINITY_DN128627_c5_g2_i1	NA	NA	NA	NA	-0.097892308	0.097892308	unbias	0.295042665	G23_mean	0.0748	0.0764	1.0213
TRINITY_DN128646_c4_g4_i1	NA	NA	NA	NA	0.075165588	0.075165588	unbias	0.365032117	Ovary_mean	0.0167	0.0095	0.5685
TRINITY_DN128648_c6_g1_i2	chac1-like	Chr08	95290542	95290542	-0.047051094	0.047051094	unbias	0.493737924	Brain_mean	0.058	0.0556	0.9581
TRINITY_DN128662_c2_g1_i3	NA	NA	NA	NA	-0.616080836	0.616080836	unbias	0.202716937	G27_mean	0.067	0.0751	1.1208
TRINITY_DN128701_c1_g3_i4	NA	NA	NA	NA	0.742891376	0.742891376	unbias	0.220099787	Liver_mean	0.2115	0.3935	1.8609
TRINITY_DN128731_c5_g1_i2	NA	NA	NA	NA	-0.163023392	0.163023392	unbias	0.318095274	Ovary_mean	0.0607	0.0841	1.3859
TRINITY_DN128735_c3_g1_i3	LOC100497991-like	Chr06	52244459	52244459	-0.319157937	0.319157937	unbias	0.535922317	Brain_mean	0.0872	0.1146	1.3142
TRINITY_DN128792_c0_g1_i6	NA	NA	NA	NA	-0.044794135	0.044794135	unbias	0.521267887	Brain_mean	0.0263	0.0311	1.1831
TRINITY_DN128794_c0_g5_i7	NA	NA	NA	NA	0.139780834	0.139780834	unbias	0.378913841	Brain_mean	0.0217	0.0273	1.2574
TRINITY_DN128802_c2_g1_i1	NA	NA	NA	NA	-0.024955709	0.024955709	unbias	0.349610544	Ovary_mean	0.0339	0.0649	1.9148
TRINITY_DN128821_c4_g2_i3	NA	NA	NA	NA	0.016429313	0.016429313	unbias	0.118738172	G43_M_mean	0.0713	0.113	1.5862
TRINITY_DN128834_c2_g1_i1	NA	NA	NA	NA	0.0168915	0.0168915	unbias	0.234561535	Ovary_mean	0.1492	0.2217	1.4852
TRINITY_DN128849_c0_g3_i2	NA	NA	NA	NA	-0.049183244	0.049183244	unbias	0.268802694	Brain_mean	0.0297	0.018	0.6061
TRINITY_DN128866_c1_g5_i2	NA	NA	NA	NA	-0.09351796	0.09351796	unbias	0.075019827	G23_mean	0.0607	0.041	0.6755
TRINITY_DN128881_c6_g1_i3	NA	NA	NA	NA	-0.104082489	0.104082489	unbias	0.531932734	G27_mean	0.071	0.1071	1.5081
TRINITY_DN128882_c4_g3_i1	NA	NA	NA	NA	0.218445637	0.218445637	unbias	0.301717623	Brain_mean	0.1066	0.1726	1.6199
TRINITY_DN128891_c2_g3_i1	NA	NA	NA	NA	-0.005743132	0.005743132	unbias	0.200595335	Brain_mean	0.1306	0.2213	1.6952
TRINITY_DN128898_c2_g3_i1	chrdl1	Chr08	30259276	30259276	-0.807802938	0.807802938	unbias	0.409919907	Ovary_mean	0.1542	0.2375	1.5401
TRINITY_DN128909_c3_g1_i2	apopt1	Chr08	77619916	77619916	0.218127824	0.218127824	unbias	0.4281649	Brain_mean	0.0115	0.0222	1.9412
TRINITY_DN128922_c3_g8_i1	atg4c	Chr04	78174727	78174727	-0.040647416	0.040647416	unbias	0.252771958	Brain_mean	0.141	0.1808	1.2825
TRINITY_DN128926_c0_g1_i3	NA	NA	NA	NA	0.186738129	0.186738129	unbias	0.230129837	G43_M_mean	0.0959	0.1621	1.6903
TRINITY_DN128942_c1_g1_i2	NA	NA	NA	NA	-0.217692815	0.217692815	unbias	0.416617696	Ovary_mean	0.1062	0.1484	1.3977
TRINITY_DN128951_c3_g1_i1	NA	NA	NA	NA	-0.094164517	0.094164517	unbias	0.146071165	G43_M_mean	0.0373	0.0506	1.3544
TRINITY_DN128961_c0_g1_i14	NA	NA	NA	NA	-0.100553766	0.100553766	unbias	0.488055474	Brain_mean	0.089	0.1252	1.4072
TRINITY_DN128995_c1_g1_i1	Xetrov90027454m	scaffold_24	1242965	1242965	-0.099870292	0.099870292	unbias	0.291403311	Brain_mean	0.1092	0.1457	1.3344
TRINITY_DN129012_c0_g1_i4	NA	NA	NA	NA	0.137945593	0.137945593	unbias	0.320596751	Ovary_mean	0.0954	0.1592	1.6691
TRINITY_DN129044_c3_g1_i1	NA	NA	NA	NA	-0.099482218	0.099482218	unbias	0.415575413	Ovary_mean	0.1856	0.301	1.622
TRINITY_DN129056_c2_g1_i4	NA	NA	NA	NA	-0.096398063	0.096398063	unbias	0.290356394	Brain_mean	0.0213	0.027	1.2657
TRINITY_DN129056_c4_g1_i1	cdc27	Chr10	7038474	7038474	-0.209438421	0.209438421	unbias	0.212992884	Brain_mean	0.061	0.1151	1.8861
TRINITY_DN129063_c0_g2_i1	NA	NA	NA	NA	0.506721233	0.506721233	unbias	0.3804206	G23_mean	0.0884	0.1521	1.7211
TRINITY_DN129071_c0_g1_i1	dusp10.2	Chr04	41036176	41036176	0.328876914	0.328876914	unbias	0.242045429	Liver_mean	0.0581	0.0955	1.6438
TRINITY_DN129073_c0_g2_i3	NA	NA	NA	NA	0.064130882	0.064130882	unbias	0.634627146	Brain_mean	0.0031	0.0062	1.9843
TRINITY_DN129074_c0_g1_i1	NA	NA	NA	NA	-0.163820427	0.163820427	unbias	0.473087945	Ovary_mean	0.1419	0.234	1.6483
TRINITY_DN129104_c0_g1_i1	NA	NA	NA	NA	-0.017310659	0.017310659	unbias	0.301617396	Ovary_mean	0.1137	0.2244	1.9728
TRINITY_DN129121_c4_g8_i2	NA	NA	NA	NA	-0.120692138	0.120692138	unbias	0.189622932	Testis_mean	0.0756	0.136	1.7998
TRINITY_DN129184_c0_g1_i2	NA	NA	NA	NA	-0.406098313	0.406098313	unbias	0.573949054	Brain_mean	0.1157	0.0987	0.853
TRINITY_DN129186_c1_g1_i2	NA	NA	NA	NA	0.31841396	0.31841396	unbias	0.447560577	Brain_mean	0.0998	0.1717	1.7204
TRINITY_DN129204_c7_g5_i1	NA	NA	NA	NA	0.031835563	0.031835563	unbias	0.444863192	G23_mean	0.0421	0.0702	1.6661
TRINITY_DN129265_c0_g1_i2	NA	NA	NA	NA	0.148723348	0.148723348	unbias	0.739872306	Brain_mean	0.0019	0.0023	1.2148
TRINITY_DN129272_c0_g3_i4	NA	NA	NA	NA	-0.215976946	0.215976946	unbias	0.244637091	Ovary_mean	0.056	0.0983	1.7558
TRINITY_DN129295_c0_g2_i3	NA	NA	NA	NA	0.077897326	0.077897326	unbias	0.190939781	Ovary_mean	0.0227	0.0273	1.1995
TRINITY_DN129308_c4_g2_i1	bloc1s4	Chr06	29570259	29570259	0.224393441	0.224393441	unbias	0.422790425	G23_mean	0.0272	0.0372	1.3681
TRINITY_DN129349_c0_g4_i6	NA	NA	NA	NA	0.172800715	0.172800715	unbias	0.25187919	Ovary_mean	0.0537	0.1003	1.8701
TRINITY_DN129360_c0_g1_i1	NA	NA	NA	NA	0.192182818	0.192182818	unbias	0.20135465	G23_mean	0.02	0.0312	1.561
TRINITY_DN129377_c0_g2_i2	NA	NA	NA	NA	0.00000941	0.00000941	unbias	0.301605933	Brain_mean	0.0544	0.091	1.6726
TRINITY_DN129403_c0_g1_i2	NA	NA	NA	NA	-0.036430207	0.036430207	unbias	0.263881984	Ovary_mean	0.0513	0.0905	1.7642
TRINITY_DN129405_c5_g1_i4	c6orf62	Chr06	28927971	28927971	-0.327195477	0.327195477	unbias	0.221509382	Brain_mean	0.1808	0.2006	1.1099
TRINITY_DN129417_c3_g1_i10	NA	NA	NA	NA	-0.097990582	0.097990582	unbias	0.402736073	Brain_mean	0.1941	0.2575	1.3269
TRINITY_DN129425_c1_g2_i1	NA	NA	NA	NA	0.055860732	0.055860732	unbias	0.173866886	Ovary_mean	0.0303	0.0329	1.0872
TRINITY_DN129429_c1_g1_i2	fstl3	Chr01	86773131	86773131	0.049419942	0.049419942	unbias	0.4404022	Brain_mean	0.1445	0.2155	1.4918
TRINITY_DN129443_c4_g3_i1	NA	NA	NA	NA	-0.058401189	0.058401189	unbias	0.307171853	Liver_mean	0.0765	0.1427	1.8658
TRINITY_DN129446_c1_g2_i2	NA	NA	NA	NA	0.189082345	0.189082345	unbias	0.353253838	Ovary_mean	0.0977	0.1573	1.6104
TRINITY_DN129462_c3_g1_i2	NA	NA	NA	NA	-0.766812978	0.766812978	unbias	0.646219292	Brain_mean	0.065	0.1224	1.885
TRINITY_DN129471_c5_g2_i1	NA	NA	NA	NA	-0.028467096	0.028467096	unbias	0.61023051	Ovary_mean	0.258	0.4389	1.701
TRINITY_DN129497_c2_g1_i1	osgep	Chr01	130602379	130602379	0.362379789	0.362379789	unbias	0.569758896	Liver_mean	0.1036	0.1592	1.5367
TRINITY_DN129502_c0_g1_i4	fkbp6	Chr02	37483170	37483170	-0.007068959	0.007068959	unbias	0.170879764	Ovary_mean	0.0567	0.1093	1.9287
TRINITY_DN129526_c5_g2_i1	NA	NA	NA	NA	-0.4568833	0.4568833	unbias	0.319472456	G23_mean	0.0769	0.0986	1.2816
TRINITY_DN129546_c5_g6_i3	NA	NA	NA	NA	0.041229011	0.041229011	unbias	0.150199141	Brain_mean	0.0029	0.0041	1.3857
TRINITY_DN129549_c2_g1_i1	Xetrov90007847m	Chr03	41149118	41149118	0.019357747	0.019357747	unbias	0.088423756	G46_F_mean	0.0333	0.0429	1.2891
TRINITY_DN129562_c0_g5_i1	NA	NA	NA	NA	0.149290699	0.149290699	unbias	0.235782803	Brain_mean	0.0609	0.0957	1.572
TRINITY_DN129568_c0_g2_i4	NA	NA	NA	NA	0.337182871	0.337182871	unbias	0.501806094	Brain_mean	0.0498	0.0706	1.418
TRINITY_DN129573_c0_g1_i2	NA	NA	NA	NA	-0.125616871	0.125616871	unbias	0.147121979	Brain_mean	0.0057	0.0049	0.8497
TRINITY_DN129623_c0_g2_i3	NA	NA	NA	NA	0.114654576	0.114654576	unbias	0.252403732	Ovary_mean	0.0711	0.0953	1.3411
TRINITY_DN129626_c1_g1_i2	NA	NA	NA	NA	-0.008518333	0.008518333	unbias	0.2691793	G27_mean	0.0252	0.0426	1.6921
TRINITY_DN129629_c1_g1_i1	NA	NA	NA	NA	0.083890799	0.083890799	unbias	0.184948959	Ovary_mean	0.0363	0.0462	1.2715
TRINITY_DN129641_c0_g3_i2	LOC100493940	Chr03	36262987	36262987	0.117592428	0.117592428	unbias	0.356627321	Brain_mean	0.0271	0.0143	0.5278
TRINITY_DN129646_c3_g1_i2	NA	NA	NA	NA	0.345418273	0.345418273	unbias	0.475812702	Ovary_mean	0.0767	0.1329	1.733
TRINITY_DN129651_c0_g1_i10	NA	NA	NA	NA	0.065154095	0.065154095	unbias	0.490954216	Brain_mean	0.1453	0.2061	1.4183
TRINITY_DN129688_c1_g1_i2	NA	NA	NA	NA	-0.096564907	0.096564907	unbias	0.235552681	Testis_mean	0.1964	0.2152	1.0958
TRINITY_DN129700_c0_g1_i1	NA	NA	NA	NA	-0.059894195	0.059894195	unbias	0.313397637	Brain_mean	0.0598	0.0677	1.1319
TRINITY_DN129701_c1_g8_i3	fam107b	Chr03	71773389	71773389	0.30008695	0.30008695	unbias	0.451936326	Ovary_mean	0.1264	0.2095	1.6568
TRINITY_DN129708_c0_g1_i1	NA	NA	NA	NA	-0.09431517	0.09431517	unbias	0.332866838	Ovary_mean	0.1532	0.3044	1.9873
TRINITY_DN129715_c2_g8_i1	NA	NA	NA	NA	-0.195031322	0.195031322	unbias	0.348366369	G46_M_mean	0.1555	0.2565	1.6493
TRINITY_DN129723_c0_g1_i2	NA	NA	NA	NA	0.084191855	0.084191855	unbias	0.117138156	G23_mean	0.0385	0.0435	1.1289
TRINITY_DN129736_c3_g1_i1	NA	NA	NA	NA	-0.040156592	0.040156592	unbias	0.558479925	Brain_mean	0.0499	0.0693	1.3906
TRINITY_DN129737_c1_g1_i1	NA	NA	NA	NA	-0.096365896	0.096365896	unbias	0.102013929	Ovary_mean	0.0707	0.0793	1.1212
TRINITY_DN129738_c1_g6_i4	NA	NA	NA	NA	-0.029062411	0.029062411	unbias	0.49081824	Ovary_mean	0.1576	0.2936	1.8628
TRINITY_DN129740_c0_g3_i1	NA	NA	NA	NA	-0.254120038	0.254120038	unbias	0.270681717	G23_mean	0.146	0.1789	1.2252
TRINITY_DN129747_c1_g3_i1	LOC101734175	Chr01	82296754	82296754	0.318085114	0.318085114	unbias	0.62705502	Testis_mean	0.0719	0.1343	1.867
TRINITY_DN129764_c2_g2_i3	pim1	Chr04	126438343	126438343	0.131904341	0.131904341	unbias	0.223255323	Brain_mean	0.0456	0.0485	1.0637
TRINITY_DN129765_c1_g3_i2	NA	NA	NA	NA	-0.097148786	0.097148786	unbias	0.74602992	Brain_mean	0.0192	0.0234	1.218
TRINITY_DN129767_c1_g1_i1	NA	NA	NA	NA	-0.101204601	0.101204601	unbias	0.611225369	Ovary_mean	0.0662	0.0939	1.4188
TRINITY_DN129780_c0_g1_i2	NA	NA	NA	NA	0.212757269	0.212757269	unbias	0.333688395	Brain_mean	0.0566	0.0613	1.0829
TRINITY_DN129784_c1_g3_i1	NA	NA	NA	NA	0.103240622	0.103240622	unbias	0.212086515	Brain_mean	0.0367	0.0519	1.4144
TRINITY_DN129790_c0_g1_i6	ripk1	Chr06	51057521	51057521	-0.060283995	0.060283995	unbias	0.292425731	Ovary_mean	0.0594	0.1034	1.7417
TRINITY_DN129798_c2_g1_i1	NA	NA	NA	NA	0.287895456	0.287895456	unbias	0.155911526	Ovary_mean	0.0593	0.0862	1.4548
TRINITY_DN129807_c6_g5_i1	NA	NA	NA	NA	-0.064979444	0.064979444	unbias	0.339907966	Brain_mean	0.0413	0.0461	1.116
TRINITY_DN129825_c0_g1_i1	NA	NA	NA	NA	-0.130235175	0.130235175	unbias	0.4477782	Brain_mean	0.1742	0.301	1.7281
TRINITY_DN129844_c3_g1_i2	NA	NA	NA	NA	-0.085934622	0.085934622	unbias	0.208207464	G43_M_mean	0.0545	0.0761	1.3957
TRINITY_DN129857_c4_g1_i1	NA	NA	NA	NA	0.109078578	0.109078578	unbias	0.335800077	G27_mean	0.0536	0.0934	1.7446
TRINITY_DN129864_c0_g1_i2	NA	NA	NA	NA	0.161205373	0.161205373	unbias	0.723066309	Brain_mean	0.0091	0.0086	0.9476
TRINITY_DN129894_c0_g2_i1	cep135	Chr01	31450070	31450070	-0.040503027	0.040503027	unbias	0.714873932	Brain_mean	0.0719	0.089	1.2384
TRINITY_DN129898_c0_g1_i1	NA	NA	NA	NA	0.55285654	0.55285654	unbias	0.351611726	G43_F_mean	0.072	0.0806	1.1202
TRINITY_DN129901_c2_g1_i2	NA	NA	NA	NA	0.114226756	0.114226756	unbias	0.520770337	Brain_mean	0.06	0.0564	0.9402
TRINITY_DN129904_c0_g4_i1	zeb1	Chr06	14907537	14907537	-0.264011501	0.264011501	unbias	0.362233044	Brain_mean	0.0863	0.1619	1.8766
TRINITY_DN129907_c0_g1_i3	NA	NA	NA	NA	0.30925321	0.30925321	unbias	0.376955671	Ovary_mean	0.2076	0.3701	1.7823
TRINITY_DN129908_c0_g1_i1	NA	NA	NA	NA	0.205405633	0.205405633	unbias	0.258260469	Ovary_mean	0.0585	0.0754	1.2894
TRINITY_DN129914_c0_g1_i1	atf5	Chr07	95470407	95470407	0.090470973	0.090470973	unbias	0.412030063	Brain_mean	0.0489	0.0529	1.0825
TRINITY_DN129919_c0_g2_i13	NA	NA	NA	NA	0.240200086	0.240200086	unbias	0.150863816	Ovary_mean	0.1956	0.2785	1.4241
TRINITY_DN129920_c0_g2_i4	NA	NA	NA	NA	0.645548316	0.645548316	unbias	0.533868101	Brain_mean	0.0931	0.1208	1.2972
TRINITY_DN129922_c2_g5_i2	NA	NA	NA	NA	0.020297974	0.020297974	unbias	0.242057743	Ovary_mean	0.0315	0.0566	1.7949
TRINITY_DN129930_c1_g3_i2	irx2	Chr06	36743655	36743655	-0.231488599	0.231488599	unbias	0.238398407	Ovary_mean	0.2788	0.3056	1.0961
TRINITY_DN129931_c1_g1_i1	NA	NA	NA	NA	0.06470048	0.06470048	unbias	0.214169026	Liver_mean	0.0648	0.0997	1.5392
TRINITY_DN129951_c2_g3_i2	LOC101735145	Chr07	27412151	27412151	0.013316957	0.013316957	unbias	0.307866414	Brain_mean	0.0122	0.0125	1.0237
TRINITY_DN129961_c0_g2_i1	tlx3	Chr03	22640473	22640473	-0.179145783	0.179145783	unbias	0.163616225	Brain_mean	0.1081	0.1539	1.4231
TRINITY_DN129991_c0_g1_i1	NA	NA	NA	NA	-0.030780645	0.030780645	unbias	0.464917415	Brain_mean	0.0473	0.0727	1.5383
TRINITY_DN130016_c2_g2_i6	NA	NA	NA	NA	-0.189095916	0.189095916	unbias	0.484018791	Ovary_mean	0.2234	0.3923	1.756
TRINITY_DN130021_c0_g3_i2	NA	NA	NA	NA	-0.01626601	0.01626601	unbias	0.460934006	Brain_mean	0.0812	0.1457	1.7942
TRINITY_DN130034_c2_g7_i4	NA	NA	NA	NA	-0.018871975	0.018871975	unbias	0.26700542	Liver_mean	0.1001	0.1183	1.1813
TRINITY_DN130064_c6_g1_i13	rpia-like	scaffold_223	19892	19892	-0.024673971	0.024673971	unbias	0.232228963	Ovary_mean	0.0643	0.1109	1.7255
TRINITY_DN130069_c1_g1_i11	NA	NA	NA	NA	0.100912579	0.100912579	unbias	0.4851593	Brain_mean	0.0757	0.0984	1.3004
TRINITY_DN130075_c4_g1_i2	NA	NA	NA	NA	-0.168462935	0.168462935	unbias	0.298268726	Brain_mean	0.0663	0.131	1.9747
TRINITY_DN130081_c0_g2_i16	NA	NA	NA	NA	-0.110962368	0.110962368	unbias	0.240434073	G46_F_mean	0.0675	0.0653	0.9669
TRINITY_DN130087_c2_g3_i3	NA	NA	NA	NA	-0.053355878	0.053355878	unbias	0.511154773	Liver_mean	0.0628	0.0701	1.1157
TRINITY_DN130087_c2_g6_i1	NA	NA	NA	NA	-0.28390648	0.28390648	unbias	0.381176634	Ovary_mean	0.1663	0.1821	1.0951
TRINITY_DN130100_c3_g1_i2	NA	NA	NA	NA	0.113299308	0.113299308	unbias	0.23876656	Ovary_mean	0.0809	0.0563	0.6964
